19:00:50 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=False, log_dir=ede_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
19:00:50 [ultranest] [INFO] Sampling 400 live points from prior ...
19:01:04 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=1000
19:01:04 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=5, min_num_live_points=400, cluster_num_live_points=40
19:01:04 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
19:01:08 [ultranest] [DEBUG] iteration=85, ncalls=501, regioncalls=4040, ndraw=40, logz=-1923.07, remainder_fraction=100.0000%, Lmin=-1910.08, Lmax=-6.52
19:01:08 [ultranest] [DEBUG] iteration=88, ncalls=504, regioncalls=4160, ndraw=40, logz=-1904.31, remainder_fraction=100.0000%, Lmin=-1896.18, Lmax=-6.52
19:01:08 [ultranest] [DEBUG] iteration=91, ncalls=507, regioncalls=4280, ndraw=40, logz=-1883.45, remainder_fraction=100.0000%, Lmin=-1876.74, Lmax=-6.52
19:01:08 [ultranest] [DEBUG] iteration=94, ncalls=510, regioncalls=4400, ndraw=40, logz=-1856.81, remainder_fraction=100.0000%, Lmin=-1845.84, Lmax=-6.52
19:01:08 [ultranest] [DEBUG] iteration=95, ncalls=513, regioncalls=4520, ndraw=40, logz=-1852.05, remainder_fraction=100.0000%, Lmin=-1841.80, Lmax=-6.52
19:01:09 [ultranest] [DEBUG] iteration=98, ncalls=517, regioncalls=4680, ndraw=40, logz=-1815.56, remainder_fraction=100.0000%, Lmin=-1799.04, Lmax=-6.52
19:01:09 [ultranest] [DEBUG] iteration=101, ncalls=521, regioncalls=4840, ndraw=40, logz=-1800.42, remainder_fraction=100.0000%, Lmin=-1775.37, Lmax=-6.52
19:01:09 [ultranest] [DEBUG] iteration=104, ncalls=524, regioncalls=4960, ndraw=40, logz=-1771.13, remainder_fraction=100.0000%, Lmin=-1753.25, Lmax=-6.52
19:01:09 [ultranest] [DEBUG] iteration=107, ncalls=527, regioncalls=5080, ndraw=40, logz=-1756.96, remainder_fraction=100.0000%, Lmin=-1739.07, Lmax=-6.52
19:01:09 [ultranest] [DEBUG] iteration=110, ncalls=532, regioncalls=5280, ndraw=40, logz=-1722.70, remainder_fraction=100.0000%, Lmin=-1691.67, Lmax=-6.52
19:01:09 [ultranest] [DEBUG] iteration=112, ncalls=535, regioncalls=5400, ndraw=40, logz=-1695.48, remainder_fraction=100.0000%, Lmin=-1682.80, Lmax=-6.52
19:01:09 [ultranest] [DEBUG] iteration=114, ncalls=538, regioncalls=5520, ndraw=40, logz=-1663.94, remainder_fraction=100.0000%, Lmin=-1656.40, Lmax=-6.52
19:01:09 [ultranest] [DEBUG] iteration=115, ncalls=541, regioncalls=5640, ndraw=40, logz=-1662.43, remainder_fraction=100.0000%, Lmin=-1652.10, Lmax=-6.52
19:01:09 [ultranest] [DEBUG] iteration=117, ncalls=544, regioncalls=5760, ndraw=40, logz=-1656.30, remainder_fraction=100.0000%, Lmin=-1645.09, Lmax=-6.52
19:01:10 [ultranest] [DEBUG] iteration=118, ncalls=547, regioncalls=5880, ndraw=40, logz=-1651.36, remainder_fraction=100.0000%, Lmin=-1642.52, Lmax=-6.52
19:01:10 [ultranest] [DEBUG] iteration=120, ncalls=549, regioncalls=5960, ndraw=40, logz=-1632.71, remainder_fraction=100.0000%, Lmin=-1602.49, Lmax=-6.52
19:01:10 [ultranest] [DEBUG] iteration=123, ncalls=552, regioncalls=6080, ndraw=40, logz=-1605.62, remainder_fraction=100.0000%, Lmin=-1599.34, Lmax=-6.52
19:01:10 [ultranest] [DEBUG] iteration=126, ncalls=556, regioncalls=6240, ndraw=40, logz=-1591.83, remainder_fraction=100.0000%, Lmin=-1584.02, Lmax=-6.52
19:01:10 [ultranest] [DEBUG] iteration=128, ncalls=559, regioncalls=6360, ndraw=40, logz=-1585.27, remainder_fraction=100.0000%, Lmin=-1573.55, Lmax=-6.52
19:01:10 [ultranest] [DEBUG] iteration=130, ncalls=562, regioncalls=6480, ndraw=40, logz=-1575.21, remainder_fraction=100.0000%, Lmin=-1560.58, Lmax=-6.52
19:01:10 [ultranest] [DEBUG] iteration=133, ncalls=565, regioncalls=6600, ndraw=40, logz=-1552.41, remainder_fraction=100.0000%, Lmin=-1537.97, Lmax=-6.52
19:01:10 [ultranest] [DEBUG] iteration=136, ncalls=568, regioncalls=6720, ndraw=40, logz=-1515.77, remainder_fraction=100.0000%, Lmin=-1506.55, Lmax=-6.52
19:01:11 [ultranest] [DEBUG] iteration=139, ncalls=573, regioncalls=6920, ndraw=40, logz=-1509.41, remainder_fraction=100.0000%, Lmin=-1497.57, Lmax=-6.52
19:01:11 [ultranest] [DEBUG] iteration=141, ncalls=576, regioncalls=7040, ndraw=40, logz=-1484.85, remainder_fraction=100.0000%, Lmin=-1470.42, Lmax=-6.52
19:01:11 [ultranest] [DEBUG] iteration=144, ncalls=580, regioncalls=7200, ndraw=40, logz=-1459.70, remainder_fraction=100.0000%, Lmin=-1445.98, Lmax=-6.52
19:01:11 [ultranest] [DEBUG] iteration=146, ncalls=583, regioncalls=7320, ndraw=40, logz=-1442.82, remainder_fraction=100.0000%, Lmin=-1419.45, Lmax=-6.52
19:01:11 [ultranest] [DEBUG] iteration=148, ncalls=586, regioncalls=7440, ndraw=40, logz=-1422.48, remainder_fraction=100.0000%, Lmin=-1410.05, Lmax=-6.52
