# z	 a	 Omega_ede	 w_ede
1.000000e-02	 9.900990e-01	 6.937074e-01	 -9.957671e-01
1.149757e-02	 9.886331e-01	 6.927663e-01	 -9.951726e-01
1.321941e-02	 9.869531e-01	 6.916847e-01	 -9.944976e-01
1.519911e-02	 9.850284e-01	 6.904418e-01	 -9.937312e-01
1.747528e-02	 9.828249e-01	 6.890134e-01	 -9.928635e-01
2.009233e-02	 9.803034e-01	 6.873722e-01	 -9.918824e-01
2.310130e-02	 9.774203e-01	 6.854866e-01	 -9.907762e-01
2.656088e-02	 9.741263e-01	 6.833205e-01	 -9.895332e-01
3.053856e-02	 9.703664e-01	 6.808325e-01	 -9.881392e-01
3.511192e-02	 9.660791e-01	 6.779753e-01	 -9.865828e-01
4.037017e-02	 9.611963e-01	 6.746950e-01	 -9.848512e-01
4.641589e-02	 9.556430e-01	 6.709297e-01	 -9.829331e-01
5.336699e-02	 9.493368e-01	 6.666092e-01	 -9.808194e-01
6.135907e-02	 9.421882e-01	 6.616536e-01	 -9.785023e-01
7.054802e-02	 9.341010e-01	 6.559724e-01	 -9.759763e-01
8.111308e-02	 9.249726e-01	 6.494632e-01	 -9.732411e-01
9.326033e-02	 9.146952e-01	 6.420112e-01	 -9.702982e-01
1.072267e-01	 9.031574e-01	 6.334879e-01	 -9.671526e-01
1.232847e-01	 8.902463e-01	 6.237511e-01	 -9.638124e-01
1.417474e-01	 8.758505e-01	 6.126449e-01	 -9.602867e-01
1.629751e-01	 8.598636e-01	 6.000015e-01	 -9.565813e-01
1.873817e-01	 8.421891e-01	 5.856435e-01	 -9.526960e-01
2.154435e-01	 8.227450e-01	 5.693894e-01	 -9.486166e-01
2.477076e-01	 8.014698e-01	 5.510622e-01	 -9.443082e-01
2.848036e-01	 7.783291e-01	 5.305014e-01	 -9.397021e-01
3.274549e-01	 7.533213e-01	 5.075808e-01	 -9.346859e-01
3.764936e-01	 7.264836e-01	 4.822313e-01	 -9.290863e-01
4.328761e-01	 6.978970e-01	 4.544689e-01	 -9.226565e-01
4.977024e-01	 6.676894e-01	 4.244259e-01	 -9.150575e-01
5.722368e-01	 6.360365e-01	 3.923800e-01	 -9.058420e-01
6.579332e-01	 6.031606e-01	 3.587756e-01	 -8.944384e-01
7.564633e-01	 5.693259e-01	 3.242271e-01	 -8.801358e-01
8.697490e-01	 5.348311e-01	 2.894971e-01	 -8.620765e-01
1.000000e+00	 5.000000e-01	 2.554435e-01	 -8.392599e-01
1.149757e+00	 4.651689e-01	 2.229410e-01	 -8.105763e-01
1.321941e+00	 4.306741e-01	 1.927874e-01	 -7.748857e-01
1.519911e+00	 3.968394e-01	 1.656167e-01	 -7.311731e-01
1.747528e+00	 3.639635e-01	 1.418376e-01	 -6.787924e-01
2.009233e+00	 3.323106e-01	 1.216112e-01	 -6.177901e-01
2.310130e+00	 3.021030e-01	 1.048684e-01	 -5.492336e-01
2.656088e+00	 2.735164e-01	 9.135775e-02	 -4.753964e-01
3.053856e+00	 2.466787e-01	 8.070796e-02	 -3.996304e-01
3.511192e+00	 2.216709e-01	 7.249005e-02	 -3.258514e-01
4.037017e+00	 1.985302e-01	 6.626876e-02	 -2.577614e-01
4.641589e+00	 1.772550e-01	 6.163853e-02	 -1.981151e-01
5.336699e+00	 1.578109e-01	 5.824402e-02	 -1.483248e-01
6.135907e+00	 1.401364e-01	 5.578833e-02	 -1.084934e-01
