# z	 a	 Omega_ede	 w_ede
1.000000e-02	 9.900990e-01	 6.937047e-01	 -9.965939e-01
1.149757e-02	 9.886331e-01	 6.927628e-01	 -9.961183e-01
1.321941e-02	 9.869531e-01	 6.916801e-01	 -9.955783e-01
1.519911e-02	 9.850284e-01	 6.904357e-01	 -9.949650e-01
1.747528e-02	 9.828249e-01	 6.890054e-01	 -9.942709e-01
2.009233e-02	 9.803034e-01	 6.873617e-01	 -9.934861e-01
2.310130e-02	 9.774203e-01	 6.854728e-01	 -9.926011e-01
2.656088e-02	 9.741263e-01	 6.833024e-01	 -9.916064e-01
3.053856e-02	 9.703664e-01	 6.808087e-01	 -9.904916e-01
3.511192e-02	 9.660791e-01	 6.779442e-01	 -9.892466e-01
4.037017e-02	 9.611963e-01	 6.746542e-01	 -9.878612e-01
4.641589e-02	 9.556430e-01	 6.708763e-01	 -9.863271e-01
5.336699e-02	 9.493368e-01	 6.665396e-01	 -9.846363e-01
6.135907e-02	 9.421882e-01	 6.615629e-01	 -9.827831e-01
7.054802e-02	 9.341010e-01	 6.558545e-01	 -9.807629e-01
8.111308e-02	 9.249726e-01	 6.493103e-01	 -9.785755e-01
9.326033e-02	 9.146952e-01	 6.418135e-01	 -9.762223e-01
1.072267e-01	 9.031574e-01	 6.332329e-01	 -9.737068e-01
1.232847e-01	 8.902463e-01	 6.234235e-01	 -9.710362e-01
1.417474e-01	 8.758505e-01	 6.122256e-01	 -9.682166e-01
1.629751e-01	 8.598636e-01	 5.994673e-01	 -9.652528e-01
1.873817e-01	 8.421891e-01	 5.849662e-01	 -9.621439e-01
2.154435e-01	 8.227450e-01	 5.685357e-01	 -9.588772e-01
2.477076e-01	 8.014698e-01	 5.499929e-01	 -9.554230e-01
2.848036e-01	 7.783291e-01	 5.291715e-01	 -9.517234e-01
3.274549e-01	 7.533213e-01	 5.059400e-01	 -9.476842e-01
3.764936e-01	 7.264836e-01	 4.802248e-01	 -9.431606e-01
4.328761e-01	 6.978970e-01	 4.520391e-01	 -9.379451e-01
4.977024e-01	 6.676894e-01	 4.215149e-01	 -9.317528e-01
5.722368e-01	 6.360365e-01	 3.889333e-01	 -9.242045e-01
6.579332e-01	 6.031606e-01	 3.547459e-01	 -9.148093e-01
7.564633e-01	 5.693259e-01	 3.195788e-01	 -9.029478e-01
8.697490e-01	 5.348311e-01	 2.842100e-01	 -8.878540e-01
1.000000e+00	 5.000000e-01	 2.495161e-01	 -8.686057e-01
1.149757e+00	 4.651689e-01	 2.163911e-01	 -8.441285e-01
1.321941e+00	 4.306741e-01	 1.856514e-01	 -8.132375e-01
1.519911e+00	 3.968394e-01	 1.579461e-01	 -7.747371e-01
1.747528e+00	 3.639635e-01	 1.336947e-01	 -7.276126e-01
2.009233e+00	 3.323106e-01	 1.130636e-01	 -6.713277e-01
2.310130e+00	 3.021030e-01	 9.598380e-02	 -6.061972e-01
2.656088e+00	 2.735164e-01	 8.220004e-02	 -5.337259e-01
