# z	 a	 Omega_ede	 w_ede
3.053856e+00	 2.466787e-01	 7.133423e-02	 -4.567290e-01
3.511192e+00	 2.216709e-01	 6.294920e-02	 -3.790515e-01
4.037017e+00	 1.985302e-01	 5.660116e-02	 -3.048752e-01
4.641589e+00	 1.772550e-01	 5.187646e-02	 -2.378389e-01
5.336699e+00	 1.578109e-01	 4.841263e-02	 -1.803438e-01
6.135907e+00	 1.401364e-01	 4.590675e-02	 -1.333076e-01
7.054802e+00	 1.241495e-01	 4.411500e-02	 -9.636559e-02
8.111308e+00	 1.097537e-01	 4.284698e-02	 -6.831703e-02
9.326033e+00	 9.684261e-02	 4.195768e-02	 -4.759037e-02
1.072267e+01	 8.530478e-02	 4.133891e-02	 -3.259143e-02
1.232847e+01	 7.502738e-02	 4.091136e-02	 -2.190234e-02
1.417474e+01	 6.589898e-02	 4.061774e-02	 -1.436086e-02
1.629751e+01	 5.781179e-02	 4.041717e-02	 -9.064226e-03
1.873817e+01	 5.066325e-02	 4.028080e-02	 -5.337494e-03
2.154435e+01	 4.435702e-02	 4.018847e-02	 -2.689498e-03
2.477076e+01	 3.880366e-02	 4.012619e-02	 -7.682032e-04
2.848036e+01	 3.392089e-02	 4.008430e-02	 6.746625e-04
3.274549e+01	 2.963359e-02	 4.005621e-02	 1.814297e-03
3.764936e+01	 2.587365e-02	 4.003741e-02	 2.773230e-03
4.328761e+01	 2.257968e-02	 4.002487e-02	 3.638909e-03
4.977024e+01	 1.969658e-02	 4.001651e-02	 4.474486e-03
5.722368e+01	 1.717514e-02	 4.001094e-02	 5.327138e-03
6.579332e+01	 1.497156e-02	 4.000725e-02	 6.233461e-03
7.564633e+01	 1.304694e-02	 4.000480e-02	 7.223938e-03
8.697490e+01	 1.136688e-02	 4.000317e-02	 8.324952e-03
1.000000e+02	 9.900990e-03	 4.000210e-02	 9.561714e-03
1.149757e+02	 8.622496e-03	 4.000138e-02	 1.095904e-02
1.321941e+02	 7.507839e-03	 4.000091e-02	 1.254223e-02
1.519911e+02	 6.536328e-03	 4.000060e-02	 1.433754e-02
1.747528e+02	 5.689808e-03	 4.000040e-02	 1.637343e-02
2.009233e+02	 4.952375e-03	 4.000026e-02	 1.867968e-02
2.310130e+02	 4.310104e-03	 4.000017e-02	 2.128886e-02
2.656088e+02	 3.750814e-03	 4.000011e-02	 2.423461e-02
3.053856e+02	 3.263861e-03	 4.000008e-02	 2.755274e-02
3.511192e+02	 2.839948e-03	 4.000005e-02	 3.128057e-02
4.037017e+02	 2.470956e-03	 4.000003e-02	 3.545551e-02
4.641589e+02	 2.149803e-03	 4.000002e-02	 4.011493e-02
5.336699e+02	 1.870313e-03	 4.000001e-02	 4.529531e-02
6.135907e+02	 1.627099e-03	 4.000001e-02	 5.102960e-02
7.054802e+02	 1.415468e-03	 4.000001e-02	 5.734662e-02
8.111308e+02	 1.231329e-03	 4.000000e-02	 6.426905e-02
9.326033e+02	 1.071119e-03	 4.000000e-02	 7.181117e-02
1.072267e+03	 9.317344e-04	 4.000000e-02	 7.997638e-02
1.232847e+03	 8.104734e-04	 4.000000e-02	 8.875612e-02
1.417474e+03	 7.049829e-04	 4.000000e-02	 9.812748e-02
1.629751e+03	 6.132145e-04	 4.000000e-02	 1.080522e-01
1.873817e+03	 5.333853e-04	 4.000000e-02	 1.184758e-01
2.154435e+03	 4.639435e-04	 4.000000e-02	 1.293289e-01
2.477076e+03	 4.035388e-04	 4.000000e-02	 1.405265e-01
2.848036e+03	 3.509959e-04	 4.000000e-02	 1.519720e-01
3.274549e+03	 3.052923e-04	 4.000000e-02	 1.635595e-01
3.764936e+03	 2.655382e-04	 4.000000e-02	 1.751777e-01
4.328761e+03	 2.309596e-04	 4.000000e-02	 1.867139e-01
4.977024e+03	 2.008829e-04	 4.000000e-02	 1.980588e-01
5.722368e+03	 1.747223e-04	 4.000000e-02	 2.091102e-01
6.579332e+03	 1.519680e-04	 4.000000e-02	 2.197767e-01
7.564633e+03	 1.321766e-04	 4.000000e-02	 2.299801e-01
8.697490e+03	 1.149625e-04	 4.000000e-02	 2.396577e-01
1.000000e+04	 9.999000e-05	 4.000000e-02	 2.487625e-01
