# z	 a	 Omega_ede	 w_ede
1.000000e-02	 9.900990e-01	 6.937100e-01	 -9.949402e-01
1.149757e-02	 9.886331e-01	 6.927698e-01	 -9.942269e-01
1.321941e-02	 9.869531e-01	 6.916893e-01	 -9.934169e-01
1.519911e-02	 9.850284e-01	 6.904478e-01	 -9.924972e-01
1.747528e-02	 9.828249e-01	 6.890214e-01	 -9.914558e-01
2.009233e-02	 9.803034e-01	 6.873827e-01	 -9.902787e-01
2.310130e-02	 9.774203e-01	 6.855004e-01	 -9.889513e-01
2.656088e-02	 9.741263e-01	 6.833386e-01	 -9.874591e-01
3.053856e-02	 9.703664e-01	 6.808563e-01	 -9.857866e-01
3.511192e-02	 9.660791e-01	 6.780065e-01	 -9.839189e-01
4.037017e-02	 9.611963e-01	 6.747358e-01	 -9.818405e-01
4.641589e-02	 9.556430e-01	 6.709830e-01	 -9.795387e-01
5.336699e-02	 9.493368e-01	 6.666788e-01	 -9.770015e-01
6.135907e-02	 9.421882e-01	 6.617443e-01	 -9.742204e-01
7.054802e-02	 9.341010e-01	 6.560902e-01	 -9.711883e-01
8.111308e-02	 9.249726e-01	 6.496161e-01	 -9.679047e-01
9.326033e-02	 9.146952e-01	 6.422090e-01	 -9.643715e-01
1.072267e-01	 9.031574e-01	 6.337429e-01	 -9.605949e-01
1.232847e-01	 8.902463e-01	 6.240787e-01	 -9.565847e-01
1.417474e-01	 8.758505e-01	 6.130642e-01	 -9.523518e-01
1.629751e-01	 8.598636e-01	 6.005357e-01	 -9.479042e-01
1.873817e-01	 8.421891e-01	 5.863207e-01	 -9.432425e-01
2.154435e-01	 8.227450e-01	 5.702431e-01	 -9.383517e-01
2.477076e-01	 8.014698e-01	 5.521316e-01	 -9.331925e-01
2.848036e-01	 7.783291e-01	 5.318313e-01	 -9.276863e-01
3.274549e-01	 7.533213e-01	 5.092216e-01	 -9.217049e-01
3.764936e-01	 7.264836e-01	 4.842378e-01	 -9.150503e-01
4.328761e-01	 6.978970e-01	 4.568988e-01	 -9.074391e-01
4.977024e-01	 6.676894e-01	 4.273369e-01	 -8.984856e-01
5.722368e-01	 6.360365e-01	 3.958267e-01	 -8.876837e-01
6.579332e-01	 6.031606e-01	 3.628052e-01	 -8.743940e-01
7.564633e-01	 5.693259e-01	 3.288754e-01	 -8.578343e-01
8.697490e-01	 5.348311e-01	 2.947841e-01	 -8.370827e-01
1.000000e+00	 5.000000e-01	 2.613710e-01	 -8.111010e-01
1.149757e+00	 4.651689e-01	 2.294910e-01	 -7.787947e-01
1.321941e+00	 4.306741e-01	 1.999235e-01	 -7.391301e-01
1.519911e+00	 3.968394e-01	 1.732873e-01	 -6.913300e-01
1.747528e+00	 3.639635e-01	 1.499805e-01	 -6.351460e-01
2.009233e+00	 3.323106e-01	 1.301588e-01	 -5.711682e-01
2.310130e+00	 3.021030e-01	 1.137530e-01	 -5.010654e-01
2.656088e+00	 2.735164e-01	 1.005155e-01	 -4.276066e-01
3.053856e+00	 2.466787e-01	 9.008170e-02	 -3.543411e-01
3.511192e+00	 2.216709e-01	 8.203090e-02	 -2.849668e-01
4.037017e+00	 1.985302e-01	 7.593636e-02	 -2.225968e-01
4.641589e+00	 1.772550e-01	 7.140060e-02	 -1.692177e-01
5.336699e+00	 1.578109e-01	 6.807541e-02	 -1.255275e-01
6.135907e+00	 1.401364e-01	 6.566991e-02	 -9.112756e-02
7.054802e+00	 1.241495e-01	 6.394997e-02	 -6.490888e-02
8.111308e+00	 1.097537e-01	 6.273279e-02	 -4.544596e-02
9.326033e+00	 9.684261e-02	 6.187915e-02	 -3.129427e-02
1.072267e+01	 8.530478e-02	 6.128519e-02	 -2.116254e-02
1.232847e+01	 7.502738e-02	 6.087479e-02	 -1.398535e-02
1.417474e+01	 6.589898e-02	 6.059295e-02	 -8.928955e-03
1.629751e+01	 5.781179e-02	 6.040043e-02	 -5.365276e-03
1.873817e+01	 5.066325e-02	 6.026954e-02	 -2.833582e-03
2.154435e+01	 4.435702e-02	 6.018091e-02	 -1.002386e-03
2.477076e+01	 3.880366e-02	 6.012112e-02	 3.644541e-04
2.848036e+01	 3.392089e-02	 6.008092e-02	 1.432682e-03
3.274549e+01	 2.963359e-02	 6.005395e-02	 2.320234e-03
3.764936e+01	 2.587365e-02	 6.003591e-02	 3.110169e-03
4.328761e+01	 2.257968e-02	 6.002387e-02	 3.863095e-03
4.977024e+01	 1.969658e-02	 6.001584e-02	 4.623296e-03
5.722368e+01	 1.717514e-02	 6.001050e-02	 5.425957e-03
6.579332e+01	 1.497156e-02	 6.000696e-02	 6.298894e-03
7.564633e+01	 1.304694e-02	 6.000460e-02	 7.267110e-03
8.697490e+01	 1.136688e-02	 6.000305e-02	 8.353590e-03
1.000000e+02	 9.900990e-03	 6.000201e-02	 9.580710e-03
1.149757e+02	 8.622496e-03	 6.000133e-02	 1.097165e-02
1.321941e+02	 7.507839e-03	 6.000088e-02	 1.255039e-02
1.519911e+02	 6.536328e-03	 6.000058e-02	 1.434303e-02
1.747528e+02	 5.689808e-03	 6.000038e-02	 1.637699e-02
2.009233e+02	 4.952375e-03	 6.000025e-02	 1.868205e-02
2.310130e+02	 4.310104e-03	 6.000017e-02	 2.129034e-02
2.656088e+02	 3.750814e-03	 6.000011e-02	 2.423550e-02
3.053856e+02	 3.263861e-03	 6.000007e-02	 2.755349e-02
3.511192e+02	 2.839948e-03	 6.000005e-02	 3.128102e-02
4.037017e+02	 2.470956e-03	 6.000003e-02	 3.545565e-02
4.641589e+02	 2.149803e-03	 6.000002e-02	 4.011523e-02
5.336699e+02	 1.870313e-03	 6.000001e-02	 4.529546e-02
6.135907e+02	 1.627099e-03	 6.000001e-02	 5.102960e-02
