# z	 a	 Omega_ede	 w_ede
1.000000e-02	 9.900990e-01	 6.936994e-01	 -9.982476e-01
1.149757e-02	 9.886331e-01	 6.927558e-01	 -9.980096e-01
1.321941e-02	 9.869531e-01	 6.916709e-01	 -9.977396e-01
1.519911e-02	 9.850284e-01	 6.904236e-01	 -9.974329e-01
1.747528e-02	 9.828249e-01	 6.889895e-01	 -9.970858e-01
2.009233e-02	 9.803034e-01	 6.873407e-01	 -9.966932e-01
2.310130e-02	 9.774203e-01	 6.854452e-01	 -9.962506e-01
2.656088e-02	 9.741263e-01	 6.832661e-01	 -9.957531e-01
3.053856e-02	 9.703664e-01	 6.807612e-01	 -9.951957e-01
3.511192e-02	 9.660791e-01	 6.778819e-01	 -9.945730e-01
4.037017e-02	 9.611963e-01	 6.745726e-01	 -9.938804e-01
4.641589e-02	 9.556430e-01	 6.707697e-01	 -9.931135e-01
5.336699e-02	 9.493368e-01	 6.664003e-01	 -9.922679e-01
6.135907e-02	 9.421882e-01	 6.613815e-01	 -9.913417e-01
7.054802e-02	 9.341010e-01	 6.556187e-01	 -9.903317e-01
8.111308e-02	 9.249726e-01	 6.490046e-01	 -9.892387e-01
9.326033e-02	 9.146952e-01	 6.414180e-01	 -9.880628e-01
1.072267e-01	 9.031574e-01	 6.327230e-01	 -9.868057e-01
1.232847e-01	 8.902463e-01	 6.227682e-01	 -9.854711e-01
1.417474e-01	 8.758505e-01	 6.113870e-01	 -9.840620e-01
1.629751e-01	 8.598636e-01	 5.983988e-01	 -9.825800e-01
1.873817e-01	 8.421891e-01	 5.836116e-01	 -9.810240e-01
2.154435e-01	 8.227450e-01	 5.668282e-01	 -9.793866e-01
2.477076e-01	 8.014698e-01	 5.478542e-01	 -9.776509e-01
2.848036e-01	 7.783291e-01	 5.265117e-01	 -9.757846e-01
3.274549e-01	 7.533213e-01	 5.026584e-01	 -9.737370e-01
3.764936e-01	 7.264836e-01	 4.762117e-01	 -9.714283e-01
4.328761e-01	 6.978970e-01	 4.471793e-01	 -9.687454e-01
4.977024e-01	 6.676894e-01	 4.156930e-01	 -9.655307e-01
5.722368e-01	 6.360365e-01	 3.820400e-01	 -9.615709e-01
6.579332e-01	 6.031606e-01	 3.466866e-01	 -9.565849e-01
7.564633e-01	 5.693259e-01	 3.102822e-01	 -9.502051e-01
8.697490e-01	 5.348311e-01	 2.736359e-01	 -9.419559e-01
1.000000e+00	 5.000000e-01	 2.376613e-01	 -9.312280e-01
