# z	 a	 Omega_ede	 w_ede
1.149757e+00	 4.651689e-01	 2.032913e-01	 -9.172464e-01
1.321941e+00	 4.306741e-01	 1.713792e-01	 -8.990437e-01
1.519911e+00	 3.968394e-01	 1.426048e-01	 -8.754464e-01
1.747528e+00	 3.639635e-01	 1.174089e-01	 -8.450985e-01
2.009233e+00	 3.323106e-01	 9.596832e-02	 -8.065583e-01
2.310130e+00	 3.021030e-01	 7.821464e-02	 -7.585151e-01
2.656088e+00	 2.735164e-01	 6.388462e-02	 -7.001513e-01
3.053856e+00	 2.466787e-01	 5.258676e-02	 -6.316288e-01
3.511192e+00	 2.216709e-01	 4.386750e-02	 -5.545535e-01
4.037017e+00	 1.985302e-01	 3.726596e-02	 -4.721626e-01
4.641589e+00	 1.772550e-01	 3.235232e-02	 -3.889775e-01
5.336699e+00	 1.578109e-01	 2.874984e-02	 -3.098963e-01
6.135907e+00	 1.401364e-01	 2.614358e-02	 -2.390706e-01
7.054802e+00	 1.241495e-01	 2.428003e-02	 -1.790765e-01
8.111308e+00	 1.097537e-01	 2.296117e-02	 -1.306999e-01
9.326033e+00	 9.684261e-02	 2.203621e-02	 -9.327657e-02
1.072267e+01	 8.530478e-02	 2.139262e-02	 -6.528012e-02
1.232847e+01	 7.502738e-02	 2.094792e-02	 -4.487259e-02
1.417474e+01	 6.589898e-02	 2.064252e-02	 -3.027985e-02
1.629751e+01	 5.781179e-02	 2.043390e-02	 -1.998045e-02
1.873817e+01	 5.066325e-02	 2.029207e-02	 -1.276287e-02
2.154435e+01	 4.435702e-02	 2.019604e-02	 -7.708894e-03
2.477076e+01	 3.880366e-02	 2.013125e-02	 -4.145324e-03
2.848036e+01	 3.392089e-02	 2.008768e-02	 -1.588592e-03
3.274549e+01	 2.963359e-02	 2.005846e-02	 3.018037e-04
3.764936e+01	 2.587365e-02	 2.003891e-02	 1.765002e-03
4.328761e+01	 2.257968e-02	 2.002586e-02	 2.968292e-03
4.977024e+01	 1.969658e-02	 2.001717e-02	 4.029039e-03
5.722368e+01	 1.717514e-02	 2.001138e-02	 5.031755e-03
6.579332e+01	 1.497156e-02	 2.000754e-02	 6.037622e-03
7.564633e+01	 1.304694e-02	 2.000499e-02	 7.094163e-03
8.697490e+01	 1.136688e-02	 2.000330e-02	 8.239177e-03
1.000000e+02	 9.900990e-03	 2.000218e-02	 9.505127e-03
1.149757e+02	 8.622496e-03	 2.000144e-02	 1.092171e-02
1.321941e+02	 7.507839e-03	 2.000095e-02	 1.251749e-02
1.519911e+02	 6.536328e-03	 2.000063e-02	 1.432125e-02
1.747528e+02	 5.689808e-03	 2.000041e-02	 1.636261e-02
2.009233e+02	 4.952375e-03	 2.000027e-02	 1.867272e-02
2.310130e+02	 4.310104e-03	 2.000018e-02	 2.128412e-02
2.656088e+02	 3.750814e-03	 2.000012e-02	 2.423150e-02
3.053856e+02	 3.263861e-03	 2.000008e-02	 2.755082e-02
3.511192e+02	 2.839948e-03	 2.000005e-02	 3.127924e-02
4.037017e+02	 2.470956e-03	 2.000003e-02	 3.545447e-02
4.641589e+02	 2.149803e-03	 2.000002e-02	 4.011434e-02
5.336699e+02	 1.870313e-03	 2.000001e-02	 4.529486e-02
6.135907e+02	 1.627099e-03	 2.000001e-02	 5.102930e-02
7.054802e+02	 1.415468e-03	 2.000001e-02	 5.734648e-02
8.111308e+02	 1.231329e-03	 2.000000e-02	 6.426890e-02
9.326033e+02	 1.071119e-03	 2.000000e-02	 7.181117e-02
1.072267e+03	 9.317344e-04	 2.000000e-02	 7.997623e-02
1.232847e+03	 8.104734e-04	 2.000000e-02	 8.875612e-02
1.417474e+03	 7.049829e-04	 2.000000e-02	 9.812733e-02
1.629751e+03	 6.132145e-04	 2.000000e-02	 1.080522e-01
1.873817e+03	 5.333853e-04	 2.000000e-02	 1.184760e-01
2.154435e+03	 4.639435e-04	 2.000000e-02	 1.293289e-01
2.477076e+03	 4.035388e-04	 2.000000e-02	 1.405265e-01
2.848036e+03	 3.509959e-04	 2.000000e-02	 1.519720e-01
3.274549e+03	 3.052923e-04	 2.000000e-02	 1.635595e-01
3.764936e+03	 2.655382e-04	 2.000000e-02	 1.751777e-01
4.328761e+03	 2.309596e-04	 2.000000e-02	 1.867139e-01
4.977024e+03	 2.008829e-04	 2.000000e-02	 1.980588e-01
5.722368e+03	 1.747223e-04	 2.000000e-02	 2.091102e-01
6.579332e+03	 1.519680e-04	 2.000000e-02	 2.197767e-01
7.564633e+03	 1.321766e-04	 2.000000e-02	 2.299801e-01
8.697490e+03	 1.149625e-04	 2.000000e-02	 2.396577e-01
1.000000e+04	 9.999000e-05	 2.000000e-02	 2.487625e-01
