# z	 a	 Omega_ede	 w_ede
1.000000e-02	 9.900990e-01	 6.936968e-01	 -9.990745e-01
1.149757e-02	 9.886331e-01	 6.927523e-01	 -9.989550e-01
1.321941e-02	 9.869531e-01	 6.916663e-01	 -9.988201e-01
1.519911e-02	 9.850284e-01	 6.904175e-01	 -9.986666e-01
1.747528e-02	 9.828249e-01	 6.889815e-01	 -9.984933e-01
2.009233e-02	 9.803034e-01	 6.873302e-01	 -9.982966e-01
2.310130e-02	 9.774203e-01	 6.854314e-01	 -9.980751e-01
2.656088e-02	 9.741263e-01	 6.832480e-01	 -9.978264e-01
3.053856e-02	 9.703664e-01	 6.807374e-01	 -9.975474e-01
3.511192e-02	 9.660791e-01	 6.778507e-01	 -9.972359e-01
4.037017e-02	 9.611963e-01	 6.745318e-01	 -9.968894e-01
4.641589e-02	 9.556430e-01	 6.707163e-01	 -9.965057e-01
5.336699e-02	 9.493368e-01	 6.663307e-01	 -9.960828e-01
6.135907e-02	 9.421882e-01	 6.612909e-01	 -9.956195e-01
7.054802e-02	 9.341010e-01	 6.555008e-01	 -9.951142e-01
8.111308e-02	 9.249726e-01	 6.488517e-01	 -9.945673e-01
9.326033e-02	 9.146952e-01	 6.412202e-01	 -9.939791e-01
1.072267e-01	 9.031574e-01	 6.324680e-01	 -9.933502e-01
1.232847e-01	 8.902463e-01	 6.224406e-01	 -9.926825e-01
1.417474e-01	 8.758505e-01	 6.109677e-01	 -9.919773e-01
1.629751e-01	 8.598636e-01	 5.978645e-01	 -9.912355e-01
1.873817e-01	 8.421891e-01	 5.829344e-01	 -9.904564e-01
2.154435e-01	 8.227450e-01	 5.659744e-01	 -9.896353e-01
2.477076e-01	 8.014698e-01	 5.467848e-01	 -9.887643e-01
2.848036e-01	 7.783291e-01	 5.251819e-01	 -9.878255e-01
3.274549e-01	 7.533213e-01	 5.010176e-01	 -9.867929e-01
3.764936e-01	 7.264836e-01	 4.742052e-01	 -9.856247e-01
4.328761e-01	 6.978970e-01	 4.447495e-01	 -9.842621e-01
4.977024e-01	 6.676894e-01	 4.127820e-01	 -9.826217e-01
5.722368e-01	 6.360365e-01	 3.785933e-01	 -9.805908e-01
6.579332e-01	 6.031606e-01	 3.426569e-01	 -9.780191e-01
7.564633e-01	 5.693259e-01	 3.056339e-01	 -9.747061e-01
8.697490e-01	 5.348311e-01	 2.683489e-01	 -9.703873e-01
1.000000e+00	 5.000000e-01	 2.317339e-01	 -9.647129e-01
1.149757e+00	 4.651689e-01	 1.967414e-01	 -9.572202e-01
1.321941e+00	 4.306741e-01	 1.642431e-01	 -9.472976e-01
