# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.414447999881e-10       2.155016152178e-15       1.956462926092e-13       4.037096313322e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.082538165892e-10       2.012006497759e-15       3.373032514917e-14       3.796190728924e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.740514549001e-11       1.647690708630e-15      -1.377806624937e-14       3.070367903947e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.297474525264e-11       1.176276965283e-15      -2.648517745414e-14       2.230860172418e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.041593835594e-11       7.755177289847e-16      -2.855568891733e-14       1.508715115119e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.882462766808e-11       5.277766860337e-16      -2.811657426217e-14       9.974333674886e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.775299010532e-11       4.312591866287e-16      -2.819129651424e-14       6.986441117493e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.696836154245e-11       4.436322361872e-16      -2.958756368213e-14       5.698460537605e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.634225321914e-11       5.182550301424e-16      -3.227381022053e-14       5.579389146362e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.579978011279e-11       6.222436562542e-16      -3.598801727285e-14       6.168702131536e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.529621287833e-11       7.385520873652e-16      -4.047994646982e-14       7.144357845763e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.480499495548e-11       8.615363860568e-16      -4.558296984084e-14       8.312667235831e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.431079343686e-11       9.901932664610e-16      -5.120101252344e-14       9.581380906950e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.380504924864e-11       1.125370109509e-15      -5.728571754328e-14       1.090980693861e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.328326312665e-11       1.267005425473e-15      -6.382193557706e-14       1.229077068344e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.274338580895e-11       1.415417698355e-15      -7.080280307761e-14       1.371752435368e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.217882720521e-11       1.569745958502e-15      -7.821433958803e-14       1.519406280103e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.160769447114e-11       1.729619316699e-15      -8.604298477752e-14       1.671927306140e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.101112195979e-11       1.895033538873e-15      -9.426674062379e-14       1.828992136718e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       8.039982201795e-11       2.065961702247e-15      -1.028612720829e-13       1.990445170408e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.976830811872e-11       2.242420712393e-15      -1.117957685270e-13       2.156216993527e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.912471662410e-11       2.424418820272e-15      -1.210421443901e-13       2.326105383785e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.846322453461e-11       2.611965069558e-15      -1.305696869935e-13       2.499859535741e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.778717569611e-11       2.804917414244e-15      -1.403502116866e-13       2.677130524339e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.709131896194e-11       3.003071649610e-15      -1.503547884318e-13       2.857550508782e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.638609202010e-11       3.206181664501e-15      -1.605586490773e-13       3.040853389230e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.567261777008e-11       3.413966816564e-15      -1.709368946834e-13       3.226822005643e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.493970294329e-11       3.626119182319e-15      -1.814634303875e-13       3.415242280439e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.419392765658e-11       3.842321735763e-15      -1.921137609763e-13       3.605817043044e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.343829961750e-11       4.062233011141e-15      -2.028632626105e-13       3.798217997731e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.266783423178e-11       4.285518931206e-15      -2.136870998657e-13       3.992124484852e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.188664415696e-11       4.511988992275e-15      -2.245624261893e-13       4.187285103764e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.109511171707e-11       4.741511535589e-15      -2.354670799571e-13       4.383479915653e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       7.028864720374e-11       4.973951100471e-15      -2.463789828728e-13       4.580491877678e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.947240740335e-11       5.209067674529e-15      -2.572757989842e-13       4.778059393525e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.865034743789e-11       5.446582758093e-15      -2.681352633675e-13       4.975907903011e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.782049879085e-11       5.686204963105e-15      -2.789353483650e-13       5.173762298508e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.697782482470e-11       5.927647321826e-15      -2.896544542280e-13       5.371346557246e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.612552792101e-11       6.170688385201e-15      -3.002719145900e-13       5.568382776253e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.526651778506e-11       6.415130531997e-15      -3.107677629263e-13       5.764591609481e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.439986980426e-11       6.660784132460e-15      -3.211226848968e-13       5.959692352243e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       6.352286522166e-11       6.907449610293e-15      -3.313177410636e-13       6.153409625848e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       6.263877520863e-11       7.154855677273e-15      -3.413332656540e-13       6.345496248410e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       6.175086111532e-11       7.402702741788e-15      -3.511497425917e-13       6.535717263191e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   46       6.085994290094e-11       7.650679091285e-15      -3.607481696782e-13       6.723844021985e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   47       5.996417143975e-11       7.898460258625e-15      -3.701101066319e-13       6.909654478970e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   48       5.906068094042e-11       8.145735932821e-15      -3.792190418563e-13       7.092933604626e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   49       5.815162829656e-11       8.392301140044e-15      -3.880648362454e-13       7.273474079825e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   50       5.723946495132e-11       8.637989676743e-15      -3.966406145686e-13       7.451076302264e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   51       5.632507689412e-11       8.882649562018e-15      -4.049416685925e-13       7.625548576068e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   52       5.540765289078e-11       9.126143809300e-15      -4.129655724015e-13       7.796707411771e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   53       5.448580098831e-11       9.368334199131e-15      -4.207101120301e-13       7.964378732025e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   54       5.356153840644e-11       9.609025922428e-15      -4.281661838879e-13       8.128401162228e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   55       5.263709796219e-11       9.848010047551e-15      -4.353232712031e-13       8.288624108875e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   56       5.171369195648e-11       1.008507933082e-14      -4.421714930141e-13       8.444907258230e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   57       5.079143274280e-11       1.032002827547e-14      -4.487016278468e-13       8.597120914275e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   58       4.986925329598e-11       1.055265319053e-14      -4.549051373927e-13       8.745146336668e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   59       4.894579087755e-11       1.078275744405e-14      -4.607743744712e-13       8.888871851719e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   60       4.802245807321e-11       1.101016851334e-14      -4.663032095355e-13       9.028179363128e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   61       4.710094582574e-11       1.123472500545e-14      -4.714865917657e-13       9.162955300351e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   62       4.618227721663e-11       1.145627204133e-14      -4.763204068909e-13       9.293094760835e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   63       4.526676068219e-11       1.167466149081e-14      -4.808015071140e-13       9.418501704677e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   64       4.435394322959e-11       1.188975220765e-14      -4.849277410363e-13       9.539089149295e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   65       4.344320157836e-11       1.210140125627e-14      -4.886975946883e-13       9.654774994484e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   66       4.253576618047e-11       1.230943490481e-14      -4.921089590447e-13       9.765468032682e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   67       4.163304348860e-11       1.251367189087e-14      -4.951601542124e-13       9.871079315147e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   68       4.073598745565e-11       1.271393187098e-14      -4.978503139833e-13       9.971526331218e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   69       3.984507059485e-11       1.291003540369e-14      -5.001794048808e-13       1.006673308075e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   70       3.896025503985e-11       1.310180393252e-14      -5.021482452066e-13       1.015663014654e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   71       3.808096360494e-11       1.328905976906e-14      -5.037585240870e-13       1.024115476680e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   72       3.720657010871e-11       1.347163392755e-14      -5.050125012785e-13       1.032025411054e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   73       3.633804361702e-11       1.364939140749e-14      -5.059119975468e-13       1.039389567074e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   74       3.547656898300e-11       1.382221075598e-14      -5.064592440092e-13       1.046205900632e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   75       3.462303875409e-11       1.398997680562e-14      -5.066571957623e-13       1.052473285910e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   76       3.377803608753e-11       1.415258083684e-14      -5.065095436405e-13       1.058191529927e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   77       3.294181766581e-11       1.430992074017e-14      -5.060207259737e-13       1.063361387101e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   78       3.211429661213e-11       1.446190117851e-14      -5.051959403455e-13       1.067984573803e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   79       3.129502540586e-11       1.460843374947e-14      -5.040411553512e-13       1.072063782918e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   80       3.048355440158e-11       1.474943350288e-14      -5.025626824351e-13       1.075602126700e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   81       2.968061667585e-11       1.488480743993e-14      -5.007657799039e-13       1.078601321907e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   82       2.888711872332e-11       1.501446430368e-14      -4.986558268072e-13       1.081063214585e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   83       2.810377315668e-11       1.513831813965e-14      -4.962387448808e-13       1.082990327679e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   84       2.733108857773e-11       1.525628839071e-14      -4.935210021579e-13       1.084385865002e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   85       2.656935944847e-11       1.536829999179e-14      -4.905096165806e-13       1.085253715201e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   86       2.581865596218e-11       1.547428346475e-14      -4.872121596109e-13       1.085598455736e-14       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
