# Matter power spectrum P(k) at redshift z=0
# for k=1.0474e-05 to 5.33843 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.350885227064e-02       2.323841045020e+04 
       1.363791951924e-02       2.327728842265e+04 
       1.376702309082e-02       2.331413074509e+04 
       1.389616309942e-02       2.334900016272e+04 
       1.402533968211e-02       2.338188358297e+04 
       1.415455299864e-02       2.341280971870e+04 
       1.428380323108e-02       2.344183996948e+04 
       1.441309058354e-02       2.346897730182e+04 
       1.454241528189e-02       2.349421946081e+04 
       1.467177757354e-02       2.351762288988e+04 
       1.480117772723e-02       2.353921737197e+04 
       1.493061603281e-02       2.355898162758e+04 
       1.506009280116e-02       2.357699174418e+04 
       1.518960836402e-02       2.359325610882e+04 
       1.531916307389e-02       2.360777127027e+04 
       1.544875730396e-02       2.362058160522e+04 
       1.557839144806e-02       2.363171617146e+04 
       1.570806592063e-02       2.364117966256e+04 
       1.583778115670e-02       2.364899012404e+04 
       1.596753761190e-02       2.365520844034e+04 
       1.609733576253e-02       2.365982177556e+04 
       1.622717610556e-02       2.366284379822e+04 
       1.635705915872e-02       2.366431522678e+04 
       1.648698546061e-02       2.366427586807e+04 
       1.661695557079e-02       2.366270112738e+04 
       1.674697006989e-02       2.365965848607e+04 
       1.687702955981e-02       2.365512327740e+04 
       1.700713466382e-02       2.364915542599e+04 
       1.713728602678e-02       2.364175485607e+04 
       1.726748431532e-02       2.363295037664e+04 
       1.739773021808e-02       2.362275197605e+04 
       1.752802444590e-02       2.361119539185e+04 
       1.765836773209e-02       2.359828669768e+04 
       1.778876083270e-02       2.358405365598e+04 
       1.791920452680e-02       2.356850628224e+04 
       1.804969961676e-02       2.355167139594e+04 
       1.818024692859e-02       2.353357615238e+04 
       1.831084731225e-02       2.351421426401e+04 
       1.844150164201e-02       2.349363532577e+04 
       1.857221081681e-02       2.347185121857e+04 
       1.870297576063e-02       2.344884045874e+04 
       1.883379742293e-02       2.342469927317e+04 
       1.896467677901e-02       2.339935504595e+04 
       1.909561483047e-02       2.337289522133e+04 
       1.922661260569e-02       2.334533750097e+04 
       1.935767116022e-02       2.331662632951e+04 
       1.948879157736e-02       2.328688901791e+04 
       1.961997496860e-02       2.325606400455e+04 
       1.975122247416e-02       2.322418853618e+04 
       1.988253526353e-02       2.319126615821e+04 
       2.001391453606e-02       2.315734927868e+04 
       2.014536152151e-02       2.312244320513e+04 
       2.027687748063e-02       2.308652095073e+04 
       2.040846370586e-02       2.304967554054e+04 
       2.054012152189e-02       2.301184638870e+04 
       2.067185228636e-02       2.297310664450e+04 
       2.080365739056e-02       2.293347744700e+04 
       2.093553826011e-02       2.289292200941e+04 
       2.106749635572e-02       2.285148076343e+04 
       2.119953317390e-02       2.280920398066e+04 
       2.133165024778e-02       2.276598893955e+04 
       2.146384914793e-02       2.272208055182e+04 
       2.159613148311e-02       2.267722575238e+04 
       2.172849890123e-02       2.263170115673e+04 
       2.186095309013e-02       2.258528958829e+04 
       2.199349577857e-02       2.253814417395e+04 
       2.212612873714e-02       2.249025925872e+04 
       2.225885377921e-02       2.244156194965e+04 
       2.239167276196e-02       2.239221839211e+04 
       2.252458758737e-02       2.234210669455e+04 
       2.265760020335e-02       2.229130574303e+04 
       2.279071260475e-02       2.223989198185e+04 
       2.292392683455e-02       2.218770808343e+04 
       2.305724498501e-02       2.213492617303e+04 
       2.319066919886e-02       2.208149474560e+04 
       2.332420167054e-02       2.202752510811e+04 
       2.345784464751e-02       2.197276112400e+04 
       2.359160043151e-02       2.191731803875e+04 
       2.372547137999e-02       2.186161301583e+04 
       2.385945990743e-02       2.180477769796e+04 
       2.399356848688e-02       2.174815522680e+04 
       2.412779965139e-02       2.169021103761e+04 
       2.426215599556e-02       2.163261299433e+04 
       2.439664017717e-02       2.157390576962e+04 
       2.453125491877e-02       2.151465224867e+04 
       2.466600300943e-02       2.145508527021e+04 
       2.480088730644e-02       2.139518053864e+04 
       2.493591073717e-02       2.133430303979e+04 
       2.507107630089e-02       2.127336041045e+04 
       2.520638707076e-02       2.121193464446e+04 
       2.534184619575e-02       2.115040031390e+04 
       2.547745690277e-02       2.108774806854e+04 
       2.561322249877e-02       2.102501979462e+04 
       2.574914637295e-02       2.096219743041e+04 
       2.588523199902e-02       2.089814011273e+04 
       2.602148293758e-02       2.083421722672e+04 
       2.615790283856e-02       2.076991669933e+04 
       2.629449544372e-02       2.070532332623e+04 
       2.643126458926e-02       2.064030323450e+04 
       2.656821420854e-02       2.057496921050e+04 
       2.670534833486e-02       2.050942137622e+04 
       2.684267110436e-02       2.044343098190e+04 
       2.698018675902e-02       2.037722616936e+04 
       2.711789964975e-02       2.031077800396e+04 
       2.725581423965e-02       2.024388421866e+04 
       2.739393510727e-02       2.017682170840e+04 
       2.753226695016e-02       2.010945622107e+04 
       2.767081458837e-02       2.004201689881e+04 
       2.780958296823e-02       1.997389780294e+04 
       2.794857716619e-02       1.990585818691e+04 
       2.808780239279e-02       1.983789376075e+04 
       2.822726399688e-02       1.976918337459e+04 
       2.836696746986e-02       1.970037137732e+04 
       2.850691845024e-02       1.963140528400e+04 
       2.864712272822e-02       1.956230758958e+04 
       2.878758625060e-02       1.949296239596e+04 
       2.892831512573e-02       1.942319346674e+04 
       2.906931562883e-02       1.935375308729e+04 
       2.921059420734e-02       1.928387700308e+04 
       2.935215748665e-02       1.921397050434e+04 
       2.949401227593e-02       1.914380195893e+04 
       2.963616557432e-02       1.907347367813e+04 
       2.977862457727e-02       1.900306903828e+04 
       2.992139668320e-02       1.893249654564e+04 
       3.006448950045e-02       1.886187873660e+04 
       3.020791085450e-02       1.879108942700e+04 
       3.035166879551e-02       1.871992125976e+04 
       3.049577160616e-02       1.864925605365e+04 
       3.064022780987e-02       1.857792554188e+04 
       3.078504617938e-02       1.850692881511e+04 
       3.093023574568e-02       1.843606848507e+04 
       3.107580580734e-02       1.836472330599e+04 
       3.122176594031e-02       1.829296677280e+04 
       3.136812600813e-02       1.822150182949e+04 
       3.151489617258e-02       1.815030677065e+04 
       3.166208690490e-02       1.807882204835e+04 
       3.180970899746e-02       1.800688799327e+04 
       3.195777357603e-02       1.793523789947e+04 
       3.210629211263e-02       1.786370338278e+04 
       3.225527643898e-02       1.779222691363e+04 
       3.240473876061e-02       1.772031000769e+04 
       3.255469167168e-02       1.764859234372e+04 
       3.270514817053e-02       1.757686599597e+04 
       3.285612167596e-02       1.750517968946e+04 
       3.300762604446e-02       1.743345246520e+04 
       3.315967558814e-02       1.736167131944e+04 
       3.331228509377e-02       1.728995104174e+04 
       3.346546984268e-02       1.721819350076e+04 
       3.361924563178e-02       1.714647038524e+04 
       3.377362879567e-02       1.707469435252e+04 
       3.392863622994e-02       1.700281640134e+04 
       3.408428541577e-02       1.693118963525e+04 
       3.424059444587e-02       1.685941584777e+04 
       3.439758205181e-02       1.678802496457e+04 
       3.455526763296e-02       1.671627812420e+04 
       3.471367128708e-02       1.664466169776e+04 
       3.487281384258e-02       1.657306751257e+04 
       3.503271689275e-02       1.650154251501e+04 
       3.519340283197e-02       1.643016278128e+04 
       3.535489489404e-02       1.635837492337e+04 
       3.551721719292e-02       1.628694687948e+04 
       3.568039476581e-02       1.621555525113e+04 
       3.584445361901e-02       1.614427918897e+04 
       3.600942077660e-02       1.607305428597e+04 
       3.617532433216e-02       1.600178944307e+04 
       3.634219350386e-02       1.593064394520e+04 
       3.651005869307e-02       1.585936223128e+04 
       3.667895154687e-02       1.578818479580e+04 
       3.684890502463e-02       1.571715571387e+04 
       3.701995346917e-02       1.564595749139e+04 
       3.719213268269e-02       1.557511870905e+04 
       3.736548000800e-02       1.550393405772e+04 
       3.754003441543e-02       1.543304401372e+04 
       3.771583659587e-02       1.536218317928e+04 
       3.789292906059e-02       1.529132508015e+04 
       3.807135624826e-02       1.522073002453e+04 
       3.825116463995e-02       1.514977931318e+04 
       3.843240288273e-02       1.507924234455e+04 
       3.861512192270e-02       1.500852174526e+04 
       3.879937514834e-02       1.493773872413e+04 
       3.898521854505e-02       1.486716792934e+04 
       3.917271086201e-02       1.479656688000e+04 
       3.936191379260e-02       1.472592256435e+04 
       3.955289216957e-02       1.465545664238e+04 
       3.974571417650e-02       1.458488605806e+04 
       3.994045157728e-02       1.451439166312e+04 
       4.013717996522e-02       1.444380556169e+04 
       4.033597903410e-02       1.437334003008e+04 
       4.053693287334e-02       1.430304289961e+04 
       4.074013028983e-02       1.423236282823e+04 
       4.094566515955e-02       1.416176990839e+04 
       4.115363681204e-02       1.409136854706e+04 
       4.136415045166e-02       1.402065531058e+04 
       4.157731761973e-02       1.395003115391e+04 
       4.179325670246e-02       1.387955331366e+04 
       4.201209349005e-02       1.380862231386e+04 
       4.223396179330e-02       1.373794460233e+04 
       4.245900412479e-02       1.366711720337e+04 
       4.268737245281e-02       1.359610644227e+04 
       4.291922903745e-02       1.352524334152e+04 
       4.315474735972e-02       1.345421631532e+04 
       4.339411315605e-02       1.338286321759e+04 
       4.363752557277e-02       1.331139379234e+04 
       4.388519845727e-02       1.324016406599e+04 
       4.413736180540e-02       1.316829315578e+04 
       4.439426338800e-02       1.309656169722e+04 
       4.465617058316e-02       1.302469267557e+04 
       4.492337244581e-02       1.295230831521e+04 
       4.519618205152e-02       1.287996698156e+04 
       4.547493915853e-02       1.280729969315e+04 
       4.576001323983e-02       1.273429760211e+04 
       4.605180694754e-02       1.266106788098e+04 
