# Matter power spectrum P(k) at redshift z=0
# for k=1.04482e-05 to 5.30557 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044824009827e-05       4.778828447671e+01 
       2.329777051290e-05       1.036989650476e+02 
       3.619233229967e-05       1.587053829677e+02 
       4.916645011750e-05       2.133735331427e+02 
       6.225521746071e-05       2.680308984479e+02 
       7.549460805902e-05       3.229260434241e+02 
       8.892179719561e-05       3.782735001056e+02 
       1.025754971975e-04       4.342721920016e+02 
       1.164963113852e-04       4.911149202285e+02 
       1.307271108012e-04       5.489941269577e+02 
       1.453134380454e-04       6.081059241694e+02 
       1.603039424870e-04       6.686532243766e+02 
       1.757508509516e-04       7.308484239886e+02 
       1.917104776221e-04       7.949158479347e+02 
       2.082437762580e-04       8.610940806512e+02 
       2.254169367864e-04       9.296382632142e+02 
       2.433020267070e-04       1.000822383522e+03 
       2.619776753495e-04       1.074941562696e+03 
       2.815297955737e-04       1.152314332859e+03 
       3.020523326830e-04       1.233284857313e+03 
       3.236480237671e-04       1.318225024716e+03 
       3.464291419988e-04       1.407536313142e+03 
       3.705181892158e-04       1.501651278441e+03 
       3.960484861675e-04       1.601034474086e+03 
       4.231645930926e-04       1.706182552235e+03 
       4.520224743258e-04       1.817623235092e+03 
       4.827893006651e-04       1.935912794264e+03 
       5.156427647151e-04       2.061631610282e+03 
       5.507697712665e-04       2.195377381071e+03 
       5.883643626302e-04       2.337755536422e+03 
       6.286247548689e-04       2.489366520251e+03 
       6.717494028338e-04       2.650789802429e+03 
       7.179320862866e-04       2.822564665471e+03 
       7.673561182909e-04       3.005168361768e+03 
       8.201879146257e-04       3.198992619522e+03 
       8.765703122494e-04       3.404320007159e+03 
       9.366161573569e-04       3.621302180641e+03 
       1.000402763557e-03       3.849942219353e+03 
       1.067967834612e-03       4.090083205457e+03 
       1.139307335559e-03       4.341404841834e+03 
       1.214375588300e-03       4.603428830348e+03 
       1.293087599077e-03       4.875532990981e+03 
       1.375323351846e-03       5.156952956328e+03 
