# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)            3:P_tensor(k)        
       7.086533911972e-06       2.837860241001e-09       8.988190425060e-09 
       8.921417623323e-06       2.815762323348e-09       8.557676066018e-09 
       1.123139935523e-05       2.793836478286e-09       8.152700420313e-09 
       1.413949405831e-05       2.772081365916e-09       7.771577595478e-09 
       1.780056837991e-05       2.750495656773e-09       7.412743178668e-09 
       2.240958787785e-05       2.729078031743e-09       7.074744867917e-09 
       2.821199964727e-05       2.707827181986e-09       6.756233869295e-09 
       3.551680327347e-05       2.686741808851e-09       6.455956994141e-09 
       4.471300618667e-05       2.665820623801e-09       6.172749396467e-09 
       5.629033972610e-05       2.645062348333e-09       5.905527895999e-09 
       7.086533911972e-05       2.624465713899e-09       5.653284837160e-09 
       8.921417623323e-05       2.604029461827e-09       5.415082438723e-09 
       1.123139935523e-04       2.583752343249e-09       5.190047592870e-09 
       1.413949405831e-04       2.563633119021e-09       4.977367076010e-09 
       1.780056837991e-04       2.543670559647e-09       4.776283137020e-09 
       2.240958787785e-04       2.523863445205e-09       4.586089431580e-09 
       2.821199964727e-04       2.504210565273e-09       4.406127273975e-09 
       3.551680327347e-04       2.484710718855e-09       4.235782180246e-09 
       4.471300618667e-04       2.465362714304e-09       4.074480678801e-09 
       5.629033972610e-04       2.446165369256e-09       3.921687366669e-09 
       7.086533911972e-04       2.427117510550e-09       3.776902191436e-09 
       8.921417623323e-04       2.408217974165e-09       3.639657940608e-09 
       1.123139935523e-03       2.389465605139e-09       3.509517921699e-09 
       1.413949405831e-03       2.370859257506e-09       3.386073817745e-09 
       1.780056837991e-03       2.352397794224e-09       3.268943704252e-09 
       2.240958787785e-03       2.334080087103e-09       3.157770214734e-09 
       2.821199964727e-03       2.315905016740e-09       3.052218843101e-09 
       3.551680327347e-03       2.297871472448e-09       2.951976372101e-09 
       4.471300618667e-03       2.279978352187e-09       2.856749417948e-09 
       5.629033972610e-03       2.262224562501e-09       2.766263082054e-09 
       7.086533911972e-03       2.244609018447e-09       2.680259701553e-09 
       8.921417623323e-03       2.227130643530e-09       2.598497690966e-09 
       1.123139935523e-02       2.209788369639e-09       2.520750468000e-09 
       1.413949405831e-02       2.192581136979e-09       2.446805457023e-09 
       1.780056837991e-02       2.175507894008e-09       2.376463164298e-09 
       2.240958787785e-02       2.158567597372e-09       2.309536319524e-09 
       2.821199964727e-02       2.141759211840e-09       2.245849078680e-09 
       3.551680327347e-02       2.125081710245e-09       2.185236283547e-09 
       4.471300618667e-02       2.108534073417e-09       2.127542773692e-09 
       5.629033972610e-02       2.092115290120e-09       2.072622746987e-09 
       7.086533911972e-02       2.075824356996e-09       2.020339165072e-09 
       8.921417623323e-02       2.059660278497e-09       1.970563200461e-09 
       1.123139935523e-01       2.043622066830e-09       1.923173722225e-09 
       1.413949405831e-01       2.027708741891e-09       1.878056817445e-09 
       1.780056837991e-01       2.011919331209e-09       1.835105345843e-09 
       2.240958787785e-01       1.996252869886e-09       1.794218525191e-09 
       2.821199964727e-01       1.980708400537e-09       1.755301545300e-09 
       3.551680327347e-01       1.965284973232e-09       1.718265208554e-09 
       4.471300618667e-01       1.949981645437e-09       1.683025595094e-09 
       5.629033972610e-01       1.934797481960e-09       1.649503750939e-09 
       7.086533911972e-01       1.919731554888e-09       1.617625397424e-09 
       8.921417623323e-01       1.904782943535e-09       1.587320660491e-09 
       1.123139935523e+00       1.889950734385e-09       1.558523818448e-09 
       1.413949405831e+00       1.875234021034e-09       1.531173066957e-09 
       1.780056837991e+00       1.860631904137e-09       1.505210300062e-09 
       2.240958787785e+00       1.846143491351e-09       1.480580906197e-09 
       2.821199964727e+00       1.831767897282e-09       1.457233578167e-09 
       3.551680327347e+00       1.817504243432e-09       1.435120136194e-09 
       4.471300618667e+00       1.803351658141e-09       1.414195363162e-09 
