# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.000000000000e+14       7.329225121721e-26       4.494722816162e-09       2.225039974021e+22       1.405991022401e+04       1.405991022401e-10       1.405991022401e+18       2.594786052972e-09       2.751560535470e+44       2.490422367464e+33       1.336376166075e+34       2.970481731596e+43       3.333333333220e-01       1.902194177205e+44       4.950802885993e+44       4.950802885993e+44       1.650267628608e+44      -1.468764576593e+53       6.997663707737e-06       2.000000000000e+00 
       9.991943997396e+13       7.341048258808e-26       4.498360794969e-09       2.221456432489e+22       1.405991022401e+04       1.407124602347e-10       1.404858355667e+18       2.596878098688e-09       2.742704612622e+44       2.484408360229e+33       1.333149012305e+34       2.960921208851e+43       3.333333333220e-01       1.896071947780e+44       4.934868681445e+44       4.934868681445e+44       1.644956227092e+44      -1.462857915451e+53       7.008942891014e-06       1.996781488055e+00 
       9.983894484710e+13       7.352890467866e-26       4.501998773776e-09       2.217878662430e+22       1.405991022401e+04       1.408259096242e-10       1.403726601410e+18       2.598971831075e-09       2.733877192643e+44       2.478408875946e+33       1.329929651642e+34       2.951391456526e+43       3.333333333220e-01       1.889969422807e+44       4.918985761261e+44       4.918985761261e+44       1.639661920364e+44      -1.456975008035e+53       7.020222074291e-06       1.993573318269e+00 
       9.975851456713e+13       7.364751780095e-26       4.505636752583e-09       2.214306654560e+22       1.405991022401e+04       1.409394504822e-10       1.402595758894e+18       2.601067251530e-09       2.725078183797e+44       2.472423879544e+33       1.326718065266e+34       2.941892376063e+43       3.333333333220e-01       1.883886538866e+44       4.903153960427e+44       4.903153960427e+44       1.634384653420e+44      -1.451115758841e+53       7.031501257569e-06       1.990375440887e+00 
       9.967814908182e+13       7.376632226432e-26       4.509274731390e-09       2.210740399589e+22       1.405991022401e+04       1.410530828825e-10       1.401465827386e+18       2.603164361418e-09       2.716307494641e+44       2.466453336036e+33       1.323514234403e+34       2.932423868354e+43       3.333333333219e-01       1.877823232743e+44       4.887373114377e+44       4.887373114377e+44       1.629124371403e+44      -1.445280072710e+53       7.042780440846e-06       1.987187806461e+00 
       9.959784833896e+13       7.388531837722e-26       4.512912710197e-09       2.207179888256e+22       1.405991022401e+04       1.411668068989e-10       1.400336806150e+18       2.605263162102e-09       2.707565034029e+44       2.460497210521e+33       1.320318140325e+34       2.922985835072e+43       3.333333333219e-01       1.871779441427e+44       4.871643059120e+44       4.871643059120e+44       1.623881019651e+44      -1.439467854885e+53       7.054059624123e-06       1.984010365858e+00 
       9.951761228640e+13       7.400450644856e-26       4.516550689004e-09       2.203625111309e+22       1.405991022401e+04       1.412806226052e-10       1.399208694455e+18       2.607363654943e-09       2.698850711107e+44       2.454555468182e+33       1.317129764349e+34       2.913578178215e+43       3.333333333219e-01       1.865755102108e+44       4.855963631193e+44       4.855963631193e+44       1.618654543675e+44      -1.433679010991e+53       7.065338807400e-06       1.980843070256e+00 
       9.943744087203e+13       7.412388678785e-26       4.520188667811e-09       2.200076059516e+22       1.405991022401e+04       1.413945300755e-10       1.398081491566e+18       2.609465841305e-09       2.690164435313e+44       2.448628074284e+33       1.313949087836e+34       2.904200800062e+43       3.333333333219e-01       1.859750152181e+44       4.840334667656e+44       4.840334667656e+44       1.613444889163e+44      -1.427913447033e+53       7.076617990677e-06       1.977685871145e+00 
       9.935733404377e+13       7.424345970526e-26       4.523826646619e-09       2.196532723655e+22       1.405991022401e+04       1.415085293836e-10       1.396955196752e+18       2.611569722552e-09       2.681506116377e+44       2.442714994180e+33       1.310776092193e+34       2.894853603163e+43       3.333333333219e-01       1.853764529240e+44       4.824756006089e+44       4.824756006089e+44       1.608252001975e+44      -1.422171069389e+53       7.087897173954e-06       1.974538720324e+00 
       9.927729174959e+13       7.436322551169e-26       4.527464625426e-09       2.192995094520e+22       1.405991022401e+04       1.416226206036e-10       1.395829809282e+18       2.613675300054e-09       2.672875664320e+44       2.436816193302e+33       1.307610758873e+34       2.885536490298e+43       3.333333333219e-01       1.847798171082e+44       4.809227484587e+44       4.809227484587e+44       1.603075828141e+44      -1.416451784813e+53       7.099176357232e-06       1.971401569901e+00 
