# Matter power spectrum P(k) at redshift z=0
# for k=1.04887e-05 to 4.87874 h/Mpc,
# number of wavenumbers equal to 551
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.402637430718e-02       1.782224200366e+04 
       1.415923008919e-02       1.783063354144e+04 
       1.429212264674e-02       1.783765413893e+04 
       1.442505213951e-02       1.784331270007e+04 
       1.455801874989e-02       1.784764264027e+04 
       1.469102268257e-02       1.785064980020e+04 
       1.482406416433e-02       1.785236932437e+04 
       1.495714344375e-02       1.785281230587e+04 
       1.509026079103e-02       1.785200080075e+04 
       1.522341649773e-02       1.784995375849e+04 
       1.535661087671e-02       1.784669793270e+04 
       1.548984426190e-02       1.784223288502e+04 
       1.562311700823e-02       1.783658958021e+04 
       1.575642949155e-02       1.782979548329e+04 
       1.588978210858e-02       1.782184536443e+04 
       1.602317527683e-02       1.781277995982e+04 
       1.615660943463e-02       1.780260545509e+04 
       1.629008504109e-02       1.779134081999e+04 
       1.642360257617e-02       1.777900458369e+04 
       1.655716254070e-02       1.776561617675e+04 
       1.669076545648e-02       1.775118201277e+04 
       1.682441186630e-02       1.773573760460e+04 
       1.695810233413e-02       1.771928168089e+04 
       1.709183744516e-02       1.770184149751e+04 
       1.722561780602e-02       1.768342181870e+04 
       1.735944404489e-02       1.766406028853e+04 
       1.749331681167e-02       1.764374350459e+04 
       1.762723677823e-02       1.762250845724e+04 
       1.776120463857e-02       1.760036691582e+04 
       1.789522110907e-02       1.757733338515e+04 
       1.802928692873e-02       1.755341199612e+04 
       1.816340285943e-02       1.752863186348e+04 
       1.829756968625e-02       1.750301160838e+04 
       1.843178821770e-02       1.747656058304e+04 
       1.856605928607e-02       1.744928968564e+04 
       1.870038374778e-02       1.742121645929e+04 
       1.883476248368e-02       1.739232826475e+04 
       1.896919639946e-02       1.736268884693e+04 
       1.910368642599e-02       1.733228841399e+04 
       1.923823351976e-02       1.730114948897e+04 
       1.937283866326e-02       1.726926305356e+04 
       1.950750286543e-02       1.723665362216e+04 
       1.964222716211e-02       1.720334860998e+04 
       1.977701261650e-02       1.716934613743e+04 
       1.991186031966e-02       1.713466780894e+04 
       2.004677139100e-02       1.709932685192e+04 
       2.018174697883e-02       1.706332457654e+04 
       2.031678826085e-02       1.702668762395e+04 
       2.045189644478e-02       1.698942545844e+04 
       2.058707276889e-02       1.695154672659e+04 
