# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       2.483592697473e-10       1.309743795188e-14      -8.456665880000e-14       5.438741232693e-15       5.820696095204e-11       1.010101320379e-11      -3.062829195636e-15 
   41       2.504407177851e-10       1.395511584564e-14      -1.054012774921e-13       5.633942812121e-15       5.523257276586e-11       9.713958307982e-12      -2.322601715115e-15 
   42       2.525344288631e-10       1.484708347955e-14      -1.276524178921e-13       5.828438472211e-15       5.246208515982e-11       9.346900771563e-12      -1.718518143820e-15 
   43       2.546272942892e-10       1.577297178287e-14      -1.513322174866e-13       6.022028521085e-15       4.986434427091e-11       8.998103111396e-12      -1.533299340292e-15 
   44       2.567261040206e-10       1.673318585310e-14      -1.764418871027e-13       6.214480193367e-15       4.743475418294e-11       8.667780287972e-12      -1.757741075683e-15 
   45       2.588400304943e-10       1.772836959599e-14      -2.029764427338e-13       6.405551928284e-15       4.517035780086e-11       8.355974766476e-12      -2.283126778067e-15 
   46       2.609736539503e-10       1.875920303319e-14      -2.309264331761e-13       6.595002610282e-15       4.305992541008e-11       8.061693702008e-12      -2.973697596874e-15 
   47       2.631264986783e-10       1.982640508114e-14      -2.602778121370e-13       6.782591521812e-15       4.108331268832e-11       7.782825672090e-12      -3.665040223856e-15 
   48       2.652954988848e-10       2.093058890219e-14      -2.910186704139e-13       6.968083835912e-15       3.921755607730e-11       7.516880949884e-12      -4.203617349628e-15 
   49       2.674843003452e-10       2.207177325764e-14      -3.231619749039e-13       7.151269035003e-15       3.745868866066e-11       7.263653372418e-12      -4.582297603182e-15 
   50       2.696957839925e-10       2.324973818557e-14      -3.567290197097e-13       7.331947602996e-15       3.580497090721e-11       7.023165757510e-12      -4.840259938237e-15 
   51       2.719290586746e-10       2.446415577597e-14      -3.917433423533e-13       7.509926168420e-15       3.425039932532e-11       6.794871640468e-12      -5.025661529968e-15 
   52       2.741791468704e-10       2.571458542787e-14      -4.282309458873e-13       7.685017739843e-15       3.278440821768e-11       6.577614023969e-12      -5.196124710031e-15 
   53       2.764401972491e-10       2.700058222491e-14      -4.662175168621e-13       7.857043772808e-15       3.139512560288e-11       6.370030871140e-12      -5.405751545311e-15 
   54       2.787168156216e-10       2.832206569708e-14      -5.057187280926e-13       8.025840452703e-15       3.008081042708e-11       6.171988950865e-12      -5.661126577662e-15 
   55       2.810150999111e-10       2.967903761716e-14      -5.467478294259e-13       8.191254437791e-15       2.884083655069e-11       5.983446802503e-12      -5.954849161153e-15 
   56       2.833392056868e-10       3.107147718220e-14      -5.893185276082e-13       8.353141474296e-15       2.767225014576e-11       5.804018253853e-12      -6.277939337037e-15 
   57       2.856911797567e-10       3.249934101348e-14      -6.334450824361e-13       8.511366708620e-15       2.656962047241e-11       5.632949902411e-12      -6.619759890114e-15 
   58       2.880707937600e-10       3.396256315647e-14      -6.791424029085e-13       8.665804999552e-15       2.552489065515e-11       5.469098596630e-12      -6.967938405087e-15 
   59       2.904768131660e-10       3.546099787479e-14      -7.264180661891e-13       8.816339619775e-15       2.452956420989e-11       5.311274930918e-12      -7.309835788542e-15 
   60       2.929115263468e-10       3.699423251852e-14      -7.752459917650e-13       8.962857299151e-15       2.358219649600e-11       5.159418026099e-12      -7.637527102668e-15 
   61       2.953769750583e-10       3.856173112104e-14      -8.255868127131e-13       9.105252580086e-15       2.268238236275e-11       5.013654254131e-12      -7.943841730800e-15 
   62       2.978734961673e-10       4.016288588440e-14      -8.773952413227e-13       9.243429579383e-15       2.182850475028e-11       4.873945306993e-12      -8.220893614725e-15 
   63       3.003996039022e-10       4.179701524011e-14      -9.306198914440e-13       9.377302245853e-15       2.101766464386e-11       4.740078085189e-12      -8.460055733605e-15 
   64       3.029518721034e-10       4.346336190991e-14      -9.852031008367e-13       9.506794617930e-15       2.024561102834e-11       4.611654586248e-12      -8.651934582897e-15 
   65       3.055267760616e-10       4.516109750907e-14      -1.041091875356e-12       9.631833355834e-15       1.950789603598e-11       4.488221622287e-12      -8.788955283125e-15 
   66       3.081269358909e-10       4.688934184528e-14      -1.098273814497e-12       9.752322921171e-15       1.880378206739e-11       4.369714615141e-12      -8.873810564929e-15 
   67       3.107559888129e-10       4.864714425246e-14      -1.156748499170e-12       9.868165585779e-15       1.813303936310e-11       4.256089991837e-12      -8.912760798527e-15 
   68       3.134166844824e-10       5.043347568547e-14      -1.216517172180e-12       9.979268734086e-15       1.749475871854e-11       4.147187564645e-12      -8.913227870313e-15 
   69       3.161108220521e-10       5.224722696391e-14      -1.277582871674e-12       1.008554490463e-14       1.688731570960e-11       4.042724330878e-12      -8.883842686393e-15 
   70       3.188391872361e-10       5.408720701591e-14      -1.339950564593e-12       1.018691183157e-14       1.630833491809e-11       3.942288272701e-12      -8.834492676120e-15 
   71       3.216014893745e-10       5.595214112187e-14      -1.403627280117e-12       1.028329248621e-14       1.575465415733e-11       3.845332156936e-12      -8.776369295625e-15 
   72       3.243971639272e-10       5.784073287080e-14      -1.468614413709e-12       1.037461941796e-14       1.522312817302e-11       3.751320959542e-12      -8.719615113699e-15 
   73       3.272280981449e-10       5.975186769997e-14      -1.534882632461e-12       1.046084864953e-14       1.471329784512e-11       3.660220678286e-12      -8.665636636234e-15 
   74       3.300963172913e-10       6.168444543283e-14      -1.602392371570e-12       1.054194853642e-14       1.422517107455e-11       3.572092579767e-12      -8.613394905130e-15 
   75       3.330031231281e-10       6.363731973173e-14      -1.671101192404e-12       1.061789584099e-14       1.375841237858e-11       3.486945241291e-12      -8.561667999087e-15 
   76       3.359490507377e-10       6.560929779633e-14      -1.740963737206e-12       1.068867587225e-14       1.331232628249e-11       3.404731858089e-12      -8.509043733089e-15 
   77       3.389338253459e-10       6.759914006203e-14      -1.811931683784e-12       1.075428262547e-14       1.288584071117e-11       3.325347550535e-12      -8.453912357874e-15 
   78       3.419563191453e-10       6.960555989835e-14      -1.883953700207e-12       1.081471892187e-14       1.247749038075e-11       3.248626671362e-12      -8.394459259419e-15 
   79       3.450145081171e-10       7.162722330733e-14      -1.956975399505e-12       1.086999654831e-14       1.208540019022e-11       3.174340112879e-12      -8.328657658416e-15 
   80       3.481064385358e-10       7.366274422174e-14      -2.030943425546e-12       1.092013146360e-14       1.170774590018e-11       3.102260603666e-12      -8.254875178118e-15 
   81       3.512334147688e-10       7.571067012274e-14      -2.105818627540e-12       1.096512815149e-14       1.134426484311e-11       3.032377582102e-12      -8.173830922602e-15 
   82       3.543972888602e-10       7.776949336223e-14      -2.181565101508e-12       1.100499279256e-14       1.099497848168e-11       2.964714898059e-12      -8.086966540637e-15 
   83       3.575994759200e-10       7.983765496403e-14      -2.258146293030e-12       1.103973800385e-14       1.065973077426e-11       2.899264726231e-12      -7.995866549746e-15 
   84       3.608409296446e-10       8.191354424083e-14      -2.335525028441e-12       1.106938288714e-14       1.033818040521e-11       2.835986132419e-12      -7.902262403617e-15 
   85       3.641221178378e-10       8.399549841113e-14      -2.413663546031e-12       1.109395307727e-14       1.002979301519e-11       2.774803639808e-12      -7.808036559514e-15 
   86       3.674429979307e-10       8.608180221608e-14      -2.492523527243e-12       1.111348079049e-14       9.733833431405e-12       2.715605795252e-12      -7.715226545685e-15 
   87       3.708029925031e-10       8.817068753651e-14      -2.572066127873e-12       1.112800487272e-14       9.449357897882e-12       2.658243735556e-12      -7.626029028777e-15 
   88       3.742009648038e-10       9.026033300974e-14      -2.652252009271e-12       1.113757084794e-14       9.175206305745e-12       2.602529753756e-12      -7.542803881245e-15 
   89       3.776358020019e-10       9.234890587046e-14      -2.733039651010e-12       1.114222916775e-14       8.910275847094e-12       2.548285537630e-12      -7.467515240186e-15 
   90       3.811083231551e-10       9.443469582993e-14      -2.814379917560e-12       1.114202954017e-14       8.654408109093e-12       2.495498682486e-12      -7.399945334010e-15 
   91       3.846196268312e-10       9.651600158998e-14      -2.896220692825e-12       1.113702579611e-14       8.407627468434e-12       2.444188202861e-12      -7.339206653711e-15 
   92       3.881704948605e-10       9.859109073466e-14      -2.978508528163e-12       1.112727762998e-14       8.169868551544e-12       2.394356365980e-12      -7.284275712240e-15 
   93       3.917613769617e-10       1.006581999797e-13      -3.061188647845e-12       1.111285062101e-14       7.940972680939e-12       2.345988002192e-12      -7.233988677332e-15 
   94       3.953923753668e-10       1.027155354222e-13      -3.144204954506e-12       1.109381625468e-14       7.720684321583e-12       2.299049815409e-12      -7.187037004328e-15 
   95       3.990632294462e-10       1.047612727897e-13      -3.227500034600e-12       1.107025194407e-14       7.508647527245e-12       2.253489693535e-12      -7.141963069007e-15 
   96       4.027733003342e-10       1.067935576902e-13      -3.311015163848e-12       1.104224105120e-14       7.304402386860e-12       2.209236018907e-12      -7.097155800403e-15 
   97       4.065215555540e-10       1.088105058611e-13      -3.394690312700e-12       1.100987290848e-14       7.107381470882e-12       2.166196978725e-12      -7.050846313636e-15 
   98       4.103065536427e-10       1.108102034192e-13      -3.478464151779e-12       1.097324283999e-14       6.916906277644e-12       2.124259875492e-12      -7.001103542736e-15 
   99       4.141269112930e-10       1.127907452991e-13      -3.562275063830e-12       1.093244846488e-14       6.732341391860e-12       2.083319633668e-12      -6.946283533792e-15 
  100       4.179828135074e-10       1.147503562429e-13      -3.646064331305e-12       1.088757796368e-14       6.553589556233e-12       2.043370417357e-12      -6.886459377589e-15 
  101       4.218746897774e-10       1.166872874909e-13      -3.729773412501e-12       1.083872018198e-14       6.380660447098e-12       2.004425768841e-12      -6.822186643944e-15 
  102       4.258027412447e-10       1.185997808248e-13      -3.813342992778e-12       1.078596817681e-14       6.213517596916e-12       1.966490238640e-12      -6.754068907883e-15 
  103       4.297669311752e-10       1.204860692795e-13      -3.896713002217e-12       1.072941919288e-14       6.052076752303e-12       1.929559049840e-12      -6.682758881382e-15 
  104       4.337669754326e-10       1.223443778561e-13      -3.979822633266e-12       1.066917463898e-14       5.896204232041e-12       1.893617762421e-12      -6.608959545103e-15 
  105       4.378023329526e-10       1.241729242343e-13      -4.062610358399e-12       1.060534006420e-14       5.745715285104e-12       1.858641937588e-12      -6.533425280132e-15 
  106       4.418721962168e-10       1.259699194842e-13      -4.145013947769e-12       1.053802513428e-14       5.600372448678e-12       1.824596802094e-12      -6.456962999722e-15 
  107       4.459754817261e-10       1.277335687791e-13      -4.226970486856e-12       1.046734360791e-14       5.459883906177e-12       1.791436912579e-12      -6.380433281024e-15 
  108       4.501108204754e-10       1.294620721080e-13      -4.308416394124e-12       1.039341331304e-14       5.323901845268e-12       1.759105819888e-12      -6.304751496833e-15 
  109       4.542765484266e-10       1.311536249877e-13      -4.389287438674e-12       1.031635612316e-14       5.192020815886e-12       1.727535733408e-12      -6.230888947320e-15 
  110       4.584710874409e-10       1.328064636169e-13      -4.469519050838e-12       1.023629437443e-14       5.063868421005e-12       1.696664536524e-12      -6.159682989721e-15 
  111       4.626941639189e-10       1.344190053776e-13      -4.549047261277e-12       1.015333964669e-14       4.939394103107e-12       1.666490028154e-12      -6.091237381793e-15 
  112       4.669457290179e-10       1.359897277319e-13      -4.627807915659e-12       1.006760249568e-14       4.818614415202e-12       1.637022027064e-12      -6.025446956285e-15 
  113       4.712255765121e-10       1.375171265231e-13      -4.705736412763e-12       9.979195825793e-15       4.701523265728e-12       1.608265478016e-12      -5.962181025889e-15 
  114       4.755333371038e-10       1.389997171258e-13      -4.782767725011e-12       9.888234831478e-15       4.588091184021e-12       1.580220286624e-12      -5.901282637811e-15 
  115       4.798684727350e-10       1.404360355942e-13      -4.858836418994e-12       9.794836938523e-15       4.478264585779e-12       1.552881154209e-12      -5.842567828333e-15 
  116       4.842302708983e-10       1.418246398118e-13      -4.933876676012e-12       9.699121745393e-15       4.371965038533e-12       1.526237412654e-12      -5.785824877389e-15 
  117       4.886178389488e-10       1.431641106404e-13      -5.007822312601e-12       9.601210964555e-15       4.269088527111e-12       1.500272859264e-12      -5.730813563126e-15 
  118       4.930300984146e-10       1.444530530692e-13      -5.080606801067e-12       9.501228363801e-15       4.169504719107e-12       1.474965591616e-12      -5.677264416479e-15 
  119       4.974657793089e-10       1.456900973641e-13      -5.152163290017e-12       9.399299707572e-15       4.073056230349e-12       1.450287842422e-12      -5.624877975735e-15 
  120       5.019234144409e-10       1.468739002167e-13      -5.222424624892e-12       9.295552698287e-15       3.979557890361e-12       1.426205814378e-12      -5.573324041102e-15 
