# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       2.317713328583e-10       1.389786562753e-14      -6.531622342320e-14       5.566540073935e-15       8.419324315361e-11       9.218606575586e-12      -7.309897453567e-15 
   41       2.333687889002e-10       1.480892212699e-14      -8.537918726071e-14       5.762745732502e-15       8.003361774432e-11       8.804767239330e-12      -6.753466852849e-15 
   42       2.349911111281e-10       1.575714286053e-14      -1.067055777775e-13       5.957821905099e-15       7.615081155569e-11       8.417015670556e-12      -6.461122456493e-15 
   43       2.366420439945e-10       1.674292009992e-14      -1.292226693298e-13       6.151418691924e-15       7.250297026642e-11       8.049220366353e-12      -6.529218664154e-15 
   44       2.383254808929e-10       1.776653392450e-14      -1.529560960097e-13       6.343299394936e-15       6.908449760034e-11       7.700938997057e-12      -6.905773301273e-15 
   45       2.400407425403e-10       1.882818450284e-14      -1.779658357333e-13       6.533269021701e-15       6.589192537193e-11       7.372635209947e-12      -7.480079411547e-15 
   46       2.417804135548e-10       1.992800238785e-14      -2.043222223800e-13       6.721147473322e-15       6.291032986835e-11       7.063803110702e-12      -8.116000425644e-15 
   47       2.435297590934e-10       2.106604523211e-14      -2.321066811368e-13       6.906770331356e-15       6.011243861575e-11       6.772887663498e-12      -8.650481532885e-15 
   48       2.452732556268e-10       2.224233009744e-14      -2.613946810092e-13       7.089972245251e-15       5.746702941912e-11       6.497877051398e-12      -8.937463410246e-15 
   49       2.470177213663e-10       2.345694881764e-14      -2.921971940481e-13       7.270529720998e-15       5.496901137337e-11       6.238462944095e-12      -8.997734785100e-15 
   50       2.487747037402e-10       2.470997951164e-14      -3.245039976010e-13       7.448203557317e-15       5.261628864526e-11       5.994352421617e-12      -8.908763844444e-15 
   51       2.505537195575e-10       2.600145239601e-14      -3.582998486673e-13       7.622754738766e-15       5.040079971310e-11       5.764604980313e-12      -8.763791403498e-15 
   52       2.523620346122e-10       2.733134831636e-14      -3.935643119553e-13       7.793944334930e-15       4.830809822871e-11       5.547587216638e-12      -8.672658724193e-15 
   53       2.542047026512e-10       2.869960353689e-14      -4.302795310247e-13       7.961548429907e-15       4.632189105017e-11       5.341467044610e-12      -8.734542948879e-15 
   54       2.560852013664e-10       3.010612893575e-14      -4.684562835100e-13       8.125407649813e-15       4.443998712059e-11       5.145949858733e-12      -8.946027044547e-15 
   55       2.580045758255e-10       3.155079318603e-14      -5.081143261408e-13       8.285390195224e-15       4.266171923176e-11       4.960909833271e-12      -9.270833470768e-15 
   56       2.599609886177e-10       3.303341575043e-14      -5.492751955848e-13       8.441378443138e-15       4.098313929679e-11       4.785867282729e-12      -9.665505219089e-15 
   57       2.619495103339e-10       3.455376567508e-14      -5.919623695485e-13       8.593269476357e-15       3.939680705988e-11       4.619965967593e-12      -1.007905575375e-14 
   58       2.639619100447e-10       3.611156038324e-14      -6.362014278786e-13       8.740975612893e-15       3.789157880599e-11       4.461950400067e-12      -1.045261895239e-14 
   59       2.659899134125e-10       3.770640918192e-14      -6.820102900651e-13       8.884413268555e-15       3.645567548855e-11       4.310524417051e-12      -1.073269964237e-14 
   60       2.680363364427e-10       3.933763120089e-14      -7.293669144028e-13       9.023465322096e-15       3.508719902649e-11       4.165575682118e-12      -1.091531362537e-14 
   61       2.701061716174e-10       4.100439296667e-14      -7.782343690059e-13       9.158010930231e-15       3.378568911928e-11       4.027195945849e-12      -1.101149781797e-14 
   62       2.722032575054e-10       4.270575695476e-14      -8.285699241471e-13       9.287936557144e-15       3.254896048055e-11       3.895315211052e-12      -1.103471965633e-14 
   63       2.743301867884e-10       4.444067850927e-14      -8.803248769656e-13       9.413136108395e-15       3.137300271454e-11       3.769691962807e-12      -1.100098807409e-14 
   64       2.764882142863e-10       4.620800276250e-14      -9.334443761754e-13       9.533511064831e-15       3.025188019260e-11       3.649903398527e-12      -1.092896448017e-14 
   65       2.786780300915e-10       4.800656570034e-14      -9.878783142480e-13       9.648969100547e-15       2.917937021905e-11       3.535472493313e-12      -1.083632207384e-14 
   66       2.809024758662e-10       4.983552915499e-14      -1.043617078846e-12       9.759419295784e-15       2.815450566282e-11       3.426302418482e-12      -1.072767834787e-14 
   67       2.831642410976e-10       5.169411146104e-14      -1.100663081946e-12       9.864776146587e-15       2.717703064760e-11       3.322316932531e-12      -1.060429773020e-14 
   68       2.854649822419e-10       5.358148940583e-14      -1.159020492247e-12       9.964961081082e-15       2.624571530277e-11       3.223325832686e-12      -1.046762365853e-14 
   69       2.878052549496e-10       5.549679806219e-14      -1.218695369459e-12       1.005990255099e-14       2.535830426331e-11       3.129019012518e-12      -1.031928461656e-14 
   70       2.901844462899e-10       5.743913062131e-14      -1.279695798588e-12       1.014953612311e-14       2.451146516980e-11       3.038960519553e-12      -1.016110017024e-14 
   71       2.926007069753e-10       5.940753822542e-14      -1.342032024229e-12       1.023380457086e-14       2.370073716829e-11       2.952582612884e-12      -9.995087003968e-15 
   72       2.950520830552e-10       6.140098585257e-14      -1.405707909820e-12       1.031265982412e-14       2.292167854781e-11       2.869329660880e-12      -9.823398581071e-15 
   73       2.975403130936e-10       6.341821053898e-14      -1.470693119069e-12       1.038606904878e-14       2.217367912803e-11       2.789135016878e-12      -9.648117302408e-15 
   74       3.000676407724e-10       6.545783551356e-14      -1.536945812570e-12       1.045400990501e-14       2.145678999768e-11       2.712025367114e-12      -9.471433175283e-15 
   75       3.026356403005e-10       6.751841058398e-14      -1.604420787020e-12       1.051646892388e-14       2.077056550435e-11       2.637976522642e-12      -9.295711098288e-15 
   76       3.052451760243e-10       6.959841096613e-14      -1.673069411443e-12       1.057344164131e-14       2.011403913201e-11       2.566910897961e-12      -9.123495382108e-15 
   77       3.078963620366e-10       7.169623611344e-14      -1.742839563421e-12       1.062493273202e-14       1.948569937850e-11       2.498694989625e-12      -8.957514270326e-15 
   78       3.105885217874e-10       7.381020854638e-14      -1.813675565319e-12       1.067095614347e-14       1.888346563307e-11       2.433136854869e-12      -8.800684460239e-15 
   79       3.133201476931e-10       7.593857268177e-14      -1.885518120515e-12       1.071153522975e-14       1.830466405383e-11       2.369983590222e-12      -8.656115623657e-15 
   80       3.160897516138e-10       7.807955477377e-14      -1.958309650464e-12       1.074669801584e-14       1.774669179005e-11       2.308986294813e-12      -8.526380936030e-15 
   81       3.188986752374e-10       8.023155730021e-14      -2.032011513606e-12       1.077646174843e-14       1.720919556274e-11       2.250113499976e-12      -8.411172823834e-15 
   82       3.217486963161e-10       8.239299635564e-14      -2.106589674384e-12       1.080084589402e-14       1.669222916485e-11       2.193370375830e-12      -8.309246446773e-15 
   83       3.246411576247e-10       8.456224349991e-14      -2.182009603687e-12       1.081987681340e-14       1.619558752104e-11       2.138733286678e-12      -8.219108597870e-15 
   84       3.275769430684e-10       8.673762571928e-14      -2.258236315095e-12       1.083358780545e-14       1.571879531236e-11       2.086148519342e-12      -8.139008631840e-15 
   85       3.305564537901e-10       8.891742538749e-14      -2.335234401120e-12       1.084201915084e-14       1.526109560079e-11       2.035531011501e-12      -8.066929393458e-15 
   86       3.335795842777e-10       9.109988022689e-14      -2.412968069453e-12       1.084521815582e-14       1.482143845396e-11       1.986763080020e-12      -8.000578145929e-15 
   87       3.366456984718e-10       9.328318326950e-14      -2.491401179205e-12       1.084323919593e-14       1.439846956972e-11       1.939693149293e-12      -7.937377499255e-15 
   88       3.397536058727e-10       9.546548281815e-14      -2.570497277149e-12       1.083614375982e-14       1.399051890078e-11       1.894134479571e-12      -7.874456338610e-15 
   89       3.429021427667e-10       9.764490336123e-14      -2.650217374242e-12       1.082399835725e-14       1.359599843253e-11       1.849911449651e-12      -7.809295360571e-15 
   90       3.460920724748e-10       9.981961216193e-14      -2.730512796452e-12       1.080686777191e-14       1.321469182280e-11       1.807009497348e-12      -7.741799507407e-15 
   91       3.493244405582e-10       1.019877630916e-13      -2.811331274016e-12       1.078482082587e-14       1.284664704767e-11       1.765446466300e-12      -7.672535428981e-15 
   92       3.525999816153e-10       1.041474768771e-13      -2.892619103686e-12       1.075793243270e-14       1.249178008494e-11       1.725226594027e-12      -7.602106540345e-15 
   93       3.559191044545e-10       1.062968413759e-13      -2.974321151115e-12       1.072628360914e-14       1.214986966846e-11       1.686339952695e-12      -7.531153756968e-15 
   94       3.592818772672e-10       1.084339118510e-13      -3.056380853252e-12       1.068996148696e-14       1.182055204234e-11       1.648761889872e-12      -7.460356229967e-15 
   95       3.626880128008e-10       1.105567112458e-13      -3.138740220728e-12       1.064905932461e-14       1.150331571527e-11       1.612452469289e-12      -7.390432081336e-15 
   96       3.661368535311e-10       1.126632304597e-13      -3.221339840245e-12       1.060367651907e-14       1.119749621472e-11       1.577355911603e-12      -7.322139139173e-15 
   97       3.696273568355e-10       1.147514286222e-13      -3.304118876971e-12       1.055391861756e-14       1.090227084126e-11       1.543400035150e-12      -7.256275672907e-15 
   98       3.731580801658e-10       1.168192333687e-13      -3.387015076922e-12       1.049989732930e-14       1.061665342278e-11       1.510495696713e-12      -7.193681128535e-15 
   99       3.767276352418e-10       1.188645883390e-13      -3.469965932305e-12       1.044172637319e-14       1.033972035763e-11       1.478557876703e-12      -7.135026636620e-15 
  100       3.803361560880e-10       1.208856027559e-13      -3.552912360692e-12       1.037950832434e-14       1.007133661539e-11       1.447573551295e-12      -7.080151089742e-15 
  101       3.839840123544e-10       1.228804236426e-13      -3.635795553831e-12       1.031334591761e-14       9.811523301182e-12       1.417542439624e-12      -7.028631954496e-15 
  102       3.876713498203e-10       1.248471913258e-13      -3.718555877468e-12       1.024334600730e-14       9.560233129510e-12       1.388455923872e-12      -6.979985319112e-15 
  103       3.913980812517e-10       1.267840402829e-13      -3.801132887831e-12       1.016961952843e-14       9.317347981971e-12       1.360296752386e-12      -6.933664080475e-15 
  104       3.951638772593e-10       1.286890999897e-13      -3.883465348123e-12       1.009228145800e-14       9.082676465040e-12       1.333038742800e-12      -6.889056131147e-15 
  105       3.989681571567e-10       1.305604957677e-13      -3.965491245000e-12       1.001145077628e-14       8.855951467833e-12       1.306646485142e-12      -6.845482546388e-15 
  106       4.028100798184e-10       1.323963496313e-13      -4.047147805062e-12       9.927250428094e-15       8.636827719874e-12       1.281075044959e-12      -6.802195771170e-15 
  107       4.066885345372e-10       1.341947811357e-13      -4.128371511335e-12       9.839807284133e-15       8.424879348859e-12       1.256269666428e-12      -6.758377807206e-15 
  108       4.106021318829e-10       1.359539082239e-13      -4.209098119763e-12       9.749252102197e-15       8.219597438423e-12       1.232165475477e-12      -6.713138399965e-15 
  109       4.145491945596e-10       1.376718480742e-13      -4.289262675687e-12       9.655719488503e-15       8.020387585904e-12       1.208687182896e-12      -6.665513225689e-15 
  110       4.185281259081e-10       1.393467627289e-13      -4.368799833869e-12       9.559344156278e-15       7.826703912334e-12       1.185766221023e-12      -6.614673291787e-15 
  111       4.225385886257e-10       1.409770007977e-13      -4.447644829721e-12       9.460249240430e-15       7.638475824467e-12       1.163395283343e-12      -6.560587485888e-15 
  112       4.265804604898e-10       1.425609755598e-13      -4.525732663803e-12       9.358556407996e-15       7.455731552643e-12       1.141580241647e-12      -6.503441820284e-15 
  113       4.306534648306e-10       1.440971230760e-13      -4.602997828643e-12       9.254389352899e-15       7.278465492235e-12       1.120323212301e-12      -6.443436058086e-15 
  114       4.347571651000e-10       1.455839034768e-13      -4.679374328212e-12       9.147873720840e-15       7.106637102464e-12       1.099622430705e-12      -6.380783976052e-15 
