# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)            3:P_tensor(k)        
       7.112420947696e-06       2.837508954387e-09       8.981164676505e-09 
       8.954007470432e-06       2.815413772141e-09       8.551068546099e-09 
       1.127242754192e-05       2.793490641186e-09       8.146483433448e-09 
       1.419114548513e-05       2.771738221788e-09       7.765725447042e-09 
       1.786559367370e-05       2.750155184648e-09       7.407232020298e-09 
       2.249144987261e-05       2.728740210814e-09       7.069552555492e-09 
       2.831505779273e-05       2.707491991609e-09       6.751339832503e-09 
       3.564654579169e-05       2.686409228543e-09       6.451342116626e-09 
       4.487634233984e-05       2.665490633237e-09       6.168395905673e-09 
       5.649596776000e-05       2.644734927348e-09       5.901419261869e-09 
       7.112420947696e-05       2.624140842482e-09       5.649405678945e-09 
       8.954007470432e-05       2.603707120127e-09       5.411418439227e-09 
       1.127242754192e-04       2.583432511568e-09       5.186585419494e-09 
       1.419114548513e-04       2.563315777812e-09       4.974094308033e-09 
       1.786559367370e-04       2.543355689518e-09       4.773188198598e-09 
       2.249144987261e-04       2.523551026915e-09       4.583161529990e-09 
       2.831505779273e-04       2.503900579729e-09       4.403356342666e-09 
       3.564654579169e-04       2.484403147113e-09       4.233158826309e-09 
       4.487634233984e-04       2.465057537569e-09       4.071996134493e-09 
       5.649596776000e-04       2.445862568879e-09       3.919333444665e-09 
       7.112420947696e-04       2.426817068027e-09       3.774671243496e-09 
       8.954007470432e-04       2.407919871134e-09       3.637542819398e-09 
       1.127242754192e-03       2.389169823384e-09       3.507511945502e-09 
       1.419114548513e-03       2.370565778951e-09       3.384170737836e-09 
       1.786559367370e-03       2.352106600935e-09       3.267137674721e-09 
       2.249144987261e-03       2.333791161285e-09       3.156055764567e-09 
       2.831505779273e-03       2.315618340736e-09       3.050590850338e-09 
       3.564654579169e-03       2.297587028739e-09       2.950430039907e-09 
       4.487634233984e-03       2.279696123392e-09       2.855280252452e-09 
       5.649596776000e-03       2.261944531372e-09       2.764866871813e-09 
       7.112420947696e-03       2.244331167870e-09       2.678932498520e-09 
       8.954007470432e-03       2.226854956527e-09       2.597235792838e-09 
       1.127242754192e-02       2.209514829363e-09       2.519550401849e-09 
       1.419114548513e-02       2.192309726713e-09       2.445663964110e-09 
       1.786559367370e-02       2.175238597166e-09       2.375377185972e-09 
       2.249144987261e-02       2.158300397496e-09       2.308502984137e-09 
       2.831505779273e-02       2.141494092603e-09       2.244865689427e-09 
       3.564654579169e-02       2.124818655445e-09       2.184300307175e-09 
       4.487634233984e-02       2.108273066977e-09       2.126651830005e-09 
       5.649596776000e-02       2.091856316092e-09       2.071774599089e-09 
       7.112420947696e-02       2.075567399553e-09       2.019531710296e-09 
       8.954007470432e-02       2.059405321937e-09       1.969794461931e-09 
       1.127242754192e-01       2.043369095571e-09       1.922441841006e-09 
       1.419114548513e-01       2.027457740475e-09       1.877360045241e-09 
       1.786559367370e-01       2.011670284297e-09       1.834442038192e-09 
       2.249144987261e-01       1.996005762258e-09       1.793587135140e-09 
       2.831505779273e-01       1.980463217093e-09       1.754700617511e-09 
       3.564654579169e-01       1.965041698988e-09       1.717693373811e-09 
       4.487634233984e-01       1.949740265527e-09       1.682481565192e-09 
       5.649596776000e-01       1.934557981632e-09       1.648986313921e-09 
       7.112420947696e-01       1.919493919507e-09       1.617133413144e-09 
       8.954007470432e-01       1.904547158579e-09       1.586853056475e-09 
       1.127242754192e+00       1.889716785445e-09       1.558079586046e-09 
       1.419114548513e+00       1.875001893813e-09       1.530751257751e-09 
       1.786559367370e+00       1.860401584450e-09       1.504810022521e-09 
       2.249144987261e+00       1.845914965123e-09       1.480201322564e-09 
       2.831505779273e+00       1.831541150548e-09       1.456873901555e-09 
       3.564654579169e+00       1.817279262334e-09       1.434779627884e-09 
