# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio weight loglikelihood
2.32701689e+00 1.18980413e+00 8.18646101e+01 2.81393361e-02 7.16389214e-02 1.71509491e+00 -1.39082154e+00 -8.13202809e-01 3.32879198e-01 2.54328801e-128 -2.99182623e+02
2.32588633e+00 1.17635697e+00 6.66783078e+01 2.28115144e-02 1.67038824e-01 1.93723635e+00 -7.53293335e-01 3.50140420e-01 2.21822683e-01 2.68149079e-128 -2.99158573e+02
3.83304913e+00 8.92447398e-01 6.85152389e+01 3.16166824e-02 1.75729410e-01 1.22972906e+00 -2.97832553e-01 -1.68413983e+00 1.46912086e-01 2.95439606e-128 -2.98991602e+02
3.46877701e+00 9.72142993e-01 9.13250528e+01 1.42737457e-02 4.06087927e-01 1.02718528e-01 -1.85296129e+00 -1.06677973e+00 2.33478431e-01 3.23369306e-128 -2.98967104e+02
2.85567591e+00 1.13785011e+00 7.82756303e+01 2.45874300e-02 3.10587061e-01 1.18445892e+00 -5.99416610e-01 -7.05723074e-02 2.60862049e-01 9.81759890e-128 -2.97355550e+02
1.90633384e+00 1.05874734e+00 7.70041537e+01 2.35153868e-02 2.17182069e-01 8.66161504e-01 -1.61268105e+00 1.30876568e+00 1.47955140e-01 2.11058475e-127 -2.96895593e+02
3.35745809e+00 8.99321929e-01 9.95989457e+01 2.13434835e-02 1.04431729e-01 2.02064549e-01 -1.80846422e+00 1.44989060e+00 3.93700074e-01 5.83164348e-127 -2.95638155e+02
2.98745586e+00 9.92329344e-01 7.89441590e+01 1.44059888e-02 3.28240703e-01 5.74169788e-01 -1.42947395e+00 -1.48756244e+00 2.75818991e-01 1.21884105e-126 -2.95113552e+02
1.89110230e+00 9.69425448e-01 8.30108403e+01 2.55145169e-02 1.56193849e-01 1.86164806e+00 -1.75721728e+00 -6.74903229e-01 4.77376935e-01 1.58784374e-126 -2.95038584e+02
3.24200762e+00 9.29926969e-01 8.85127688e+01 8.94075817e-03 2.86372979e-01 2.72352057e-01 -1.90946653e+00 1.27322233e-01 8.02068899e-02 1.89418767e-126 -2.94772918e+02
2.40858282e+00 1.01043120e+00 8.28672695e+01 2.06965555e-02 2.71424730e-01 1.88325300e+00 -1.94772912e+00 3.67652666e-01 3.48843397e-01 2.63354381e-126 -2.94393660e+02
3.41398685e+00 1.11079463e+00 8.81627681e+01 1.77917302e-02 3.75172325e-01 1.08415263e+00 -1.47432111e+00 1.58103210e+00 1.20562162e-01 3.77392861e-126 -2.94044013e+02
1.93661299e+00 8.19508249e-01 7.37008638e+01 2.39200729e-02 1.45609361e-01 4.22378170e-01 -1.29614684e+00 2.31543957e-01 2.54697732e-01 6.80666910e-126 -2.93311078e+02
3.86550289e+00 8.70378380e-01 8.05062227e+01 2.09075543e-02 2.19219783e-01 1.12879884e-01 -5.20738519e-01 -9.26288422e-01 1.75762141e-01 1.11542483e-125 -2.92952721e+02
2.42689254e+00 1.01713692e+00 6.40126643e+01 1.14241822e-02 2.34710309e-01 1.04066267e+00 -1.39146230e-01 -1.97030594e+00 5.53165393e-02 1.58670184e-125 -2.92601061e+02
1.74431087e+00 1.08080313e+00 9.33334902e+01 3.17828625e-02 3.38374616e-01 9.11460419e-01 -1.69003321e+00 -5.84828820e-01 1.27529270e-01 4.62101645e-125 -2.91222005e+02
3.04203507e+00 1.05023491e+00 6.66103266e+01 1.10249946e-02 1.22382393e-01 4.24910936e-01 -1.74170856e+00 1.18932038e+00 2.50033234e-01 7.38498545e-125 -2.91217449e+02
3.86701844e+00 9.81245057e-01 8.08380687e+01 2.61045060e-02 2.86538071e-01 7.52055834e-01 -1.39418793e+00 5.48006063e-01 4.18564888e-01 1.12107007e-124 -2.90506837e+02
3.73367991e+00 8.54632498e-01 9.43564429e+01 2.20591274e-02 6.62745742e-02 3.50365672e-01 -1.75980500e+00 1.82169833e+00 5.46084493e-01 4.71705513e-124 -2.88841476e+02
2.23013901e+00 1.17902147e+00 8.86659292e+01 2.12054767e-02 3.04314250e-01 1.00507893e+00 -8.62624457e-01 -7.95367092e-01 2.48989823e-01 9.03427660e-124 -2.88593050e+02
3.49388073e+00 9.95812349e-01 8.23297768e+01 1.23330200e-02 1.41509506e-01 3.99505827e-01 -1.29858647e+00 3.55139182e-01 1.72776327e-01 1.08790968e-123 -2.88455203e+02
3.40482441e+00 1.01368482e+00 8.26255128e+01 2.66855925e-02 1.13063220e-01 1.62664547e+00 -5.97945443e-01 -1.32861006e+00 3.09495214e-02 1.20040326e-123 -2.88388617e+02
2.92333374e+00 9.61345106e-01 8.96140752e+01 1.16999469e-02 2.24847385e-01 1.75915254e+00 -1.84546587e+00 -2.58198722e-01 1.26542126e-02 1.31872364e-123 -2.88265851e+02
2.29146776e+00 9.53554014e-01 9.12684716e+01 1.55047358e-02 6.74470169e-02 1.55968691e+00 -1.52075401e+00 -8.69917284e-01 3.66034456e-01 2.21246835e-123 -2.87492062e+02
2.41086582e+00 1.18563509e+00 9.71225252e+01 1.96396772e-02 4.30825049e-01 6.38477624e-01 -1.97500184e+00 2.99389576e-01 7.97768136e-02 3.05586330e-123 -2.87469974e+02
1.90863161e+00 8.85324697e-01 8.28191460e+01 2.55838986e-02 3.10371871e-01 9.21722549e-01 -1.53360831e+00 1.19152256e+00 2.91037466e-01 3.58261024e-123 -2.87189489e+02
3.14438591e+00 1.09789922e+00 9.82924583e+01 3.11292145e-02 4.58583018e-01 1.19204376e+00 -1.79217000e+00 1.56382804e+00 1.36787272e-01 4.29378673e-123 -2.87086852e+02
3.39922902e+00 1.01343644e+00 7.40926927e+01 2.87363725e-02 7.60738492e-02 1.86729067e-01 -4.57686104e-01 -1.11513257e+00 3.95511212e-02 5.48297606e-123 -2.86726238e+02
1.77847899e+00 1.04880422e+00 6.50960410e+01 3.14433311e-02 1.65340674e-01 1.24575177e+00 -2.22396193e-02 -7.78213662e-01 7.69827741e-02 8.67428786e-123 -2.86201223e+02
3.70270806e+00 1.16035205e+00 7.60832890e+01 1.04855514e-02 2.41201472e-01 7.11793887e-01 -1.13184594e+00 -3.99940039e-02 2.43235543e-02 1.81360009e-122 -2.85353544e+02
1.72782536e+00 8.59690320e-01 7.33069230e+01 2.40271321e-02 2.31361588e-01 2.34888095e-01 -4.83874414e-01 9.64870318e-02 1.39046352e-01 2.57219162e-122 -2.85324050e+02
2.07203794e+00 1.04380217e+00 9.76039646e+01 2.21246758e-02 3.45023750e-01 6.73209129e-01 -1.47841003e+00 8.71196814e-01 1.74829956e-01 3.12722613e-122 -2.84986847e+02
3.28842392e+00 9.22260568e-01 9.35593255e+01 3.03481583e-02 3.01098170e-01 1.07012363e+00 -1.98924684e+00 2.79129125e-01 3.91498823e-01 4.12840136e-122 -2.84750237e+02
2.28808681e+00 8.85093771e-01 7.68192520e+01 2.82707722e-02 3.25728017e-01 1.34621030e+00 -7.67920075e-02 -1.55232267e+00 2.24766445e-01 4.62838920e-122 -2.84740275e+02
3.17957225e+00 8.79919440e-01 6.98173381e+01 2.37675465e-02 2.41904428e-01 1.98060912e+00 -1.09777387e-01 -1.84820480e+00 4.34495082e-01 7.39318516e-122 -2.83958551e+02
3.47368181e+00 9.13989772e-01 9.46929855e+01 2.46765061e-02 2.32092735e-01 4.18511991e-01 -9.74655460e-01 -6.50893647e-01 2.96093779e-01 1.45062106e-121 -2.83334905e+02
2.33868391e+00 1.16589164e+00 9.70811549e+01 2.27728085e-02 4.39956557e-01 5.23094781e-01 -1.10691173e+00 -8.95676606e-01 3.05369128e-01 3.22053806e-121 -2.82452428e+02
3.88722635e+00 1.12790733e+00 9.38767221e+01 2.06324686e-02 3.64109196e-01 1.68148925e+00 -1.33996948e+00 -9.28988004e-01 5.06590830e-02 6.64480053e-121 -2.81798657e+02
2.69193648e+00 1.16240296e+00 9.24965390e+01 2.21483351e-02 3.51605955e-01 9.08824718e-01 -1.03936836e+00 -4.73250321e-01 2.15264799e-01 2.25919267e-120 -2.80368699e+02
3.07742057e+00 1.10176338e+00 7.87386335e+01 2.96893502e-02 1.31030798e-01 7.57927871e-01 -8.24419350e-01 6.75215381e-01 7.15568983e-01 3.89907531e-120 -2.80234883e+02
3.45880458e+00 1.12819495e+00 7.37314480e+01 3.13110317e-02 1.86684211e-01 1.53940448e+00 -9.16273228e-01 2.29159368e-01 5.09175843e-01 7.28920083e-120 -2.79313884e+02
3.90215852e+00 8.20875024e-01 7.76149376e+01 2.25146028e-02 8.92791254e-02 1.78684787e+00 -1.94105221e+00 1.62769846e+00 2.08742519e-01 3.21168190e-119 -2.77670517e+02
3.90215852e+00 8.20875024e-01 7.76149376e+01 2.25146028e-02 8.92791254e-02 1.78684787e+00 -1.94105221e+00 1.62769846e+00 2.08742519e-01 5.38273134e-119 -2.77670517e+02
1.79670447e+00 9.92956918e-01 9.60704509e+01 2.55491092e-02 4.12493827e-01 7.62055493e-01 -1.02204431e+00 -2.88339414e-01 1.29535064e-01 6.24566981e-119 -2.77385388e+02
2.75456886e+00 1.10388101e+00 7.37123182e+01 8.00250944e-03 1.44954137e-01 5.22153122e-03 -1.90967585e+00 -7.71568337e-01 1.39002106e-01 1.35881704e-118 -2.76348963e+02
2.31268291e+00 1.15706184e+00 8.52553164e+01 1.67532419e-02 5.19552716e-02 4.75499486e-01 -1.72213244e+00 1.74165652e+00 5.16343549e-01 2.02194257e-118 -2.76329280e+02
3.38316624e+00 1.09092596e+00 9.14126160e+01 2.60344517e-02 3.25610699e-01 1.28203811e+00 -8.65399088e-01 -3.61646190e-01 2.94630307e-01 2.80590933e-118 -2.75767434e+02
2.91681785e+00 1.08127199e+00 8.94621245e+01 1.62198691e-02 4.90689465e-02 5.86269170e-01 -1.30352670e+00 1.38730987e+00 2.35966984e-01 4.65414104e-118 -2.75291439e+02
1.67155693e+00 1.18528005e+00 6.33474598e+01 2.72499207e-02 1.28595253e-01 1.47705915e+00 -3.83309711e-01 8.57179728e-02 1.43984884e-01 5.81686151e-118 -2.75261538e+02
2.00381232e+00 1.18488430e+00 9.04378292e+01 2.03996591e-02 4.03923331e-01 8.86890600e-01 -1.41908589e+00 -9.81600139e-01 1.11550871e-01 6.50490881e-118 -2.75072544e+02
2.44679236e+00 9.06697094e-01 7.09931617e+01 2.37198184e-02 2.05428336e-01 3.61510675e-01 -7.09896187e-01 -1.52222884e+00 2.49599484e-02 1.10586415e-117 -2.74324178e+02
3.86472182e+00 1.08370741e+00 7.62620966e+01 1.52902896e-02 2.05676427e-01 1.95596801e+00 -1.78199149e+00 -1.41434500e+00 5.18606899e-02 2.87725254e-117 -2.73280198e+02
2.26907285e+00 1.07527195e+00 7.17406663e+01 2.55354401e-02 1.10431082e-01 1.36647042e-01 -9.31468173e-01 -5.12443939e-01 3.02737830e-01 5.34095994e-117 -2.72864920e+02
3.79677286e+00 8.26876047e-01 7.44210980e+01 1.80400236e-02 1.92125770e-01 2.45659301e-01 -1.73447949e+00 1.53923274e+00 2.71279273e-01 7.66963564e-117 -2.72536510e+02
1.74158369e+00 1.12434279e+00 9.85122284e+01 2.16003043e-02 1.35209877e-01 9.92677758e-02 -1.46902470e+00 6.03147036e-02 1.01515495e-01 9.18114057e-117 -2.72475254e+02
2.62111079e+00 1.08381691e+00 8.98975515e+01 1.42765888e-02 3.14146001e-01 8.41490551e-01 -1.58025911e+00 -6.75034595e-01 1.01137159e-01 1.20322134e-116 -2.72038103e+02
3.07407393e+00 9.94492775e-01 9.57481959e+01 1.91184181e-02 3.83168112e-01 1.14905384e+00 -1.79794000e+00 -6.90695475e-01 1.80366886e-01 1.46721052e-116 -2.72027167e+02
3.16374778e+00 8.69973143e-01 7.03206744e+01 1.62631502e-02 2.62612780e-01 9.21937976e-01 -7.65654425e-01 -7.77610685e-01 3.07765821e-01 1.71221649e-116 -2.71745057e+02
2.70802813e+00 9.55110542e-01 9.62480310e+01 1.92389209e-02 3.59189246e-01 5.48235708e-01 -1.63042677e+00 7.89660513e-01 2.38359112e-01 2.05681344e-116 -2.71639392e+02
2.83509225e+00 1.10326912e+00 8.20828664e+01 3.04574224e-02 3.33037870e-01 8.55755721e-02 -9.29965849e-01 7.95098481e-01 4.21020224e-01 2.17054501e-116 -2.71630649e+02
1.88447337e+00 8.92980286e-01 8.69051086e+01 3.05312450e-02 2.16712733e-01 8.62067698e-01 -1.33524471e+00 -1.89111417e+00 3.81039260e-01 2.31988533e-116 -2.71506169e+02
3.67607177e+00 9.43720471e-01 6.09489300e+01 1.26563321e-02 1.95730150e-02 6.91657064e-01 -8.75847952e-01 5.78369412e-01 4.43049233e-01 2.89699916e-116 -2.71201572e+02
3.74394852e+00 8.60916840e-01 8.03018862e+01 2.75654206e-02 1.28189059e-01 1.43674183e+00 -4.13368394e-01 -1.62596221e+00 5.40449594e-01 7.66393192e-116 -2.69919114e+02
2.82783803e+00 8.41408582e-01 9.87341621e+01 1.93329456e-02 3.83830822e-01 4.03824770e-01 -1.25822751e+00 -1.65180761e+00 1.41560833e-01 2.51304583e-115 -2.68756935e+02
2.39604438e+00 8.06410821e-01 6.44358068e+01 1.07655170e-02 1.15963922e-01 1.51177399e+00 -1.42876669e+00 -1.06942434e+00 2.11150685e-02 4.40485423e-115 -2.68490212e+02
3.49645848e+00 8.14168026e-01 8.52559997e+01 2.77977166e-02 9.80574270e-02 7.63053206e-01 -1.13110327e+00 -1.77840083e+00 6.42094956e-01 6.43454303e-115 -2.68029794e+02
3.48469309e+00 9.95714778e-01 9.98420510e+01 2.78689963e-02 4.96236114e-01 1.50203594e-01 -1.54032356e+00 1.56929013e+00 3.03910800e-01 8.03973496e-115 -2.67988674e+02
1.75479666e+00 1.10286635e+00 9.03123316e+01 2.06435833e-02 1.42140180e-01 6.60434603e-01 -1.01375495e+00 -1.32904589e+00 2.98793406e-01 1.14633167e-114 -2.67400991e+02
1.71599255e+00 8.61921234e-01 8.41467600e+01 2.80969257e-02 2.43101057e-01 4.64522377e-01 -2.99899745e-01 -1.61860538e+00 2.42085518e-01 3.77169240e-114 -2.65983063e+02
3.61089296e+00 1.13725283e+00 9.60934305e+01 1.16803970e-02 6.79625778e-02 1.36640704e+00 -1.95902637e+00 -1.04653099e+00 5.39635600e-02 7.16208884e-114 -2.65672958e+02
1.84861767e+00 1.00591424e+00 7.78848310e+01 2.10654941e-02 1.17789577e-01 1.03479719e+00 -1.48617699e+00 -9.61637215e-01 3.50903364e-01 8.35969918e-114 -2.65646060e+02
3.34136114e+00 9.48230281e-01 9.17258878e+01 2.98568818e-02 2.91855906e-01 3.37718737e-01 -1.94848252e+00 1.36785896e+00 5.46320472e-01 9.48334584e-114 -2.65428375e+02
1.69345143e+00 1.11879627e+00 7.83963487e+01 1.45675439e-02 2.98074400e-01 2.88475574e-01 -1.81215087e+00 1.72813917e+00 2.73335158e-01 1.29628861e-113 -2.65042190e+02
2.16954038e+00 9.25925770e-01 7.91199531e+01 2.75638609e-02 8.68828282e-02 1.41131943e+00 -1.54737078e+00 5.51878872e-01 6.47372716e-01 2.77567914e-113 -2.64085244e+02
3.89195963e+00 1.18925732e+00 7.78334595e+01 2.06116064e-02 2.44321969e-01 6.64484882e-01 -1.30737996e+00 -1.54333710e+00 2.21437987e-01 7.80348076e-113 -2.63020910e+02
2.97994495e+00 9.46408963e-01 8.27084446e+01 1.86381952e-02 3.51073384e-01 5.83816054e-01 -1.35609254e+00 -3.64642592e-01 2.01902187e-01 1.19438338e-112 -2.62960116e+02
2.63973343e+00 1.00786614e+00 9.80443313e+01 2.39756024e-02 8.45994900e-02 1.22881073e+00 -1.94949562e+00 -2.39042805e-01 2.30492729e-01 1.24887697e-112 -2.62927034e+02
2.69250698e+00 9.14059470e-01 6.05612847e+01 2.56443638e-02 5.24658662e-02 3.46559607e-01 -7.47335303e-01 2.13015777e-01 5.30131284e-01 1.36393201e-112 -2.62784656e+02
1.99472312e+00 1.05087176e+00 9.81247205e+01 3.09994582e-02 4.69947113e-01 4.72433591e-01 -1.25775539e+00 1.28596189e+00 8.64353804e-02 1.94068803e-112 -2.62276504e+02
3.70557923e+00 8.35294777e-01 9.43321277e+01 2.75251505e-02 4.32656195e-01 8.36546714e-02 -1.64838718e+00 3.92543488e-01 3.11842930e-02 2.86456740e-112 -2.61962576e+02
3.07246869e+00 1.00902944e+00 6.92304562e+01 2.65097587e-02 1.93112278e-01 1.48235456e+00 -5.20290693e-01 6.62597693e-02 2.48131137e-01 3.57406333e-112 -2.61811128e+02
2.10405668e+00 8.05616071e-01 6.66385120e+01 2.62257671e-02 3.72645376e-02 2.68705843e-01 -7.48725426e-01 -1.43474907e-01 4.57780734e-01 5.33576172e-112 -2.61233636e+02
3.90547011e+00 9.75877121e-01 8.21283844e+01 2.49259140e-02 2.66538328e-01 1.93100805e+00 -1.45697359e+00 -4.52688573e-02 3.50134105e-01 7.68927946e-112 -2.61006923e+02
3.25485238e+00 1.05805706e+00 8.97732391e+01 2.97644142e-02 3.76373480e-01 9.15071055e-01 -8.42366587e-01 2.48422853e-01 4.71267299e-01 8.71917450e-112 -2.60965844e+02
3.56838950e+00 1.10106203e+00 5.04194181e+01 1.42143977e-02 6.62277031e-02 5.90131144e-01 -1.71729257e-01 -2.29932294e-01 4.69894059e-01 1.11515668e-111 -2.60552755e+02
3.20426090e+00 9.53514918e-01 7.93278575e+01 3.04563666e-02 2.54600432e-01 1.49013807e+00 -1.94627035e-01 -1.13124208e+00 6.17328324e-01 1.52652402e-111 -2.60306601e+02
3.38348318e+00 9.59449964e-01 9.42551321e+01 2.59875440e-02 3.23739590e-01 1.45317168e+00 -1.96980231e+00 -1.65998948e+00 1.48766624e-01 1.93150922e-111 -2.60076266e+02
3.22939798e+00 8.53751675e-01 8.61160090e+01 3.05883665e-02 2.09416394e-01 2.24070244e-01 -1.74195744e+00 1.70702293e+00 2.83902473e-01 2.94017975e-111 -2.59524262e+02
3.34129776e+00 8.13827896e-01 9.92123370e+01 2.71550882e-02 4.43960469e-01 1.38119522e+00 -1.59640958e+00 5.23107816e-01 3.11218841e-01 5.04570256e-111 -2.58987966e+02
3.90726634e+00 8.19896961e-01 8.90798615e+01 1.03720124e-02 5.12889941e-02 1.45117443e+00 -1.93650437e+00 -7.92164374e-01 1.58326433e-01 9.04606637e-111 -2.58374321e+02
3.01495880e+00 8.05788158e-01 8.47874125e+01 2.71905528e-02 1.13041647e-01 1.78985447e+00 -1.81270073e+00 2.99614640e-01 5.10954686e-01 1.18477101e-110 -2.58351789e+02
3.04680486e+00 1.17970974e+00 8.69922093e+01 1.61184712e-02 3.46037221e-01 7.55759849e-01 -1.47492101e+00 -8.55301892e-01 2.65562166e-01 1.61271063e-110 -2.57822658e+02
3.01570900e+00 9.25519803e-01 9.03910812e+01 3.12930897e-02 4.61693407e-01 9.01851547e-01 -3.67451195e-01 -1.60935298e+00 2.61208535e-01 2.03499897e-110 -2.57813463e+02
1.73247615e+00 1.15193928e+00 8.87434405e+01 2.01791204e-02 3.81774550e-01 2.85872798e-01 -1.55195503e+00 -1.85527166e+00 3.35128380e-01 3.33761274e-110 -2.56992921e+02
2.89223845e+00 1.01752067e+00 9.72539406e+01 2.44770300e-02 3.06192936e-01 1.70018448e+00 -9.44009772e-01 -1.82177809e+00 7.74449301e-02 4.63032880e-110 -2.56990922e+02
1.89695802e+00 1.13177757e+00 6.25477256e+01 1.55396297e-02 2.02850200e-01 2.69912792e-01 -4.66506444e-01 -6.13548894e-01 1.52562614e-02 8.27387798e-110 -2.56044161e+02
2.41151528e+00 1.06244144e+00 7.32026831e+01 1.23499005e-02 1.35966894e-02 1.63304853e+00 -1.47656436e+00 1.41195058e+00 3.65224130e-01 1.34377487e-109 -2.55814021e+02
3.77352028e+00 1.03039669e+00 6.70665596e+01 1.70342111e-02 7.50709598e-02 3.17450186e-01 -1.07165890e+00 -1.72264899e-01 4.60213107e-01 1.92405230e-109 -2.55360122e+02
2.19222728e+00 8.72048812e-01 7.60321812e+01 1.93187341e-02 2.64745618e-01 3.56533336e-01 -1.42717364e+00 9.98364304e-01 1.54780007e-01 2.83941062e-109 -2.55010955e+02
3.50221103e+00 1.01569963e+00 8.22017212e+01 2.89271304e-02 3.59373258e-01 3.93300458e-01 -7.39187026e-01 -3.85330042e-01 4.21154197e-01 3.93134391e-109 -2.54699226e+02
1.81311924e+00 1.05206741e+00 8.11157153e+01 3.16091164e-02 3.02199565e-01 1.85262699e+00 -6.05850940e-03 -1.79114194e+00 3.85148516e-01 1.09112742e-108 -2.53359707e+02
3.55521517e+00 1.02442054e+00 6.25164823e+01 2.82481983e-02 8.13956741e-02 1.70599794e+00 -6.87240355e-01 2.75283554e-01 7.80136429e-01 2.08377774e-108 -2.53012672e+02
3.48121940e+00 9.00876096e-01 7.95225944e+01 2.80935522e-02 1.52920755e-01 5.86920624e-01 -1.62054415e+00 1.50857147e+00 4.95858256e-01 2.53288647e-108 -2.52936836e+02
2.80891510e+00 1.09481014e+00 8.13658092e+01 2.00160324e-02 1.79345225e-01 1.00257864e+00 -6.26590825e-01 -1.45879864e+00 3.10019225e-02 2.91303308e-108 -2.52737486e+02
2.06574509e+00 1.09797719e+00 8.85478114e+01 2.06884762e-02 3.74585574e-01 1.57274163e-01 -1.85843314e+00 1.36684075e+00 3.15575193e-01 3.65592729e-108 -2.52484562e+02
2.52121988e+00 8.42790068e-01 9.11037389e+01 2.48133990e-02 4.21485568e-01 3.86818809e-01 -1.42531280e+00 1.42658344e-01 1.25659558e-01 5.35102310e-108 -2.52011173e+02
2.36387758e+00 1.11999697e+00 9.72964664e+01 2.60758010e-02 4.66999781e-01 4.99920830e-01 -9.60442953e-01 -1.05847408e+00 3.31091758e-01 8.02638456e-108 -2.51647117e+02
3.81887527e+00 8.41210890e-01 9.21241422e+01 3.09026114e-02 8.03527749e-02 5.24418465e-01 -1.39121415e+00 3.57366990e-01 2.59046228e-01 1.07573601e-107 -2.51403333e+02
2.33813393e+00 9.69149487e-01 9.89646411e+01 3.17423651e-02 3.54111654e-01 1.71327404e+00 -1.03431946e+00 8.13478775e-02 2.51864447e-01 1.28307527e-107 -2.51279615e+02
3.51564285e+00 8.81981792e-01 8.24779098e+01 2.54109378e-02 2.20752343e-01 1.85363039e+00 -1.77573843e+00 1.03835735e+00 2.89873637e-01 1.42311878e-107 -2.51190323e+02
3.59576035e+00 9.06254874e-01 8.52755463e+01 2.31351348e-02 2.42653736e-01 1.78716199e+00 -1.82851038e+00 -8.03680810e-01 4.61130993e-01 1.89506403e-107 -2.50749102e+02
2.53818604e+00 9.43140362e-01 8.15983090e+01 2.34990013e-02 3.76435673e-02 3.37135343e-01 -1.36897941e+00 1.38375559e+00 1.72235430e-01 3.94077170e-107 -2.49863699e+02
3.00529564e+00 1.06953667e+00 8.96855472e+01 1.45827760e-02 3.12607121e-01 1.05186525e+00 -1.96780936e+00 -7.66265095e-01 1.97297203e-01 6.45166175e-107 -2.49588200e+02
2.69445381e+00 8.57133301e-01 6.23669167e+01 2.25246087e-02 8.15235796e-02 1.72249988e+00 -5.61997453e-01 -1.50322796e+00 2.57393755e-01 1.77347023e-106 -2.48241311e+02
2.63628210e+00 1.19263850e+00 9.78901413e+01 2.08301991e-02 3.89735024e-01 7.38600933e-03 -1.07678821e+00 -1.20494200e+00 2.19422692e-01 4.01082453e-106 -2.47623219e+02
3.28750830e+00 9.31786445e-01 8.95532511e+01 2.29047281e-02 1.14662316e-01 1.09503299e-01 -1.14029505e+00 -5.32295037e-01 5.17975354e-01 5.29289385e-106 -2.47588847e+02
1.90749197e+00 8.02511797e-01 7.06350717e+01 2.56417949e-02 3.61915374e-02 1.09496931e+00 -6.52107053e-01 -1.17692828e+00 5.60201442e-02 6.89713184e-106 -2.47139505e+02
3.13652104e+00 8.29101342e-01 8.48251209e+01 1.74611234e-02 3.35207778e-01 7.97854875e-01 -8.67972456e-01 -1.80817750e+00 1.47402150e-01 8.85934923e-106 -2.47036699e+02
2.19713043e+00 8.08168669e-01 7.01679596e+01 2.68738922e-02 2.36827365e-02 5.68264790e-01 -8.91766810e-01 7.53465461e-01 3.03717540e-01 1.49985936e-105 -2.46236054e+02
2.03243641e+00 1.03224445e+00 7.43036898e+01 2.00292371e-02 2.44613818e-01 1.39653481e+00 -1.07596849e+00 -4.61081477e-01 3.51238679e-01 4.65454580e-105 -2.44981627e+02
2.54399208e+00 9.93502511e-01 6.85441219e+01 3.09679836e-02 8.17565766e-02 1.24220497e+00 -7.48041223e-01 -6.98868112e-01 6.36978255e-01 7.66013025e-105 -2.44868844e+02
2.02187295e+00 1.05252837e+00 7.66956014e+01 1.99531279e-02 3.41265187e-02 7.56160221e-01 -1.38429379e+00 1.00879601e+00 5.55228911e-01 9.16887000e-105 -2.44629205e+02
1.81939536e+00 1.02500997e+00 5.92621953e+01 2.21922774e-02 1.75495050e-02 1.95763338e+00 -4.61664948e-01 1.08321028e-01 2.49959552e-01 1.07507025e-104 -2.44534455e+02
3.68449625e+00 1.08781487e+00 9.28245089e+01 2.55193204e-02 2.31858922e-01 2.44248964e-01 -7.15267514e-01 -1.62054283e+00 3.83940927e-01 4.47988310e-104 -2.42592361e+02
3.50539988e+00 1.06212295e+00 9.65457798e+01 2.63192544e-02 4.88033350e-01 2.58049666e-01 -1.13228743e+00 -9.38474587e-01 1.04088686e-01 9.54613153e-104 -2.42226789e+02
2.15864386e+00 1.04169698e+00 7.82411396e+01 1.19929091e-02 2.72417402e-01 6.66324052e-01 -1.85272845e+00 6.66798304e-01 2.10566769e-01 1.82795830e-103 -2.41415908e+02
2.51850848e+00 1.05858143e+00 7.06360646e+01 1.49907282e-02 1.80760572e-01 1.49127096e+00 -8.90264810e-01 3.87963042e-01 3.48841421e-02 3.34507200e-103 -2.40915989e+02
2.02348671e+00 8.64038045e-01 9.68166703e+01 2.80969501e-02 3.59797862e-01 1.60666243e+00 -1.89096953e+00 -7.93166172e-01 3.50548559e-01 4.40835477e-103 -2.40801331e+02
1.66460943e+00 1.05755133e+00 9.78422252e+01 1.98592004e-02 3.75655236e-01 4.78824452e-01 -1.86880244e+00 1.20924977e+00 3.02115453e-01 4.72300414e-103 -2.40771051e+02
1.99922564e+00 9.34897242e-01 7.04597428e+01 1.42073606e-02 9.86805692e-02 6.51597275e-01 -1.67813456e+00 9.30034893e-01 1.30166576e-01 6.87509037e-103 -2.40143168e+02
2.94488494e+00 9.78964160e-01 7.27655263e+01 9.23479431e-03 1.77616673e-01 1.27466604e+00 -8.71826189e-01 -1.51796942e+00 7.48683980e-02 1.42383864e-102 -2.39362603e+02
1.61367362e+00 1.10890343e+00 8.99414817e+01 3.12665706e-02 4.35579831e-01 3.58369464e-01 -8.24921578e-01 -5.80198804e-01 3.92724795e-01 2.08234668e-102 -2.39234397e+02
3.63402025e+00 1.13008180e+00 6.96120988e+01 3.02330258e-02 3.01755542e-02 6.05395914e-01 -1.10197336e+00 8.16011676e-01 7.63845221e-01 2.79827007e-102 -2.38808498e+02
1.91190790e+00 1.04946554e+00 7.59148662e+01 2.40221785e-02 9.10905409e-02 1.39383374e+00 -4.26758749e-01 -1.82095730e+00 6.68679174e-01 4.04391812e-102 -2.38476411e+02
3.57317295e+00 9.24528382e-01 9.79411372e+01 2.50980247e-02 2.61442014e-01 3.09983313e-01 -8.84198451e-01 -1.65478316e+00 2.49331475e-01 4.93653805e-102 -2.38380457e+02
2.73100489e+00 1.10309048e+00 9.91702098e+01 1.18703660e-02 2.31389181e-01 1.29385459e-01 -1.96895296e+00 4.02452537e-01 2.59320378e-01 6.10569423e-102 -2.38069133e+02
2.72452958e+00 8.17840010e-01 9.35030492e+01 2.32484757e-02 4.17510328e-01 2.44740671e-01 -1.63405836e+00 1.08363641e+00 1.47666581e-01 8.61722751e-102 -2.37697564e+02
