# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio weight loglikelihood
3.50564563e+00 1.09389579e+00 4.76289383e+01 9.17909152e-02 4.96354835e-01 1.55333999e+00 -1.89607699e+00 -1.32573872e+00 3.82590751e-01 0.00000000e+00 -1.00000000e+300
2.38864740e+00 1.18339599e+00 6.89021868e+01 3.07530006e-02 5.09543811e-01 1.40118833e+00 -1.66183335e+00 -4.38044288e-01 6.70656962e-01 0.00000000e+00 -1.00000000e+300
2.14029995e+00 9.62820103e-01 5.99748183e+01 1.84523906e-02 5.74318045e-01 1.48368062e+00 -8.80084289e-01 1.36446770e+00 2.26796678e-01 0.00000000e+00 -1.00000000e+300
3.17901106e+00 1.08382594e+00 8.16072150e+01 6.65913719e-02 8.48029752e-01 5.28619233e-01 -6.15788503e-01 -6.00349776e-01 7.02601340e-01 0.00000000e+00 -1.00000000e+300
3.67577553e+00 1.07627537e+00 3.09667994e+01 8.59286072e-02 1.48136023e-01 2.95407678e-01 -4.32926195e-01 1.10699401e+00 3.17282507e-01 0.00000000e+00 -1.00000000e+300
3.23297189e+00 9.09788239e-01 5.45384902e+01 9.59613385e-02 5.16802834e-01 6.51818922e-01 -9.56412534e-01 -8.63605480e-01 3.52630798e-01 0.00000000e+00 -1.00000000e+300
2.98288991e+00 1.02405865e+00 9.07913483e+01 6.12061374e-02 2.15437194e-01 1.53582923e+00 -1.92953838e+00 7.64543480e-01 4.83035039e-01 0.00000000e+00 -1.00000000e+300
1.88556364e+00 1.13417712e+00 6.11101750e+01 7.48232585e-02 5.42476824e-01 1.52496556e+00 -6.05797410e-01 -3.51749423e-01 5.42585497e-01 0.00000000e+00 -1.00000000e+300
2.31970291e+00 9.12328253e-01 9.74049732e+01 8.32684362e-02 9.50827324e-01 1.03615793e+00 -9.79121016e-01 2.07180009e-01 3.62878003e-02 0.00000000e+00 -1.00000000e+300
1.84534895e+00 9.67559239e-01 7.13704790e+01 5.71532089e-03 6.24624096e-01 1.58757667e+00 -3.14908576e-01 -9.89371990e-01 7.48815152e-01 0.00000000e+00 -1.00000000e+300
2.57132218e+00 1.09981239e+00 4.06832789e+01 8.96171898e-02 2.27356413e-01 9.08369884e-02 -1.63326669e+00 1.21923575e+00 2.57903492e-01 0.00000000e+00 -1.00000000e+300
1.61348791e+00 8.93852126e-01 7.74959145e+01 3.62212987e-02 7.26332910e-01 1.84754680e+00 -5.10638706e-02 -1.32022112e+00 1.10559192e-01 0.00000000e+00 -1.00000000e+300
3.39168740e+00 9.78038718e-01 9.94347671e+01 2.76517827e-02 5.75136667e-01 1.64035258e-01 -1.54719220e+00 1.39708261e+00 6.34217920e-01 0.00000000e+00 -1.00000000e+300
2.77013871e+00 1.09193060e+00 2.15588221e+01 9.22720931e-02 8.58906387e-01 1.06264058e+00 -1.68844263e+00 6.78520373e-02 4.97318876e-01 0.00000000e+00 -1.00000000e+300
1.88459376e+00 1.08604009e+00 3.84697699e+01 1.91211448e-02 5.07403708e-01 5.85675706e-02 -1.75627361e+00 4.45191282e-01 3.87128644e-01 0.00000000e+00 -1.00000000e+300
3.04088352e+00 8.27743898e-01 5.18107164e+01 3.77765096e-02 5.07667207e-01 2.56385269e-01 -1.62920840e+00 5.68546819e-01 2.22799691e-01 0.00000000e+00 -1.00000000e+300
3.86390650e+00 1.02212690e+00 3.66999225e+01 3.44476829e-02 5.18042571e-01 9.08792429e-01 -1.53710398e-01 5.73372648e-01 5.29466136e-01 0.00000000e+00 -1.00000000e+300
3.59066880e+00 1.03748840e+00 6.34370973e+01 6.86906931e-02 3.13339861e-01 1.93496761e+00 -5.92613468e-01 1.35745058e+00 6.76206223e-01 0.00000000e+00 -1.00000000e+300
2.82469954e+00 9.59034034e-01 6.21640104e+01 7.91269261e-02 6.77006576e-01 1.88035557e+00 -1.23659601e+00 -1.02679108e+00 6.15525422e-01 0.00000000e+00 -1.00000000e+300
2.07808101e+00 1.12915189e+00 6.37853871e+01 7.03991315e-02 1.93221358e-01 2.62375273e-01 -7.42393469e-01 -1.06262520e+00 5.83964671e-02 0.00000000e+00 -1.00000000e+300
1.93317028e+00 1.12305419e+00 2.07595323e+01 7.37653466e-02 3.35715992e-01 1.90590662e+00 -1.68745975e+00 4.17911543e-01 6.44817986e-01 0.00000000e+00 -1.00000000e+300
3.79577031e+00 1.07575797e+00 8.34673518e+01 6.00843875e-02 2.71244005e-01 4.57397762e-01 -8.94086586e-01 -4.07103916e-01 4.43782612e-01 0.00000000e+00 -1.00000000e+300
1.95596915e+00 9.38538127e-01 3.78237037e+01 9.62809942e-02 5.81549247e-01 1.21914886e-03 -7.87343262e-01 1.95268810e+00 7.09998412e-02 0.00000000e+00 -1.00000000e+300
2.45427671e+00 1.09100917e+00 3.48832741e+01 2.36007147e-02 1.61532778e-01 1.39535266e+00 -1.61468095e+00 -7.04343066e-01 5.86596755e-01 0.00000000e+00 -1.00000000e+300
3.31836034e+00 8.37654276e-01 4.47147271e+01 7.73439463e-02 6.81252387e-01 4.19432510e-02 -8.16219558e-01 -4.05673693e-01 5.97001235e-01 0.00000000e+00 -1.00000000e+300
3.58680269e+00 8.34755106e-01 2.74471594e+01 6.61021319e-02 1.09585369e-01 9.64217985e-01 -4.01007348e-01 -1.59732843e+00 3.14019516e-01 0.00000000e+00 -1.00000000e+300
2.76016288e+00 9.30393113e-01 5.39867125e+01 9.52265181e-02 3.51190133e-01 7.68903562e-01 -6.33045689e-01 1.81850277e+00 7.03053665e-02 0.00000000e+00 -1.00000000e+300
2.93788433e+00 1.11017668e+00 5.47502824e+01 8.32954040e-02 6.33476992e-01 5.68859245e-01 -1.09699257e+00 -1.36385718e+00 7.02823350e-01 0.00000000e+00 -1.00000000e+300
2.05722257e+00 1.10121945e+00 3.67345467e+01 5.21232887e-02 2.63475968e-01 3.79781761e-01 -1.09117616e+00 4.93802631e-01 3.20553319e-01 0.00000000e+00 -1.00000000e+300
2.31231878e+00 9.02725461e-01 7.34803663e+01 9.79864500e-02 3.38308812e-01 2.45150487e-01 -9.37434315e-01 -1.03370412e+00 1.30447796e-01 0.00000000e+00 -1.00000000e+300
2.73568207e+00 9.38153071e-01 9.85020574e+01 2.68506720e-02 8.72594071e-01 5.07042696e-01 -1.86048967e+00 -1.65443170e-01 4.49800887e-01 0.00000000e+00 -1.00000000e+300
2.38220605e+00 9.14591237e-01 8.32814505e+01 6.41615126e-02 3.45632571e-01 7.50522555e-01 -2.96736851e-01 -1.44173067e+00 7.01407773e-02 0.00000000e+00 -1.00000000e+300
1.83152757e+00 8.59697504e-01 7.22827281e+01 3.87273629e-02 6.18413314e-01 1.48633057e+00 -1.82211841e-01 1.81880090e+00 8.85717163e-02 0.00000000e+00 -1.00000000e+300
3.58240067e+00 1.02578521e+00 3.06001241e+01 1.93940343e-02 1.53372793e-01 1.95957342e+00 -1.53519718e+00 -1.50307752e+00 6.24799063e-01 0.00000000e+00 -1.00000000e+300
3.19232004e+00 9.53440407e-01 3.27290091e+01 5.67822639e-02 6.83937626e-01 1.31544162e+00 -4.12794654e-01 1.59213095e+00 1.91789153e-02 0.00000000e+00 -1.00000000e+300
2.11415333e+00 1.08677935e+00 3.76043218e+01 8.03408042e-02 8.20744750e-01 1.81764542e+00 -1.63249854e+00 1.40311615e+00 2.49881711e-01 0.00000000e+00 -1.00000000e+300
1.94979859e+00 9.39114582e-01 3.16345233e+01 3.41919114e-02 1.90157108e-02 2.51335211e-01 -1.15246450e+00 -1.01116354e+00 8.60382412e-02 0.00000000e+00 -1.00000000e+300
