# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.57316645e+00 8.76219665e-01 7.98955206e+01 2.71831157e-02 1.27032591e-01 6.04245914e-01 -1.11786730e+00 3.45856318e-01 3.13630844e-01
1.64211750e+00 1.10333115e+00 6.43490708e+01 1.51906080e-02 8.08052421e-02 1.11784023e+00 -7.94408331e-01 -3.50158801e-01 3.23870735e-01
3.45294169e+00 8.39067203e-01 7.17284285e+01 2.45371417e-02 1.13866812e-01 4.63448591e-01 -9.02202110e-01 3.36376149e-01 6.03144642e-01
1.79489100e+00 1.10975064e+00 7.59272303e+01 2.65960644e-02 1.39484838e-01 8.59874062e-01 -6.45372404e-01 -1.31884343e+00 4.97277467e-01
3.40784754e+00 9.21293222e-01 6.77003073e+01 1.80950599e-02 1.16986052e-01 7.31204782e-01 -7.09459668e-01 -6.92721918e-01 1.33750808e-01
3.90856901e+00 9.29786030e-01 7.54597781e+01 2.25084723e-02 1.41797517e-01 4.19494577e-01 -8.20517937e-01 -8.66536795e-01 9.43248417e-02
3.84429227e+00 1.09083949e+00 6.43245853e+01 1.68964238e-02 6.32825097e-02 1.87299860e+00 -5.90788960e-01 -1.39395971e+00 2.37595157e-01
2.22193144e+00 9.01631358e-01 7.51927173e+01 2.80462591e-02 1.08674844e-01 1.46669564e+00 -7.54254244e-01 -6.50766605e-01 1.63227819e-02
2.88408271e+00 1.09706930e+00 6.52008413e+01 1.95964871e-02 9.59018005e-02 1.30827956e+00 -4.66083905e-01 -1.44426697e+00 2.90637183e-01
3.64142105e+00 9.44918131e-01 7.73062497e+01 3.10676408e-02 1.51138619e-01 7.19216308e-01 -5.42227849e-01 -1.28672928e+00 3.51798938e-01
3.54494789e+00 1.12888712e+00 6.11325493e+01 1.19552518e-02 7.67018230e-02 1.27362111e+00 -5.67720134e-01 -1.44685462e+00 1.14502068e-01
1.89321394e+00 9.99776780e-01 7.16448229e+01 2.65040193e-02 9.09842715e-02 1.56328546e+00 -6.88996123e-01 -6.99542531e-01 5.87607752e-02
2.66543285e+00 1.09977613e+00 7.26766746e+01 3.14768810e-02 2.87271874e-02 1.82302377e+00 -1.06593657e+00 1.00663464e+00 5.45332163e-01
3.54494789e+00 1.12888712e+00 6.11325493e+01 1.19552518e-02 7.67018230e-02 1.27362111e+00 -5.67720134e-01 -1.44685462e+00 1.14502068e-01
2.47121311e+00 1.06167737e+00 7.18066964e+01 2.59122296e-02 1.29520716e-01 1.07770517e+00 -4.81622065e-01 -1.58676905e+00 2.13657708e-01
1.65745117e+00 1.07026150e+00 6.49477499e+01 1.82588416e-02 9.25788209e-02 1.29252574e+00 -4.38815527e-01 -1.86437843e+00 1.27661258e-01
3.63543449e+00 8.21537611e-01 7.88951326e+01 3.00667363e-02 1.42786781e-01 5.82150418e-01 -7.24485623e-01 -9.11972352e-01 7.28569574e-01
3.10789114e+00 1.16026147e+00 7.73529757e+01 2.69634896e-02 1.11320982e-01 1.28057276e+00 -9.02474237e-01 -5.34052587e-01 4.65587135e-02
1.67759766e+00 1.16828946e+00 7.74057975e+01 2.91400008e-02 1.35655792e-01 9.38878436e-01 -6.83525313e-01 -1.05485751e+00 5.26384232e-01
2.55896628e+00 1.02053682e+00 6.66905172e+01 2.05929424e-02 7.00450613e-02 1.99897818e+00 -5.76057522e-01 -1.19650773e+00 1.79284714e-01
2.08100381e+00 9.31648153e-01 7.99499157e+01 2.97527485e-02 1.76152358e-01 2.16973792e-02 -6.22951349e-01 -9.93699334e-01 5.01094052e-01
1.84693680e+00 1.11688717e+00 7.78946352e+01 2.54179295e-02 1.81227613e-01 4.10804553e-02 -5.95320919e-01 -1.48343809e+00 1.79322411e-01
3.55794339e+00 8.92268512e-01 7.98065479e+01 3.01730058e-02 1.08809243e-01 1.59006131e+00 -8.79969661e-01 -6.43478447e-01 8.06334491e-02
3.75479612e+00 9.29347713e-01 7.18499421e+01 2.27659227e-02 1.42419592e-01 3.72445177e-01 -5.65939481e-01 -1.26708900e+00 5.10804331e-01
3.83276583e+00 1.16988205e+00 7.58817811e+01 2.80473558e-02 1.11556711e-01 1.90801296e+00 -6.76020630e-01 -1.13541190e+00 1.71782339e-01
2.69037342e+00 9.22849731e-01 6.31445265e+01 1.84482564e-02 6.41626035e-02 1.84155946e+00 -4.38308717e-01 -1.45912847e+00 8.20667111e-02
1.90397060e+00 8.33886296e-01 6.73317811e+01 1.81435120e-02 8.34161888e-02 1.44420522e+00 -7.26342586e-01 -1.01121018e+00 3.64688104e-01
1.63759453e+00 1.01951057e+00 7.43546242e+01 2.54142778e-02 1.64469533e-01 3.59817280e-01 -4.04009416e-01 -1.89208246e+00 3.89196429e-01
3.48864077e+00 8.73947217e-01 6.16050734e+01 1.36318947e-02 5.35977952e-02 1.64062186e+00 -7.15414656e-01 -8.06716244e-01 4.46936586e-01
2.06011179e+00 8.17365336e-01 7.15896889e+01 2.87728892e-02 1.09930608e-01 1.68226004e+00 -3.57577065e-01 -1.89347948e+00 1.40277622e-01
2.83144290e+00 1.08251389e+00 6.72026451e+01 1.81207032e-02 9.10573000e-02 1.53783765e+00 -6.30161060e-01 -1.45173912e+00 8.13239727e-02
2.10563927e+00 9.54378469e-01 7.71129351e+01 2.99373874e-02 1.08936770e-01 1.77330385e+00 -8.07551123e-01 -6.37861875e-01 4.77188468e-01
3.53109303e+00 9.07863274e-01 6.10091234e+01 1.04946431e-02 9.13302829e-02 7.30466678e-01 -6.22358508e-01 -1.29527815e+00 2.62871551e-01
1.71193471e+00 9.36558267e-01 7.78222615e+01 2.79900548e-02 1.88859303e-01 3.13740259e-01 -4.83489345e-01 -1.77894930e+00 2.84621463e-01
1.90000094e+00 8.38946574e-01 7.22504169e+01 2.96777934e-02 1.02607485e-01 1.58505176e+00 -5.71342753e-01 -9.65798259e-01 3.64885950e-01
2.87935268e+00 1.12780004e+00 7.18878377e+01 2.48608994e-02 1.02538046e-01 1.11064842e+00 -8.32815751e-01 -9.99293494e-02 4.81527763e-02
1.61204767e+00 9.49483426e-01 6.99635297e+01 2.63830424e-02 3.50888327e-02 1.61529950e+00 -1.06687670e+00 1.01407451e+00 6.63684518e-01
3.48139757e+00 1.01618556e+00 7.78753007e+01 3.13782494e-02 1.82296693e-01 5.47782790e-01 -4.14807787e-01 -1.76880282e+00 5.60203772e-01
3.30355469e+00 8.60900152e-01 7.63428382e+01 2.90427470e-02 1.49472435e-01 5.16392113e-01 -5.64070405e-01 -1.33233383e+00 4.10735200e-01
2.57164493e+00 8.85751847e-01 6.01905608e+01 1.08367145e-02 5.36778206e-02 1.53737184e+00 -7.85880745e-01 -6.57324142e-01 1.15815070e-01
3.83430830e+00 9.29855604e-01 7.18307446e+01 2.52561613e-02 1.14211799e-01 1.24656396e+00 -4.74031870e-01 -1.77567404e+00 5.70599871e-01
1.78624742e+00 8.67076976e-01 6.93752023e+01 2.40645737e-02 7.63651212e-02 8.45919836e-01 -9.70176938e-01 6.41465949e-01 6.17243671e-01
1.92350898e+00 1.05741730e+00 5.94805088e+01 1.10089479e-02 9.95572102e-02 4.46680026e-01 -4.74491963e-01 -1.36495245e+00 2.82407464e-01
2.22965428e+00 1.00846021e+00 7.45698398e+01 3.12250292e-02 9.34036505e-02 1.98119301e+00 -5.22573139e-01 -1.46693683e+00 1.85319381e-01
2.91315287e+00 1.11676238e+00 6.91422226e+01 2.31973628e-02 1.05292886e-01 1.30011362e+00 -4.85384593e-01 -1.38364997e+00 5.27390831e-01
