weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
0.000000000000000000e+00 -3.282818024767760562e+03 3.019791240275357058e+00 9.092983567045332949e-01 6.472169268759297722e+01 2.217196042651609425e-02 1.108714665525038362e-01 7.814024012134274111e-02 -1.840326285703726139e+00 7.645824715281875072e-02 7.954069894969172105e-02
0.000000000000000000e+00 -3.237208785900815656e+03 2.917227242445083135e+00 9.020076946331538892e-01 6.322482546358227040e+01 2.258917462611557958e-02 1.291420409414735238e-01 5.019674433352964288e-02 -1.823379707645364389e+00 6.726616664519856348e-02 6.625494234077383693e-02
0.000000000000000000e+00 -3.110210904770897741e+03 2.886146278139086974e+00 9.651561364216211247e-01 6.279129381296985457e+01 2.249051054576738096e-02 1.217068367946863849e-01 5.686917257358542477e-02 -1.748710232181377222e+00 3.682126514629412845e-02 1.591219763160395609e-02
0.000000000000000000e+00 -3.056979461639974488e+03 2.995970028857589451e+00 9.436985572430298674e-01 6.747724306718193077e+01 2.254491931168607285e-02 1.100085153051942044e-01 7.694870493631234334e-03 -1.912333411675227079e+00 3.225095878486846507e-02 5.269863590712162843e-02
0.000000000000000000e+00 -3.035037346390045968e+03 2.849638103636707775e+00 9.049432525489136125e-01 6.405814238694904361e+01 2.231122387249554612e-02 1.252393583185204828e-01 6.635185957857923922e-02 -1.850519017770404284e+00 4.571010499024868307e-02 2.008935169756319999e-02
0.000000000000000000e+00 -2.999714595404896954e+03 3.158633048214941397e+00 9.220223324564459366e-01 6.110931920086501634e+01 2.202998000244468790e-02 1.177238169067985618e-01 6.848316634841765393e-02 -1.485174907398682187e+00 8.691796829201323127e-02 2.656032727942824606e-02
0.000000000000000000e+00 -2.990890495217272019e+03 3.072079691961281611e+00 9.127917623409537162e-01 6.113694486172450127e+01 2.253043038114305174e-02 1.262410592095104811e-01 4.117054967636286922e-02 -1.492945919734082860e+00 7.795139722130718651e-02 1.125597036567362041e-02
0.000000000000000000e+00 -2.907960680669893918e+03 2.954263786408428238e+00 9.842234488023344774e-01 6.024419567320563829e+01 2.208294801831555201e-02 1.144332022291178891e-01 5.002533934101463520e-02 -1.409171468424418538e+00 6.137049997827176417e-02 5.372206155764037289e-02
0.000000000000000000e+00 -2.881803949464214838e+03 3.028315146981972461e+00 9.704633288606624442e-01 6.829792058654405196e+01 2.236941144844516866e-02 1.107967548251469481e-01 2.435678189143545419e-02 -1.910067389528938175e+00 4.898773054931843118e-02 2.296259474681697915e-02
0.000000000000000000e+00 -2.867905502064118537e+03 3.144469777461547100e+00 9.102317575280227668e-01 6.811366432230168755e+01 2.258210559709179430e-02 1.160470079251327974e-01 3.242622037631389537e-02 -1.993633230058551975e+00 4.866793049558282291e-03 2.401431435080378374e-02
