logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
2.805246226142911858e+00 9.415235916466845323e-01 6.867268982519541964e+01 2.234178278732065412e-02 1.198108209606684599e-01 2.000465285350817857e-02 3.646025463920684051e-01
3.129623506924458454e+00 9.574158960120150441e-01 6.867276330522321359e+01 2.259210269325028289e-02 1.133158572156545557e-01 5.649754347625753070e-02 1.223989980168456032e-01
2.944346853342170611e+00 9.861417683525991462e-01 6.948885245006965761e+01 2.249218821842139532e-02 1.112885018402244991e-01 2.157481757232014921e-02 7.431819899673322571e-02
3.177031077848621710e+00 9.699992736654530212e-01 6.867944456402008768e+01 2.250477723384914849e-02 1.116153557313451228e-01 3.754456553884170239e-02 5.471383247375374292e-01
2.988701919289823650e+00 9.995818360987497320e-01 6.847659809519630869e+01 2.208800977156957432e-02 1.248923567998290324e-01 6.449066392576075640e-03 2.658930683197591183e-01
2.984889374055798239e+00 9.123155949132882858e-01 6.873588821850454167e+01 2.255060573164693188e-02 1.241113299821428873e-01 9.203477359843382360e-03 3.135045015832143567e-01
2.854598029922962521e+00 9.636029668042964680e-01 6.815043681465519398e+01 2.210639488366566291e-02 1.184027898851314070e-01 9.304707114032462201e-02 3.439739606205694522e-01
2.935930552678695182e+00 9.572573719150192506e-01 6.900581933860991057e+01 2.257061753012121197e-02 1.216847534767028366e-01 4.791992841289138827e-02 4.055835201517971056e-01
2.807058444911508133e+00 9.750027135754842922e-01 6.852476205404241227e+01 2.216281439835364117e-02 1.178170077557457451e-01 4.187292566252463766e-02 3.367374389756306319e-01
2.808095611237511946e+00 9.243974173558460183e-01 6.828103619770804755e+01 2.221911250160750473e-02 1.174261157609632483e-01 2.610122622972477300e-03 5.407219140593724216e-01
2.852508327174421154e+00 9.915118823448922925e-01 6.844553950621667582e+01 2.234679117302672616e-02 1.203741728076387213e-01 4.191455077187392769e-02 6.026551731774228982e-01
3.083516363097840607e+00 9.302829074406192555e-01 6.912262199797888229e+01 2.221620194058763695e-02 1.130420065216952985e-01 3.509130748333564448e-02 5.178737865315057309e-01
3.105544763666280073e+00 9.163634053918016109e-01 6.834975297545470596e+01 2.227338807592997919e-02 1.133690489391652595e-01 6.653084333948738882e-02 6.014249673278798669e-01
3.176361063134639284e+00 9.996668550754500560e-01 6.769625589094641782e+01 2.220365119999840459e-02 1.162301061846637562e-01 4.049463310992371112e-02 4.037604211134597776e-01
2.902919498592361425e+00 9.718588642412075984e-01 6.846146525342670941e+01 2.228202799264848016e-02 1.237661498314266417e-01 4.046986769156683122e-02 1.884779816017530529e-01
