weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
8.227324585418908484e-192 -1.145842021439031896e+03 3.000935672439877688e+00 9.820343293175394228e-01 7.906658318648555905e+01 2.253487816893983905e-02 1.142239606087476766e-01 4.437004792601587783e-02 4.333842386125929397e-02
3.504644340804492735e-191 -1.144390308183740672e+03 3.188036475749950416e+00 9.867293218881078021e-01 7.895597172410208486e+01 2.218592086577948763e-02 1.162179033450432830e-01 3.070670061683864610e-02 1.569526336908774050e-02
1.448090886098329623e-185 -1.131456140610524926e+03 3.059581447225197426e+00 9.740070562769750362e-01 7.908029525042493901e+01 2.207562185113965542e-02 1.212696724633221812e-01 2.248220860380684138e-02 1.967265437136537370e-02
3.623589925610647739e-185 -1.130536421442567871e+03 3.063301935620052596e+00 9.719469722513192078e-01 7.942589729113464614e+01 2.244671425325514558e-02 1.220480128391120689e-01 7.958650145096547029e-03 6.811523788911644228e-02
1.206334581161375070e-182 -1.124726044899868839e+03 3.001702884206023825e+00 9.144486088853902572e-01 7.980056273339539530e+01 2.250005421782775433e-02 1.292682464254580610e-01 6.831278983029495655e-02 1.387501547154696910e-02
4.100854704568214608e-182 -1.123499935973665742e+03 2.886529821558687647e+00 9.996311198965961431e-01 6.013866664586958422e+01 2.231802332044077047e-02 1.251986460670642121e-01 7.928583718181726227e-04 6.030717479929186692e-02
6.279919176650143725e-181 -1.120768689186747906e+03 2.880794283108832676e+00 9.779049553324654642e-01 7.937733740623774281e+01 2.215069059253363740e-02 1.267699747914139974e-01 1.915832637539621741e-02 5.024272777155860265e-02
7.264634064354403666e-181 -1.120620528371100363e+03 2.913788463925429451e+00 9.710850709610794329e-01 7.879735114544959629e+01 2.231087225461470328e-02 1.170436404263942298e-01 2.887495463811460411e-02 4.539204826006328769e-02
1.795304569294048089e-179 -1.117410701427163303e+03 3.169050841266384477e+00 9.289103000266301091e-01 7.939514534315404148e+01 2.246304569262852491e-02 1.248925673519573759e-01 5.193723184271692439e-02 6.702898791403556766e-02
4.301613130711902974e-179 -1.116534386012170216e+03 3.069007948432500132e+00 9.619718449196913435e-01 7.919499922827294824e+01 2.211021460100079383e-02 1.264945098117269406e-01 7.066310640782356989e-02 3.985364036363258505e-02
5.585195346146743620e-179 -1.116270756702358767e+03 3.003339606652332794e+00 9.222660472978576607e-01 7.850866054430355234e+01 2.241976798327027093e-02 1.123973911965131384e-01 1.771395223043759071e-03 1.592056002524591327e-02
1.259406176727291637e-177 -1.113152565603648327e+03 3.182694973030851138e+00 9.115224133080360724e-01 7.845928088653893440e+01 2.255060098074199507e-02 1.122070987684522791e-01 6.608455019435104105e-02 6.193499933130364177e-02
1.566239906831387701e-177 -1.112932028142163517e+03 2.932335754846475240e+00 9.490039993328989176e-01 6.032946510664533690e+01 2.239965704167114560e-02 1.289751121348767238e-01 8.436772224814333143e-02 3.344672406841975310e-02
1.157837590918267022e-176 -1.110929066712538770e+03 3.003289791601191361e+00 9.134662365088671576e-01 7.880236167791093749e+01 2.230263707667718906e-02 1.199636125190118585e-01 7.986880872360718753e-02 4.070646674865532194e-02
