14:48:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=7+0, resume=False, log_dir=lcdm_output/lcdm_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:48:36 [ultranest] [INFO] Sampling 400 live points from prior ...
14:48:48 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
14:48:48 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
14:48:48 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
14:48:52 [ultranest] [DEBUG] iteration=111, ncalls=524, regioncalls=4960, ndraw=40, logz=-288.68, remainder_fraction=100.0000%, Lmin=-282.13, Lmax=-5.18
14:48:52 [ultranest] [DEBUG] iteration=115, ncalls=528, regioncalls=5120, ndraw=40, logz=-281.76, remainder_fraction=100.0000%, Lmin=-272.71, Lmax=-5.18
14:48:52 [ultranest] [DEBUG] iteration=119, ncalls=533, regioncalls=5320, ndraw=40, logz=-274.04, remainder_fraction=100.0000%, Lmin=-264.89, Lmax=-5.18
14:48:52 [ultranest] [DEBUG] iteration=120, ncalls=534, regioncalls=5360, ndraw=40, logz=-271.13, remainder_fraction=100.0000%, Lmin=-264.55, Lmax=-5.18
14:48:52 [ultranest] [DEBUG] iteration=122, ncalls=538, regioncalls=5520, ndraw=40, logz=-267.41, remainder_fraction=100.0000%, Lmin=-260.88, Lmax=-5.18
14:48:53 [ultranest] [DEBUG] iteration=125, ncalls=542, regioncalls=5680, ndraw=40, logz=-262.25, remainder_fraction=100.0000%, Lmin=-255.10, Lmax=-5.18
14:48:53 [ultranest] [DEBUG] iteration=129, ncalls=547, regioncalls=5880, ndraw=40, logz=-258.00, remainder_fraction=100.0000%, Lmin=-251.79, Lmax=-5.18
14:48:53 [ultranest] [DEBUG] iteration=133, ncalls=552, regioncalls=6080, ndraw=40, logz=-254.73, remainder_fraction=100.0000%, Lmin=-248.61, Lmax=-5.18
14:48:53 [ultranest] [DEBUG] iteration=137, ncalls=556, regioncalls=6240, ndraw=40, logz=-251.80, remainder_fraction=100.0000%, Lmin=-245.62, Lmax=-5.18
14:48:53 [ultranest] [DEBUG] iteration=139, ncalls=560, regioncalls=6400, ndraw=40, logz=-250.46, remainder_fraction=100.0000%, Lmin=-244.16, Lmax=-5.18
14:48:53 [ultranest] [DEBUG] iteration=142, ncalls=564, regioncalls=6560, ndraw=40, logz=-247.69, remainder_fraction=100.0000%, Lmin=-241.52, Lmax=-5.18
14:48:53 [ultranest] [DEBUG] iteration=145, ncalls=568, regioncalls=6720, ndraw=40, logz=-246.21, remainder_fraction=100.0000%, Lmin=-239.81, Lmax=-5.18
14:48:54 [ultranest] [DEBUG] iteration=148, ncalls=573, regioncalls=6920, ndraw=40, logz=-243.58, remainder_fraction=100.0000%, Lmin=-234.56, Lmax=-5.18
14:48:54 [ultranest] [DEBUG] iteration=151, ncalls=577, regioncalls=7080, ndraw=40, logz=-239.78, remainder_fraction=100.0000%, Lmin=-234.43, Lmax=-5.18
14:48:54 [ultranest] [DEBUG] iteration=154, ncalls=581, regioncalls=7240, ndraw=40, logz=-238.54, remainder_fraction=100.0000%, Lmin=-232.60, Lmax=-5.18
14:48:54 [ultranest] [DEBUG] iteration=158, ncalls=586, regioncalls=7440, ndraw=40, logz=-235.63, remainder_fraction=100.0000%, Lmin=-229.52, Lmax=-5.18
14:48:54 [ultranest] [DEBUG] iteration=160, ncalls=588, regioncalls=7520, ndraw=40, logz=-234.11, remainder_fraction=100.0000%, Lmin=-227.69, Lmax=-5.18
14:48:54 [ultranest] [DEBUG] iteration=164, ncalls=592, regioncalls=7680, ndraw=40, logz=-229.43, remainder_fraction=100.0000%, Lmin=-223.02, Lmax=-5.18
14:48:54 [ultranest] [DEBUG] iteration=168, ncalls=596, regioncalls=7840, ndraw=40, logz=-227.18, remainder_fraction=100.0000%, Lmin=-221.46, Lmax=-5.18
14:48:54 [ultranest] [DEBUG] iteration=169, ncalls=600, regioncalls=8000, ndraw=40, logz=-226.78, remainder_fraction=100.0000%, Lmin=-221.15, Lmax=-5.18
14:48:54 [ultranest] [DEBUG] iteration=172, ncalls=604, regioncalls=8160, ndraw=40, logz=-225.37, remainder_fraction=100.0000%, Lmin=-218.51, Lmax=-5.18
14:48:55 [ultranest] [DEBUG] iteration=176, ncalls=608, regioncalls=8320, ndraw=40, logz=-222.02, remainder_fraction=100.0000%, Lmin=-215.43, Lmax=-5.18
14:48:55 [ultranest] [DEBUG] iteration=179, ncalls=612, regioncalls=8480, ndraw=40, logz=-218.81, remainder_fraction=100.0000%, Lmin=-213.06, Lmax=-5.18
14:48:55 [ultranest] [DEBUG] iteration=181, ncalls=615, regioncalls=8600, ndraw=40, logz=-217.68, remainder_fraction=100.0000%, Lmin=-211.83, Lmax=-5.18
14:48:55 [ultranest] [DEBUG] iteration=184, ncalls=619, regioncalls=8760, ndraw=40, logz=-215.00, remainder_fraction=100.0000%, Lmin=-208.76, Lmax=-5.18
14:48:55 [ultranest] [DEBUG] iteration=187, ncalls=626, regioncalls=9040, ndraw=40, logz=-213.19, remainder_fraction=100.0000%, Lmin=-207.33, Lmax=-5.18
14:48:55 [ultranest] [DEBUG] iteration=191, ncalls=630, regioncalls=9200, ndraw=40, logz=-210.52, remainder_fraction=100.0000%, Lmin=-204.61, Lmax=-5.18
14:48:55 [ultranest] [DEBUG] iteration=193, ncalls=634, regioncalls=9360, ndraw=40, logz=-209.59, remainder_fraction=100.0000%, Lmin=-201.40, Lmax=-5.18
14:48:56 [ultranest] [DEBUG] iteration=195, ncalls=640, regioncalls=9600, ndraw=40, logz=-207.09, remainder_fraction=100.0000%, Lmin=-200.79, Lmax=-5.18
14:48:56 [ultranest] [DEBUG] iteration=198, ncalls=645, regioncalls=9800, ndraw=40, logz=-204.43, remainder_fraction=100.0000%, Lmin=-198.46, Lmax=-5.18
14:48:56 [ultranest] [DEBUG] iteration=200, ncalls=651, regioncalls=10040, ndraw=40, logz=-203.13, remainder_fraction=100.0000%, Lmin=-197.08, Lmax=-5.18
14:48:56 [ultranest] [DEBUG] iteration=203, ncalls=656, regioncalls=10240, ndraw=40, logz=-201.63, remainder_fraction=100.0000%, Lmin=-194.89, Lmax=-5.18
14:48:56 [ultranest] [DEBUG] iteration=207, ncalls=663, regioncalls=10520, ndraw=40, logz=-195.60, remainder_fraction=100.0000%, Lmin=-189.28, Lmax=-5.18
14:48:57 [ultranest] [DEBUG] iteration=210, ncalls=669, regioncalls=10760, ndraw=40, logz=-194.19, remainder_fraction=100.0000%, Lmin=-188.46, Lmax=-5.18
14:48:57 [ultranest] [DEBUG] iteration=213, ncalls=673, regioncalls=10920, ndraw=40, logz=-192.61, remainder_fraction=100.0000%, Lmin=-184.51, Lmax=-5.18
14:48:57 [ultranest] [DEBUG] iteration=216, ncalls=677, regioncalls=11080, ndraw=40, logz=-187.61, remainder_fraction=100.0000%, Lmin=-180.85, Lmax=-5.18
14:48:57 [ultranest] [DEBUG] iteration=218, ncalls=683, regioncalls=11320, ndraw=40, logz=-186.19, remainder_fraction=100.0000%, Lmin=-179.19, Lmax=-5.18
14:48:57 [ultranest] [DEBUG] iteration=221, ncalls=687, regioncalls=11480, ndraw=40, logz=-180.97, remainder_fraction=100.0000%, Lmin=-173.14, Lmax=-5.18
14:48:57 [ultranest] [DEBUG] iteration=225, ncalls=692, regioncalls=11680, ndraw=40, logz=-177.12, remainder_fraction=100.0000%, Lmin=-170.66, Lmax=-5.18
14:48:57 [ultranest] [DEBUG] iteration=228, ncalls=696, regioncalls=11840, ndraw=40, logz=-175.55, remainder_fraction=100.0000%, Lmin=-169.33, Lmax=-5.18
