weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
2.201314650551963010e-191 -4.419170633326960456e+02 2.973193518917792932e+00 9.152582678644324288e-01 7.887793502819671687e+01 2.215794838679322615e-02 1.116782182294404069e-01 3.618863793318144451e-02 2.185636369519989089e-02
4.908767761966540609e-191 -4.411125951376869239e+02 2.920339700908049174e+00 9.765311862742280802e-01 7.981064376944766536e+01 2.243882123427622804e-02 1.219977360732041882e-01 2.192574921406836852e-02 5.469875258833091503e-02
5.616083882199736471e-190 -4.386728983871249739e+02 3.161530975829994095e+00 9.630676257963368680e-01 7.945411806224501561e+01 2.204623742584222931e-02 1.215026260714497514e-01 1.084808029946390286e-02 7.590812047864813061e-02
3.258320134228969366e-189 -4.369122361307129268e+02 2.808343023062735977e+00 9.292060194170377319e-01 7.983915350366331154e+01 2.228371106878784119e-02 1.246994895205149056e-01 2.487027009988940392e-03 5.317461170749253341e-02
1.921378508275107316e-187 -4.328327348095636466e+02 2.948000184987788153e+00 9.211798362231444770e-01 7.956019159478216807e+01 2.200241164050181081e-02 1.257272139864172300e-01 4.447367107308161649e-02 1.124072983846629258e-02
5.133059146401138179e-186 -4.295449908117636824e+02 3.172638114749154692e+00 9.697704014431218766e-01 7.967545956014561170e+01 2.211990543272875781e-02 1.279477965725946687e-01 8.860657789321099709e-02 7.036681385146241474e-02
7.837335288506505562e-185 -4.268167086351381840e+02 3.199973778200849495e+00 9.250366099487339344e-01 7.896654031297418896e+01 2.228437976622631850e-02 1.141915445700173448e-01 2.531332365501333392e-02 4.703515012443398174e-02
1.194437701613850296e-179 -4.148799214350305533e+02 3.152917275797543439e+00 9.471128462231467315e-01 7.878307331038682548e+01 2.216644101239534023e-02 1.157319233394012992e-01 5.076176115585832177e-02 1.295368733734539660e-02
3.247566688892263786e-179 -4.138771909622841463e+02 2.805495803104819608e+00 9.374075357502632544e-01 7.953671894253604080e+01 2.211698045167402593e-02 1.295281493713722754e-01 9.930997419986108132e-02 5.802944633843026834e-02
8.045251475041946666e-179 -4.129675149285848761e+02 2.860986430106469580e+00 9.167307608818515696e-01 6.017662680760587790e+01 2.242442762929962655e-02 1.255752268028170193e-01 3.601603480273134900e-02 1.760504479705538028e-02
6.706151470721345417e-176 -4.062393164529776186e+02 2.860330655618460671e+00 9.223706006118151945e-01 7.983464226492579030e+01 2.253846368142094561e-02 1.299017166348798435e-01 6.681274787665376913e-02 6.822030054591479709e-02
2.503547936545934139e-175 -4.049195476946994177e+02 2.902040390804534908e+00 9.603205335989305480e-01 7.920891236251256373e+01 2.255486304694612892e-02 1.202422158478026887e-01 7.509642173125673226e-02 5.946170201370033770e-02
1.461469894359350509e-171 -3.962449735169205383e+02 2.814856217536332750e+00 9.581237045843805644e-01 7.957814388193301625e+01 2.255474432162132142e-02 1.277245364851110621e-01 6.447778773478554659e-02 4.168883283107944343e-02
1.237232045239541156e-170 -3.941064544672296392e+02 2.839477435905488178e+00 9.564850366100281498e-01 7.921851265435401501e+01 2.247426617862614828e-02 1.237313022114569783e-01 7.570483582826852131e-02 5.148912028312661870e-02
9.965869328549189984e-170 -3.920176649420968715e+02 3.103756415396924151e+00 9.348752067031254054e-01 7.882455807740034004e+01 2.259587386635061868e-02 1.163157128770174187e-01 5.784882020456164065e-02 5.106766229276975266e-02
3.763019293694322259e-169 -3.906865243983421578e+02 2.867535501465875214e+00 9.223990446760103046e-01 7.904832503393333809e+01 2.200538347276376899e-02 1.259086475760257395e-01 5.248577082845118716e-03 5.491178544090915409e-02
5.225255079136309941e-169 -3.903557424215184142e+02 3.089230585145281704e+00 9.001642841614534429e-01 6.028121545895461963e+01 2.218360982895775657e-02 1.247712591037906937e-01 4.543283674022203025e-03 4.277498553272644777e-02
6.759794811486133540e-168 -3.877931684078933472e+02 2.964197107000542175e+00 9.176864339044169538e-01 7.918888786913284150e+01 2.228685084952943679e-02 1.275219620892764083e-01 9.485731005003279759e-02 2.529066304909386234e-02
1.038523209893039643e-167 -3.873612761376391518e+02 3.106735991574231193e+00 9.346088067502599239e-01 7.934559274791584471e+01 2.235747017138943818e-02 1.279472295550293792e-01 4.103991780094802533e-02 3.442567874567359354e-02
1.777980572914462812e-167 -3.868210976405008523e+02 2.951071689703772094e+00 9.516289506468160742e-01 7.882507446162682641e+01 2.207402345190830062e-02 1.241970814728075995e-01 8.011333845237134099e-02 2.395922380007839414e-02
2.668283326765609659e-167 -3.864126405343079682e+02 3.054286889166222707e+00 9.966186884039495153e-01 6.006453705594292103e+01 2.233702786168544063e-02 1.129679155084091918e-01 6.543168364817353658e-03 6.368083065921195662e-02
4.458703974324039111e-167 -3.858967177160766937e+02 3.094271778716829235e+00 9.501283834202016720e-01 7.921809436300864604e+01 2.237983795913427859e-02 1.261827258522472683e-01 4.907907116751002857e-02 7.929013038850181438e-02
7.014599936446414026e-167 -3.854410821689644990e+02 3.002480675051406145e+00 9.840365403299045077e-01 7.927736231535536149e+01 2.256483282611378149e-02 1.238806036418792778e-01 1.001499867497651630e-02 5.913919574884679564e-02
5.033730882858687599e-166 -3.834678293227858035e+02 3.075159687891950711e+00 9.182279708113899597e-01 6.008482317934357297e+01 2.204909330397879230e-02 1.202370722133844494e-01 2.804444602297654493e-02 5.261807149574695974e-02
1.525859182200692398e-164 -3.800537629226062677e+02 2.933920397416083681e+00 9.904136376406016407e-01 7.866529987958281822e+01 2.243617175120647678e-02 1.192341540889768486e-01 9.952498896932207573e-02 7.349998606643499965e-02
3.611535232152277996e-164 -3.791896876181742755e+02 3.083705615634072306e+00 9.727929666612996629e-01 7.835342647515287240e+01 2.240626049994106500e-02 1.132220364110377991e-01 1.477793068811286172e-02 5.377055028391353880e-02
1.243127429356252308e-163 -3.779511051543293547e+02 3.091657012503406854e+00 9.871674749296310836e-01 7.854371164263602623e+01 2.237769796791200597e-02 1.182660735075067304e-01 9.011030402615032020e-02 1.545795706488980840e-02
1.719082379832699596e-163 -3.776244448308205506e+02 3.185630744280888660e+00 9.783431346717231802e-01 7.904824442199748091e+01 2.224615844583743840e-02 1.258778407268255073e-01 4.745339839002615974e-03 6.794444002544683392e-02
6.763883172333062720e-161 -3.716469681342907165e+02 3.170972548518779188e+00 9.212776817536154628e-01 6.007165034806565984e+01 2.202925571172173122e-02 1.190727505178667267e-01 8.516706621494674057e-02 7.825312036377481129e-02
2.038814457347782463e-160 -3.705411117096396652e+02 3.030004528432800104e+00 9.578431072417393777e-01 7.920295176190990105e+01 2.254030629043831876e-02 1.263215242920728287e-01 6.469177188892183579e-03 2.688035196457239095e-02
2.932608001753802099e-160 -3.701750880700948301e+02 2.822098245847198594e+00 9.561569094198324459e-01 7.894838727262340683e+01 2.228879159369301366e-02 1.265068395062627360e-01 4.333467862784504826e-02 6.845266940484100171e-02
4.290637292546435104e-160 -3.697920449252565618e+02 3.097929901946007369e+00 9.437512763307387420e-01 7.896405882132262377e+01 2.241764958667391561e-02 1.245182406775240391e-01 1.843690180433734879e-02 4.033948663566095522e-02
5.279897590909133772e-159 -3.672794884053417377e+02 3.129740754790347523e+00 9.992075254081383973e-01 6.045464619291708885e+01 2.227045844485563836e-02 1.245008818489473923e-01 8.514349774642900048e-02 3.997003762419128192e-02
7.024385449496284910e-158 -3.646889222833221993e+02 2.993550802335913641e+00 9.465216032756105236e-01 6.055666103808361100e+01 2.212755375854381229e-02 1.259314758861783401e-01 6.130074234010740586e-03 7.311030950185863631e-02
1.715825695463216670e-156 -3.614907454083923426e+02 2.830379804615092088e+00 9.289259795611422010e-01 7.889686829983664040e+01 2.242496146010167918e-02 1.250409329901724098e-01 7.355545981556355084e-03 6.713336803207532733e-02
1.781187976451845321e-156 -3.614508592840375059e+02 3.107725078612388447e+00 9.017116064987275026e-01 6.074932696391466180e+01 2.240569036719610232e-02 1.267206693306792420e-01 3.774955262239605702e-02 4.987992043364897904e-02
4.021346971397791810e-155 -3.583314378212142515e+02 2.886772986828859633e+00 9.446452369359965573e-01 7.835989351612484199e+01 2.217446689603460447e-02 1.204375267353012952e-01 1.303085185271279922e-02 4.056444219729080092e-02
1.190096672303537155e-154 -3.572439351011867075e+02 2.981045443069351375e+00 9.097536087098403446e-01 6.085955965715408666e+01 2.259267885497450237e-02 1.259035012089463612e-01 5.687843788129836459e-02 1.623496868471208804e-02
1.252304921018796714e-154 -3.571904838520757153e+02 2.924766608073828156e+00 9.254655411216363703e-01 7.868030774725033893e+01 2.244672010949110702e-02 1.243364180699783467e-01 9.064170171147288568e-02 1.638053789377252878e-02
2.457213868034803252e-154 -3.565139415081123389e+02 3.065542790774772985e+00 9.957191729167372829e-01 6.100522400878156049e+01 2.255543393589075005e-02 1.283166568092867776e-01 5.840552686418309936e-03 2.456042519926536494e-02
4.023214725168030113e-153 -3.537158032833138464e+02 2.936800145881230062e+00 9.904113441441982912e-01 6.047209523163844125e+01 2.259470946684116396e-02 1.130748628481394735e-01 7.050252199716680601e-02 5.161890613921174542e-02
4.419612028576992519e-153 -3.536193326333494156e+02 2.948021916585255919e+00 9.332717220222426224e-01 7.849333954968005855e+01 2.230548278889184569e-02 1.223213820547370406e-01 2.479426290644962810e-02 1.029903156880973385e-02
