12:32:55 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=False, log_dir=cpl_output/cpl_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
12:32:56 [ultranest] [INFO] Sampling 400 live points from prior ...
12:33:09 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
12:33:09 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
12:33:09 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
12:33:14 [ultranest] [DEBUG] iteration=129, ncalls=558, regioncalls=6320, ndraw=40, logz=-1351.95, remainder_fraction=100.0000%, Lmin=-1345.28, Lmax=-6.47
12:33:14 [ultranest] [DEBUG] iteration=132, ncalls=562, regioncalls=6480, ndraw=40, logz=-1335.38, remainder_fraction=100.0000%, Lmin=-1319.27, Lmax=-6.47
12:33:14 [ultranest] [DEBUG] iteration=135, ncalls=566, regioncalls=6640, ndraw=40, logz=-1314.64, remainder_fraction=100.0000%, Lmin=-1302.63, Lmax=-6.47
12:33:14 [ultranest] [DEBUG] iteration=137, ncalls=571, regioncalls=6840, ndraw=40, logz=-1302.23, remainder_fraction=100.0000%, Lmin=-1289.02, Lmax=-6.47
12:33:14 [ultranest] [DEBUG] iteration=140, ncalls=575, regioncalls=7000, ndraw=40, logz=-1288.10, remainder_fraction=100.0000%, Lmin=-1280.30, Lmax=-6.47
12:33:15 [ultranest] [DEBUG] iteration=144, ncalls=579, regioncalls=7160, ndraw=40, logz=-1260.27, remainder_fraction=100.0000%, Lmin=-1250.09, Lmax=-6.47
12:33:15 [ultranest] [DEBUG] iteration=147, ncalls=583, regioncalls=7320, ndraw=40, logz=-1240.33, remainder_fraction=100.0000%, Lmin=-1231.63, Lmax=-6.47
12:33:15 [ultranest] [DEBUG] iteration=151, ncalls=588, regioncalls=7520, ndraw=40, logz=-1212.95, remainder_fraction=100.0000%, Lmin=-1206.42, Lmax=-6.47
12:33:15 [ultranest] [DEBUG] iteration=154, ncalls=595, regioncalls=7800, ndraw=40, logz=-1203.98, remainder_fraction=100.0000%, Lmin=-1193.67, Lmax=-6.47
12:33:15 [ultranest] [DEBUG] iteration=157, ncalls=599, regioncalls=7960, ndraw=40, logz=-1187.26, remainder_fraction=100.0000%, Lmin=-1179.95, Lmax=-6.47
12:33:15 [ultranest] [DEBUG] iteration=159, ncalls=603, regioncalls=8120, ndraw=40, logz=-1182.96, remainder_fraction=100.0000%, Lmin=-1168.30, Lmax=-6.47
12:33:15 [ultranest] [DEBUG] iteration=160, ncalls=604, regioncalls=8160, ndraw=40, logz=-1174.69, remainder_fraction=100.0000%, Lmin=-1159.33, Lmax=-6.47
12:33:15 [ultranest] [DEBUG] iteration=162, ncalls=608, regioncalls=8320, ndraw=40, logz=-1163.62, remainder_fraction=100.0000%, Lmin=-1155.23, Lmax=-6.47
12:33:16 [ultranest] [DEBUG] iteration=164, ncalls=613, regioncalls=8520, ndraw=40, logz=-1160.75, remainder_fraction=100.0000%, Lmin=-1148.98, Lmax=-6.47
12:33:16 [ultranest] [DEBUG] iteration=167, ncalls=617, regioncalls=8680, ndraw=40, logz=-1145.41, remainder_fraction=100.0000%, Lmin=-1133.46, Lmax=-6.47
12:33:16 [ultranest] [DEBUG] iteration=169, ncalls=621, regioncalls=8840, ndraw=40, logz=-1139.17, remainder_fraction=100.0000%, Lmin=-1133.07, Lmax=-6.47
12:33:16 [ultranest] [DEBUG] iteration=172, ncalls=624, regioncalls=8960, ndraw=40, logz=-1118.46, remainder_fraction=100.0000%, Lmin=-1109.37, Lmax=-6.47
12:33:16 [ultranest] [DEBUG] iteration=175, ncalls=628, regioncalls=9120, ndraw=40, logz=-1106.11, remainder_fraction=100.0000%, Lmin=-1092.28, Lmax=-6.47
12:33:16 [ultranest] [DEBUG] iteration=178, ncalls=632, regioncalls=9280, ndraw=40, logz=-1091.46, remainder_fraction=100.0000%, Lmin=-1084.32, Lmax=-6.47
12:33:16 [ultranest] [DEBUG] iteration=180, ncalls=634, regioncalls=9360, ndraw=40, logz=-1088.61, remainder_fraction=100.0000%, Lmin=-1082.30, Lmax=-6.47
12:33:16 [ultranest] [DEBUG] iteration=182, ncalls=637, regioncalls=9480, ndraw=40, logz=-1087.54, remainder_fraction=100.0000%, Lmin=-1080.99, Lmax=-6.47
12:33:17 [ultranest] [DEBUG] iteration=184, ncalls=640, regioncalls=9600, ndraw=40, logz=-1074.09, remainder_fraction=100.0000%, Lmin=-1056.96, Lmax=-6.47
12:33:17 [ultranest] [DEBUG] iteration=186, ncalls=645, regioncalls=9800, ndraw=40, logz=-1047.53, remainder_fraction=100.0000%, Lmin=-1039.80, Lmax=-6.47
12:33:17 [ultranest] [DEBUG] iteration=188, ncalls=649, regioncalls=9960, ndraw=40, logz=-1036.22, remainder_fraction=100.0000%, Lmin=-1028.14, Lmax=-6.47
12:33:17 [ultranest] [DEBUG] iteration=191, ncalls=653, regioncalls=10120, ndraw=40, logz=-1029.41, remainder_fraction=100.0000%, Lmin=-1021.21, Lmax=-6.47
12:33:17 [ultranest] [DEBUG] iteration=193, ncalls=657, regioncalls=10280, ndraw=40, logz=-1024.71, remainder_fraction=100.0000%, Lmin=-1012.71, Lmax=-6.47
12:33:17 [ultranest] [DEBUG] iteration=197, ncalls=661, regioncalls=10440, ndraw=40, logz=-999.45, remainder_fraction=100.0000%, Lmin=-991.45, Lmax=-6.47
12:33:17 [ultranest] [DEBUG] iteration=200, ncalls=665, regioncalls=10600, ndraw=40, logz=-993.19, remainder_fraction=100.0000%, Lmin=-984.95, Lmax=-6.47
12:33:18 [ultranest] [DEBUG] iteration=203, ncalls=670, regioncalls=10800, ndraw=40, logz=-982.17, remainder_fraction=100.0000%, Lmin=-970.82, Lmax=-6.47
12:33:18 [ultranest] [DEBUG] iteration=205, ncalls=674, regioncalls=10960, ndraw=40, logz=-973.47, remainder_fraction=100.0000%, Lmin=-965.28, Lmax=-6.47
12:33:18 [ultranest] [DEBUG] iteration=207, ncalls=678, regioncalls=11120, ndraw=40, logz=-970.45, remainder_fraction=100.0000%, Lmin=-961.15, Lmax=-6.47
12:33:18 [ultranest] [DEBUG] iteration=209, ncalls=682, regioncalls=11280, ndraw=40, logz=-958.84, remainder_fraction=100.0000%, Lmin=-948.39, Lmax=-6.47
12:33:18 [ultranest] [DEBUG] iteration=210, ncalls=687, regioncalls=11480, ndraw=40, logz=-954.88, remainder_fraction=100.0000%, Lmin=-948.09, Lmax=-6.47
12:33:18 [ultranest] [DEBUG] iteration=212, ncalls=693, regioncalls=11720, ndraw=40, logz=-953.31, remainder_fraction=100.0000%, Lmin=-943.87, Lmax=-6.47
12:33:18 [ultranest] [DEBUG] iteration=214, ncalls=697, regioncalls=11880, ndraw=40, logz=-934.23, remainder_fraction=100.0000%, Lmin=-925.31, Lmax=-6.05
12:33:19 [ultranest] [DEBUG] iteration=216, ncalls=704, regioncalls=12160, ndraw=40, logz=-929.34, remainder_fraction=100.0000%, Lmin=-917.52, Lmax=-6.05
12:33:19 [ultranest] [DEBUG] iteration=220, ncalls=708, regioncalls=12320, ndraw=40, logz=-918.26, remainder_fraction=100.0000%, Lmin=-902.59, Lmax=-6.05
12:33:19 [ultranest] [DEBUG] iteration=223, ncalls=713, regioncalls=12520, ndraw=40, logz=-903.81, remainder_fraction=100.0000%, Lmin=-896.55, Lmax=-6.05
12:33:19 [ultranest] [DEBUG] iteration=226, ncalls=717, regioncalls=12680, ndraw=40, logz=-898.52, remainder_fraction=100.0000%, Lmin=-870.25, Lmax=-6.05
12:33:19 [ultranest] [DEBUG] iteration=230, ncalls=721, regioncalls=12840, ndraw=40, logz=-860.47, remainder_fraction=100.0000%, Lmin=-846.80, Lmax=-6.05
12:33:19 [ultranest] [DEBUG] iteration=232, ncalls=728, regioncalls=13120, ndraw=40, logz=-841.10, remainder_fraction=100.0000%, Lmin=-834.42, Lmax=-6.05
12:33:20 [ultranest] [DEBUG] iteration=236, ncalls=732, regioncalls=13280, ndraw=40, logz=-829.34, remainder_fraction=100.0000%, Lmin=-813.80, Lmax=-6.05
12:33:20 [ultranest] [DEBUG] iteration=239, ncalls=736, regioncalls=13440, ndraw=40, logz=-801.27, remainder_fraction=100.0000%, Lmin=-791.74, Lmax=-6.05
12:33:20 [ultranest] [DEBUG] iteration=240, ncalls=738, regioncalls=13520, ndraw=40, logz=-798.28, remainder_fraction=100.0000%, Lmin=-788.75, Lmax=-6.05
12:33:20 [ultranest] [DEBUG] iteration=243, ncalls=743, regioncalls=13720, ndraw=40, logz=-793.41, remainder_fraction=100.0000%, Lmin=-787.49, Lmax=-6.05
12:33:20 [ultranest] [DEBUG] iteration=247, ncalls=747, regioncalls=13880, ndraw=40, logz=-788.14, remainder_fraction=100.0000%, Lmin=-780.91, Lmax=-6.05
12:33:20 [ultranest] [DEBUG] iteration=251, ncalls=751, regioncalls=14040, ndraw=40, logz=-767.87, remainder_fraction=100.0000%, Lmin=-758.12, Lmax=-6.05
12:33:20 [ultranest] [DEBUG] iteration=254, ncalls=757, regioncalls=14280, ndraw=40, logz=-760.26, remainder_fraction=100.0000%, Lmin=-750.72, Lmax=-5.81
12:33:21 [ultranest] [DEBUG] iteration=257, ncalls=762, regioncalls=14480, ndraw=40, logz=-748.76, remainder_fraction=100.0000%, Lmin=-739.72, Lmax=-5.81
12:33:21 [ultranest] [DEBUG] iteration=259, ncalls=766, regioncalls=14640, ndraw=40, logz=-743.68, remainder_fraction=100.0000%, Lmin=-733.01, Lmax=-5.81
12:33:21 [ultranest] [DEBUG] iteration=263, ncalls=771, regioncalls=14840, ndraw=40, logz=-728.24, remainder_fraction=100.0000%, Lmin=-720.91, Lmax=-5.81
12:33:21 [ultranest] [DEBUG] iteration=266, ncalls=775, regioncalls=15000, ndraw=40, logz=-724.32, remainder_fraction=100.0000%, Lmin=-718.21, Lmax=-5.81
12:33:21 [ultranest] [DEBUG] iteration=269, ncalls=780, regioncalls=15200, ndraw=40, logz=-721.55, remainder_fraction=100.0000%, Lmin=-711.39, Lmax=-5.81
12:33:21 [ultranest] [DEBUG] iteration=271, ncalls=783, regioncalls=15320, ndraw=40, logz=-707.10, remainder_fraction=100.0000%, Lmin=-697.15, Lmax=-5.81
12:33:21 [ultranest] [DEBUG] iteration=273, ncalls=787, regioncalls=15480, ndraw=40, logz=-691.90, remainder_fraction=100.0000%, Lmin=-683.33, Lmax=-5.81
12:33:22 [ultranest] [DEBUG] iteration=277, ncalls=792, regioncalls=15680, ndraw=40, logz=-682.88, remainder_fraction=100.0000%, Lmin=-674.20, Lmax=-5.81
12:33:22 [ultranest] [DEBUG] iteration=278, ncalls=798, regioncalls=15920, ndraw=40, logz=-680.76, remainder_fraction=100.0000%, Lmin=-669.61, Lmax=-5.81
12:33:22 [ultranest] [DEBUG] iteration=279, ncalls=803, regioncalls=16120, ndraw=40, logz=-676.28, remainder_fraction=100.0000%, Lmin=-664.25, Lmax=-5.81
12:33:22 [ultranest] [DEBUG] iteration=280, ncalls=804, regioncalls=16160, ndraw=40, logz=-670.93, remainder_fraction=100.0000%, Lmin=-663.80, Lmax=-5.81
12:33:22 [ultranest] [DEBUG] iteration=284, ncalls=809, regioncalls=16360, ndraw=40, logz=-646.34, remainder_fraction=100.0000%, Lmin=-624.25, Lmax=-5.81
12:33:22 [ultranest] [DEBUG] iteration=285, ncalls=813, regioncalls=16520, ndraw=40, logz=-630.95, remainder_fraction=100.0000%, Lmin=-624.05, Lmax=-5.81
12:33:22 [ultranest] [DEBUG] iteration=288, ncalls=819, regioncalls=16760, ndraw=40, logz=-628.11, remainder_fraction=100.0000%, Lmin=-621.78, Lmax=-5.81
12:33:23 [ultranest] [DEBUG] iteration=291, ncalls=824, regioncalls=16960, ndraw=40, logz=-626.67, remainder_fraction=100.0000%, Lmin=-616.31, Lmax=-5.81
12:33:23 [ultranest] [DEBUG] iteration=294, ncalls=828, regioncalls=17120, ndraw=40, logz=-613.74, remainder_fraction=100.0000%, Lmin=-606.42, Lmax=-5.81
12:33:23 [ultranest] [DEBUG] iteration=297, ncalls=832, regioncalls=17280, ndraw=40, logz=-611.17, remainder_fraction=100.0000%, Lmin=-604.02, Lmax=-5.81
12:33:23 [ultranest] [DEBUG] iteration=299, ncalls=837, regioncalls=17480, ndraw=40, logz=-609.39, remainder_fraction=100.0000%, Lmin=-601.49, Lmax=-5.81
12:33:23 [ultranest] [DEBUG] iteration=301, ncalls=841, regioncalls=17640, ndraw=40, logz=-607.25, remainder_fraction=100.0000%, Lmin=-599.80, Lmax=-5.81
12:33:23 [ultranest] [DEBUG] iteration=304, ncalls=847, regioncalls=17880, ndraw=40, logz=-600.80, remainder_fraction=100.0000%, Lmin=-590.41, Lmax=-5.81
12:33:24 [ultranest] [DEBUG] iteration=307, ncalls=854, regioncalls=18160, ndraw=40, logz=-590.51, remainder_fraction=100.0000%, Lmin=-579.51, Lmax=-5.81
12:33:24 [ultranest] [DEBUG] iteration=309, ncalls=858, regioncalls=18320, ndraw=40, logz=-585.50, remainder_fraction=100.0000%, Lmin=-576.91, Lmax=-5.81
12:33:24 [ultranest] [DEBUG] iteration=312, ncalls=861, regioncalls=18440, ndraw=40, logz=-577.97, remainder_fraction=100.0000%, Lmin=-570.94, Lmax=-5.81
12:33:24 [ultranest] [DEBUG] iteration=315, ncalls=865, regioncalls=18600, ndraw=40, logz=-572.74, remainder_fraction=100.0000%, Lmin=-562.85, Lmax=-5.81
12:33:24 [ultranest] [DEBUG] iteration=317, ncalls=869, regioncalls=18760, ndraw=40, logz=-568.49, remainder_fraction=100.0000%, Lmin=-559.46, Lmax=-5.81
12:33:24 [ultranest] [DEBUG] iteration=320, ncalls=873, regioncalls=18920, ndraw=40, logz=-560.50, remainder_fraction=100.0000%, Lmin=-552.16, Lmax=-5.81
12:33:24 [ultranest] [DEBUG] iteration=323, ncalls=877, regioncalls=19080, ndraw=40, logz=-553.81, remainder_fraction=100.0000%, Lmin=-544.37, Lmax=-5.81
12:33:24 [ultranest] [DEBUG] iteration=326, ncalls=881, regioncalls=19240, ndraw=40, logz=-549.02, remainder_fraction=100.0000%, Lmin=-542.24, Lmax=-5.81
12:33:25 [ultranest] [DEBUG] iteration=328, ncalls=885, regioncalls=19400, ndraw=40, logz=-540.93, remainder_fraction=100.0000%, Lmin=-532.34, Lmax=-5.81
12:33:25 [ultranest] [DEBUG] iteration=331, ncalls=889, regioncalls=19560, ndraw=40, logz=-536.95, remainder_fraction=100.0000%, Lmin=-529.15, Lmax=-5.81
12:33:25 [ultranest] [DEBUG] iteration=332, ncalls=893, regioncalls=19720, ndraw=40, logz=-535.65, remainder_fraction=100.0000%, Lmin=-527.48, Lmax=-5.81
12:33:25 [ultranest] [DEBUG] iteration=335, ncalls=897, regioncalls=19880, ndraw=40, logz=-532.73, remainder_fraction=100.0000%, Lmin=-526.11, Lmax=-5.81
12:33:25 [ultranest] [DEBUG] iteration=339, ncalls=902, regioncalls=20080, ndraw=40, logz=-528.76, remainder_fraction=100.0000%, Lmin=-521.58, Lmax=-5.81
12:33:25 [ultranest] [DEBUG] iteration=341, ncalls=906, regioncalls=20240, ndraw=40, logz=-527.01, remainder_fraction=100.0000%, Lmin=-518.96, Lmax=-5.81
12:33:25 [ultranest] [DEBUG] iteration=345, ncalls=910, regioncalls=20400, ndraw=40, logz=-509.06, remainder_fraction=100.0000%, Lmin=-500.08, Lmax=-5.81
12:33:25 [ultranest] [DEBUG] iteration=349, ncalls=914, regioncalls=20560, ndraw=40, logz=-499.47, remainder_fraction=100.0000%, Lmin=-492.37, Lmax=-5.81
12:33:26 [ultranest] [DEBUG] iteration=352, ncalls=918, regioncalls=20720, ndraw=40, logz=-494.62, remainder_fraction=100.0000%, Lmin=-487.83, Lmax=-5.81
12:33:26 [ultranest] [DEBUG] iteration=354, ncalls=922, regioncalls=20880, ndraw=40, logz=-492.98, remainder_fraction=100.0000%, Lmin=-484.21, Lmax=-5.81
12:33:26 [ultranest] [DEBUG] iteration=356, ncalls=929, regioncalls=21160, ndraw=40, logz=-489.57, remainder_fraction=100.0000%, Lmin=-478.46, Lmax=-5.81
12:33:26 [ultranest] [DEBUG] iteration=358, ncalls=933, regioncalls=21320, ndraw=40, logz=-484.33, remainder_fraction=100.0000%, Lmin=-474.11, Lmax=-5.81
12:33:26 [ultranest] [DEBUG] iteration=359, ncalls=937, regioncalls=21480, ndraw=40, logz=-480.96, remainder_fraction=100.0000%, Lmin=-473.64, Lmax=-5.81
12:33:26 [ultranest] [DEBUG] iteration=360, ncalls=938, regioncalls=21520, ndraw=40, logz=-480.03, remainder_fraction=100.0000%, Lmin=-473.41, Lmax=-5.81
12:33:26 [ultranest] [DEBUG] iteration=362, ncalls=942, regioncalls=21680, ndraw=40, logz=-476.97, remainder_fraction=100.0000%, Lmin=-466.35, Lmax=-5.81
