12:32:55 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=False, log_dir=cpl_output/cpl_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
12:32:56 [ultranest] [INFO] Sampling 400 live points from prior ...
12:33:09 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
12:33:09 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
12:33:09 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
12:33:12 [ultranest] [DEBUG] iteration=84, ncalls=496, regioncalls=3840, ndraw=40, logz=-1792.24, remainder_fraction=100.0000%, Lmin=-1782.58, Lmax=-6.47
12:33:12 [ultranest] [DEBUG] iteration=88, ncalls=500, regioncalls=4000, ndraw=40, logz=-1749.47, remainder_fraction=100.0000%, Lmin=-1709.65, Lmax=-6.47
12:33:12 [ultranest] [DEBUG] iteration=91, ncalls=503, regioncalls=4120, ndraw=40, logz=-1699.78, remainder_fraction=100.0000%, Lmin=-1685.92, Lmax=-6.47
12:33:12 [ultranest] [DEBUG] iteration=93, ncalls=507, regioncalls=4280, ndraw=40, logz=-1687.44, remainder_fraction=100.0000%, Lmin=-1667.79, Lmax=-6.47
12:33:12 [ultranest] [DEBUG] iteration=96, ncalls=510, regioncalls=4400, ndraw=40, logz=-1655.19, remainder_fraction=100.0000%, Lmin=-1625.65, Lmax=-6.47
12:33:12 [ultranest] [DEBUG] iteration=99, ncalls=514, regioncalls=4560, ndraw=40, logz=-1625.13, remainder_fraction=100.0000%, Lmin=-1618.09, Lmax=-6.47
12:33:13 [ultranest] [DEBUG] iteration=102, ncalls=518, regioncalls=4720, ndraw=40, logz=-1606.88, remainder_fraction=100.0000%, Lmin=-1593.92, Lmax=-6.47
12:33:13 [ultranest] [DEBUG] iteration=106, ncalls=523, regioncalls=4920, ndraw=40, logz=-1571.28, remainder_fraction=100.0000%, Lmin=-1562.63, Lmax=-6.47
12:33:13 [ultranest] [DEBUG] iteration=108, ncalls=527, regioncalls=5080, ndraw=40, logz=-1562.75, remainder_fraction=100.0000%, Lmin=-1552.99, Lmax=-6.47
12:33:13 [ultranest] [DEBUG] iteration=111, ncalls=530, regioncalls=5200, ndraw=40, logz=-1539.38, remainder_fraction=100.0000%, Lmin=-1531.66, Lmax=-6.47
12:33:13 [ultranest] [DEBUG] iteration=114, ncalls=533, regioncalls=5320, ndraw=40, logz=-1516.22, remainder_fraction=100.0000%, Lmin=-1497.24, Lmax=-6.47
12:33:13 [ultranest] [DEBUG] iteration=116, ncalls=537, regioncalls=5480, ndraw=40, logz=-1501.07, remainder_fraction=100.0000%, Lmin=-1484.45, Lmax=-6.47
12:33:13 [ultranest] [DEBUG] iteration=119, ncalls=543, regioncalls=5720, ndraw=40, logz=-1430.38, remainder_fraction=100.0000%, Lmin=-1422.61, Lmax=-6.47
12:33:13 [ultranest] [DEBUG] iteration=120, ncalls=544, regioncalls=5760, ndraw=40, logz=-1428.69, remainder_fraction=100.0000%, Lmin=-1419.57, Lmax=-6.47
12:33:14 [ultranest] [DEBUG] iteration=122, ncalls=548, regioncalls=5920, ndraw=40, logz=-1424.45, remainder_fraction=100.0000%, Lmin=-1415.78, Lmax=-6.47
12:33:14 [ultranest] [DEBUG] iteration=125, ncalls=552, regioncalls=6080, ndraw=40, logz=-1401.46, remainder_fraction=100.0000%, Lmin=-1374.50, Lmax=-6.47
