11:09:35 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=False, log_dir=ede_output/ede_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:09:36 [ultranest] [INFO] Sampling 400 live points from prior ...
11:09:48 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
11:09:48 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:09:48 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
11:09:52 [ultranest] [DEBUG] iteration=96, ncalls=519, regioncalls=4760, ndraw=40, logz=-1852.27, remainder_fraction=100.0000%, Lmin=-1845.81, Lmax=-8.12
11:09:52 [ultranest] [DEBUG] iteration=99, ncalls=524, regioncalls=4960, ndraw=40, logz=-1787.51, remainder_fraction=100.0000%, Lmin=-1771.30, Lmax=-8.12
11:09:53 [ultranest] [DEBUG] iteration=101, ncalls=528, regioncalls=5120, ndraw=40, logz=-1773.77, remainder_fraction=100.0000%, Lmin=-1764.05, Lmax=-8.12
11:09:53 [ultranest] [DEBUG] iteration=105, ncalls=532, regioncalls=5280, ndraw=40, logz=-1762.07, remainder_fraction=100.0000%, Lmin=-1744.33, Lmax=-6.78
11:09:53 [ultranest] [DEBUG] iteration=108, ncalls=536, regioncalls=5440, ndraw=40, logz=-1719.65, remainder_fraction=100.0000%, Lmin=-1706.23, Lmax=-6.78
11:09:53 [ultranest] [DEBUG] iteration=111, ncalls=541, regioncalls=5640, ndraw=40, logz=-1690.97, remainder_fraction=100.0000%, Lmin=-1656.64, Lmax=-6.78
11:09:53 [ultranest] [DEBUG] iteration=114, ncalls=546, regioncalls=5840, ndraw=40, logz=-1659.13, remainder_fraction=100.0000%, Lmin=-1652.08, Lmax=-6.78
11:09:53 [ultranest] [DEBUG] iteration=117, ncalls=550, regioncalls=6000, ndraw=40, logz=-1652.96, remainder_fraction=100.0000%, Lmin=-1644.13, Lmax=-6.78
11:09:53 [ultranest] [DEBUG] iteration=120, ncalls=554, regioncalls=6160, ndraw=40, logz=-1628.47, remainder_fraction=100.0000%, Lmin=-1617.16, Lmax=-6.78
11:09:54 [ultranest] [DEBUG] iteration=124, ncalls=560, regioncalls=6400, ndraw=40, logz=-1586.53, remainder_fraction=100.0000%, Lmin=-1569.02, Lmax=-6.78
11:09:54 [ultranest] [DEBUG] iteration=126, ncalls=564, regioncalls=6560, ndraw=40, logz=-1568.91, remainder_fraction=100.0000%, Lmin=-1551.73, Lmax=-6.78
11:09:54 [ultranest] [DEBUG] iteration=128, ncalls=568, regioncalls=6720, ndraw=40, logz=-1551.08, remainder_fraction=100.0000%, Lmin=-1533.26, Lmax=-6.78
11:09:54 [ultranest] [DEBUG] iteration=131, ncalls=572, regioncalls=6880, ndraw=40, logz=-1538.13, remainder_fraction=100.0000%, Lmin=-1532.34, Lmax=-6.78
11:09:54 [ultranest] [DEBUG] iteration=134, ncalls=576, regioncalls=7040, ndraw=40, logz=-1533.44, remainder_fraction=100.0000%, Lmin=-1524.79, Lmax=-6.78
11:09:54 [ultranest] [DEBUG] iteration=138, ncalls=580, regioncalls=7200, ndraw=40, logz=-1511.39, remainder_fraction=100.0000%, Lmin=-1493.58, Lmax=-6.78
11:09:54 [ultranest] [DEBUG] iteration=141, ncalls=584, regioncalls=7360, ndraw=40, logz=-1482.88, remainder_fraction=100.0000%, Lmin=-1476.17, Lmax=-6.78
11:09:55 [ultranest] [DEBUG] iteration=144, ncalls=588, regioncalls=7520, ndraw=40, logz=-1472.54, remainder_fraction=100.0000%, Lmin=-1465.91, Lmax=-6.78
11:09:55 [ultranest] [DEBUG] iteration=146, ncalls=593, regioncalls=7720, ndraw=40, logz=-1462.96, remainder_fraction=100.0000%, Lmin=-1455.63, Lmax=-6.78
11:09:55 [ultranest] [DEBUG] iteration=150, ncalls=597, regioncalls=7880, ndraw=40, logz=-1441.87, remainder_fraction=100.0000%, Lmin=-1433.05, Lmax=-6.78
11:09:55 [ultranest] [DEBUG] iteration=152, ncalls=603, regioncalls=8120, ndraw=40, logz=-1438.41, remainder_fraction=100.0000%, Lmin=-1431.82, Lmax=-6.78
11:09:55 [ultranest] [DEBUG] iteration=154, ncalls=607, regioncalls=8280, ndraw=40, logz=-1414.68, remainder_fraction=100.0000%, Lmin=-1401.54, Lmax=-6.78
11:09:55 [ultranest] [DEBUG] iteration=158, ncalls=611, regioncalls=8440, ndraw=40, logz=-1390.18, remainder_fraction=100.0000%, Lmin=-1380.99, Lmax=-6.78
11:09:55 [ultranest] [DEBUG] iteration=160, ncalls=614, regioncalls=8560, ndraw=40, logz=-1383.76, remainder_fraction=100.0000%, Lmin=-1365.96, Lmax=-6.78
11:09:55 [ultranest] [DEBUG] iteration=163, ncalls=619, regioncalls=8760, ndraw=40, logz=-1347.50, remainder_fraction=100.0000%, Lmin=-1340.42, Lmax=-6.78
11:09:56 [ultranest] [DEBUG] iteration=165, ncalls=625, regioncalls=9000, ndraw=40, logz=-1345.82, remainder_fraction=100.0000%, Lmin=-1331.30, Lmax=-6.78
11:09:56 [ultranest] [DEBUG] iteration=169, ncalls=630, regioncalls=9200, ndraw=40, logz=-1317.94, remainder_fraction=100.0000%, Lmin=-1311.26, Lmax=-6.78
11:09:56 [ultranest] [DEBUG] iteration=172, ncalls=634, regioncalls=9360, ndraw=40, logz=-1311.96, remainder_fraction=100.0000%, Lmin=-1305.02, Lmax=-6.78
11:09:56 [ultranest] [DEBUG] iteration=175, ncalls=638, regioncalls=9520, ndraw=40, logz=-1295.93, remainder_fraction=100.0000%, Lmin=-1273.12, Lmax=-6.78
11:09:56 [ultranest] [DEBUG] iteration=179, ncalls=644, regioncalls=9760, ndraw=40, logz=-1262.59, remainder_fraction=100.0000%, Lmin=-1242.50, Lmax=-6.78
11:09:56 [ultranest] [DEBUG] iteration=181, ncalls=647, regioncalls=9880, ndraw=40, logz=-1238.31, remainder_fraction=100.0000%, Lmin=-1214.43, Lmax=-6.78
11:09:57 [ultranest] [DEBUG] iteration=182, ncalls=650, regioncalls=10000, ndraw=40, logz=-1220.87, remainder_fraction=100.0000%, Lmin=-1211.99, Lmax=-6.78
11:09:57 [ultranest] [DEBUG] iteration=185, ncalls=653, regioncalls=10120, ndraw=40, logz=-1215.14, remainder_fraction=100.0000%, Lmin=-1202.40, Lmax=-6.78
11:09:57 [ultranest] [DEBUG] iteration=187, ncalls=657, regioncalls=10280, ndraw=40, logz=-1205.20, remainder_fraction=100.0000%, Lmin=-1197.74, Lmax=-6.78
11:09:57 [ultranest] [DEBUG] iteration=190, ncalls=661, regioncalls=10440, ndraw=40, logz=-1194.98, remainder_fraction=100.0000%, Lmin=-1184.25, Lmax=-6.78
11:09:57 [ultranest] [DEBUG] iteration=194, ncalls=665, regioncalls=10600, ndraw=40, logz=-1181.68, remainder_fraction=100.0000%, Lmin=-1164.59, Lmax=-6.78
11:09:57 [ultranest] [DEBUG] iteration=196, ncalls=669, regioncalls=10760, ndraw=40, logz=-1162.85, remainder_fraction=100.0000%, Lmin=-1155.47, Lmax=-6.78
11:09:57 [ultranest] [DEBUG] iteration=199, ncalls=675, regioncalls=11000, ndraw=40, logz=-1149.32, remainder_fraction=100.0000%, Lmin=-1141.18, Lmax=-6.78
11:09:57 [ultranest] [DEBUG] iteration=200, ncalls=678, regioncalls=11120, ndraw=40, logz=-1147.49, remainder_fraction=100.0000%, Lmin=-1133.26, Lmax=-5.24
11:09:58 [ultranest] [DEBUG] iteration=203, ncalls=682, regioncalls=11280, ndraw=40, logz=-1128.92, remainder_fraction=100.0000%, Lmin=-1117.37, Lmax=-5.24
11:09:58 [ultranest] [DEBUG] iteration=207, ncalls=686, regioncalls=11440, ndraw=40, logz=-1114.78, remainder_fraction=100.0000%, Lmin=-1096.57, Lmax=-5.24
11:09:58 [ultranest] [DEBUG] iteration=210, ncalls=690, regioncalls=11600, ndraw=40, logz=-1093.93, remainder_fraction=100.0000%, Lmin=-1076.00, Lmax=-5.24
11:09:58 [ultranest] [DEBUG] iteration=213, ncalls=694, regioncalls=11760, ndraw=40, logz=-1074.99, remainder_fraction=100.0000%, Lmin=-1061.42, Lmax=-5.24
11:09:58 [ultranest] [DEBUG] iteration=216, ncalls=699, regioncalls=11960, ndraw=40, logz=-1061.99, remainder_fraction=100.0000%, Lmin=-1054.39, Lmax=-5.24
11:09:58 [ultranest] [DEBUG] iteration=219, ncalls=703, regioncalls=12120, ndraw=40, logz=-1044.83, remainder_fraction=100.0000%, Lmin=-1032.08, Lmax=-5.24
