12:36:09 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=False, log_dir=cpl_output/cpl_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
12:36:09 [ultranest] [INFO] Sampling 400 live points from prior ...
12:36:31 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
12:36:31 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
12:36:31 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
12:36:35 [ultranest] [DEBUG] iteration=63, ncalls=468, regioncalls=2720, ndraw=40, logz=-3110.48, remainder_fraction=100.0000%, Lmin=-3076.84, Lmax=-709.82
12:36:35 [ultranest] [DEBUG] iteration=65, ncalls=470, regioncalls=2800, ndraw=40, logz=-3079.33, remainder_fraction=100.0000%, Lmin=-3050.41, Lmax=-709.82
12:36:35 [ultranest] [DEBUG] iteration=68, ncalls=473, regioncalls=2920, ndraw=40, logz=-3012.17, remainder_fraction=100.0000%, Lmin=-2999.96, Lmax=-709.82
12:36:35 [ultranest] [DEBUG] iteration=70, ncalls=475, regioncalls=3000, ndraw=40, logz=-2991.41, remainder_fraction=100.0000%, Lmin=-2977.32, Lmax=-709.82
12:36:36 [ultranest] [DEBUG] iteration=72, ncalls=477, regioncalls=3080, ndraw=40, logz=-2969.74, remainder_fraction=100.0000%, Lmin=-2957.04, Lmax=-709.82
12:36:36 [ultranest] [DEBUG] iteration=74, ncalls=479, regioncalls=3160, ndraw=40, logz=-2946.53, remainder_fraction=100.0000%, Lmin=-2935.76, Lmax=-709.82
12:36:36 [ultranest] [DEBUG] iteration=76, ncalls=481, regioncalls=3240, ndraw=40, logz=-2930.23, remainder_fraction=100.0000%, Lmin=-2903.46, Lmax=-709.82
12:36:36 [ultranest] [DEBUG] iteration=78, ncalls=483, regioncalls=3320, ndraw=40, logz=-2902.31, remainder_fraction=100.0000%, Lmin=-2879.45, Lmax=-709.82
12:36:36 [ultranest] [DEBUG] iteration=80, ncalls=485, regioncalls=3400, ndraw=40, logz=-2883.02, remainder_fraction=100.0000%, Lmin=-2876.42, Lmax=-709.82
12:36:36 [ultranest] [DEBUG] iteration=82, ncalls=487, regioncalls=3480, ndraw=40, logz=-2848.49, remainder_fraction=100.0000%, Lmin=-2813.37, Lmax=-709.82
12:36:36 [ultranest] [DEBUG] iteration=84, ncalls=489, regioncalls=3560, ndraw=40, logz=-2807.87, remainder_fraction=100.0000%, Lmin=-2777.45, Lmax=-709.82
12:36:36 [ultranest] [DEBUG] iteration=86, ncalls=491, regioncalls=3640, ndraw=40, logz=-2777.19, remainder_fraction=100.0000%, Lmin=-2759.39, Lmax=-709.82
12:36:36 [ultranest] [DEBUG] iteration=88, ncalls=493, regioncalls=3720, ndraw=40, logz=-2751.19, remainder_fraction=100.0000%, Lmin=-2724.79, Lmax=-709.82
12:36:37 [ultranest] [DEBUG] iteration=90, ncalls=495, regioncalls=3800, ndraw=40, logz=-2722.94, remainder_fraction=100.0000%, Lmin=-2709.54, Lmax=-709.82
12:36:37 [ultranest] [DEBUG] iteration=91, ncalls=497, regioncalls=3880, ndraw=40, logz=-2715.75, remainder_fraction=100.0000%, Lmin=-2698.78, Lmax=-709.82
12:36:37 [ultranest] [DEBUG] iteration=92, ncalls=499, regioncalls=3960, ndraw=40, logz=-2705.00, remainder_fraction=100.0000%, Lmin=-2694.04, Lmax=-709.82
