logA n_s H0 omega_b omega_cdm w0_fld wa_fld tau_reio
2.895497456618250531e+00 9.328143489132451061e-01 6.571463901646102101e+01 2.201297813615447560e-02 1.120368828260545901e-01 -9.214987825611049566e-01 1.011229388676704311e-01 3.768001145596593104e-02
3.103843578516318757e+00 9.769522696260362071e-01 6.701530545242322034e+01 2.244154500802784599e-02 1.166004646024209196e-01 -8.984042068294639805e-01 -1.406589916088050174e-01 7.574527275431046369e-02
3.121354123415742254e+00 9.767535406036866874e-01 6.679581967148686772e+01 2.220370376780498103e-02 1.232090588724725488e-01 -7.559991904735792190e-01 -8.252718215744849761e-01 3.340197907454465348e-02
2.800286698691979215e+00 9.858024639922544630e-01 6.614815121473120030e+01 2.259876534609628687e-02 1.156433036973010808e-01 -7.760938224577214051e-01 -6.256258482673544563e-01 1.163006078315718603e-02
2.994980141945061902e+00 9.387346781101391091e-01 6.697678282447350284e+01 2.207391726436645427e-02 1.172361856456765189e-01 -8.133788752763086993e-01 -5.980091498447894782e-01 2.286920223431705354e-02
3.090981705148528658e+00 9.748373877769934692e-01 6.619547345090207102e+01 2.203211593786713954e-02 1.101537477041070051e-01 -8.878613308125249404e-01 -1.231274717662269591e-01 4.788403985437487964e-02
2.942853012241195998e+00 9.972583159590051594e-01 6.707522839778656021e+01 2.236559794398439507e-02 1.122357469752224002e-01 -9.896354474136503931e-01 2.393097884792609875e-01 6.065255942318183158e-02
3.110810569472727494e+00 9.267660883384559733e-01 6.687286732242381504e+01 2.222228723593729777e-02 1.128455304492480687e-01 -9.134295356754442707e-01 -1.791085902490385795e-01 3.238407158232190636e-02
2.938489985412805261e+00 9.507965665446034276e-01 6.815025381206761779e+01 2.208315860526512131e-02 1.266341632565363973e-01 -8.768839709148030792e-01 -5.142748630837288282e-01 6.242565984575963040e-02
3.031627076505899243e+00 9.278338065781273070e-01 6.800193239400243783e+01 2.219471948266282108e-02 1.246519466311526991e-01 -8.221086062332425559e-01 -6.423591025710049252e-01 7.700910239051222961e-02
2.996793713185065045e+00 9.385604126171445127e-01 6.893233438911234146e+01 2.212711625971104309e-02 1.242990707557799085e-01 -8.725138544653447958e-01 -4.766856347921337722e-01 1.867775032610296745e-02
2.951854897482006912e+00 9.754873718682353090e-01 6.767722329695234862e+01 2.240831543809697693e-02 1.126640779392347330e-01 -9.060512181078348437e-01 -2.883775688609970800e-01 2.664101789430838030e-02
2.985071558062472707e+00 9.031655353557485055e-01 6.786945983247166225e+01 2.248220711317469589e-02 1.132985101128825139e-01 -9.511270488458047900e-01 -1.277061699793691218e-02 4.228141624354746220e-02
2.911136647940193445e+00 9.538019756903503010e-01 6.811763527726233747e+01 2.220896262137048854e-02 1.212683277640406038e-01 -8.917876028335336436e-01 -2.725655919323102250e-01 2.832808978866589028e-02
2.818581231014384070e+00 9.341524306430765145e-01 6.711715855572674627e+01 2.246066949120181441e-02 1.143327076357746191e-01 -8.775650137112196436e-01 -3.895438053147941559e-01 2.081148412079748822e-02
2.837902702526901244e+00 9.332150688421753104e-01 6.871598671493637767e+01 2.223660521332270282e-02 1.285066432501342781e-01 -8.425722487026581220e-01 -7.236304239666266902e-01 4.730677430327342309e-02
2.876082913374947925e+00 9.968857689271696243e-01 6.844639774657643727e+01 2.234906976486251973e-02 1.234231611227979281e-01 -8.368775607182441512e-01 -7.684406318199989983e-01 4.427500421021077215e-02
3.173441987711450363e+00 9.454114048555971594e-01 6.653374466831390066e+01 2.236798797433094121e-02 1.117336191904043791e-01 -9.312664662795864245e-01 7.378274532531259311e-02 4.195142260841350917e-02
3.137780261661046843e+00 9.515038892981709795e-01 6.771448100268432313e+01 2.231316834423337225e-02 1.208805236878892631e-01 -7.544172610936470402e-01 -9.472491795708757323e-01 7.423332197438306523e-02
3.024657403960273605e+00 9.269533911435684503e-01 6.737540304806890390e+01 2.247519087823480338e-02 1.196562009294062923e-01 -8.208393329370358149e-01 -6.643403270964820528e-01 5.029353545493166905e-02
3.056035440282915516e+00 9.176572616754936629e-01 6.748101331598940078e+01 2.253426490652386815e-02 1.169030307689177400e-01 -9.274454035523593820e-01 -1.238476559931873666e-01 4.474124955322208302e-02
2.867994968510508613e+00 9.055204035401915874e-01 6.897560645044376315e+01 2.211003413069381057e-02 1.254501110314020784e-01 -9.561252200789356337e-01 -2.449559247646397875e-01 3.375143508672689974e-02
2.948575912382387809e+00 9.524141933658207826e-01 6.516507551483327632e+01 2.207971562505589569e-02 1.130206214959424832e-01 -8.717811069944367830e-01 -4.401418414851887562e-02 3.773666916877044947e-02
3.068926226380906730e+00 9.078799181513020899e-01 6.907587405019145876e+01 2.207214829059242489e-02 1.296789027877889300e-01 -8.306335020729735952e-01 -8.320277766555863597e-01 5.896167192224383014e-02
3.194478586629432293e+00 9.227554603937452304e-01 6.696474998974312598e+01 2.254571150207709471e-02 1.113336962118399720e-01 -8.976822121047991487e-01 -1.309374602279913535e-01 7.462911076863301685e-02
2.952271829712803441e+00 9.499561396621035714e-01 6.884702691998079160e+01 2.219643534249905736e-02 1.246485677064599340e-01 -8.359305675981181238e-01 -7.202545497495393967e-01 3.796954198758857590e-02
2.863429507882259806e+00 9.945770071002191237e-01 6.814914900608377479e+01 2.258066807530290446e-02 1.193001263121476890e-01 -9.869178441537540536e-01 1.764983780066442520e-01 4.894018602122685024e-02
3.141712397103618937e+00 9.067934962439067048e-01 6.814998723465876651e+01 2.250351299778866401e-02 1.183851494582479902e-01 -9.265268783940714403e-01 -1.580048229937407456e-01 5.984182506075816366e-02
3.024657403960273605e+00 9.269533911435684503e-01 6.737540304806890390e+01 2.247519087823480338e-02 1.196562009294062923e-01 -8.208393329370358149e-01 -6.643403270964820528e-01 5.029353545493166905e-02
2.879154624797111595e+00 9.248814772754603286e-01 6.760840603228604095e+01 2.227267114042239676e-02 1.208279781672231823e-01 -8.771785078134399782e-01 -3.278448334865760039e-01 3.070383227818856281e-02
3.166394383672741952e+00 9.213425504737751126e-01 6.642024885568986292e+01 2.256213068758397208e-02 1.162021618232381426e-01 -8.199081518627862053e-01 -3.752468797634913589e-01 2.937464551708907079e-02
2.839322546744364129e+00 9.779800591751908190e-01 6.793638754856245043e+01 2.244263438898520119e-02 1.155422325664636068e-01 -9.127676380110778531e-01 -3.134146472291425845e-01 7.964922196493481876e-02
3.177225972229373863e+00 9.103145132249221838e-01 6.769000709100856739e+01 2.217726856194346743e-02 1.135577653446655511e-01 -9.663567131396872956e-01 -3.123953283501457179e-05 6.879592582882160245e-02
2.971404476488524793e+00 9.658909186935176194e-01 6.752374721967441928e+01 2.234264680445731052e-02 1.142490827246510771e-01 -8.843142954143918821e-01 -2.333556856282241743e-01 1.949589239779146721e-02
3.189039933576676589e+00 9.454072187425900387e-01 6.803246090988790229e+01 2.210470686089638370e-02 1.229273873636053394e-01 -9.109426936247277951e-01 -3.321924788096706216e-01 6.702695874049832692e-02
2.936171743639756304e+00 9.004521162682110891e-01 6.749327080182602856e+01 2.258709882385685069e-02 1.202887978124635021e-01 -8.313908217702858927e-01 -4.663056572839945346e-01 7.247666153528159461e-02
3.199222051877139261e+00 9.911143594031833759e-01 6.917545220302785935e+01 2.259010496829033307e-02 1.244569603204688929e-01 -9.494064910450861206e-01 -3.961160746632561569e-01 3.894714124063032579e-02
2.938344204455278330e+00 9.674656703547811487e-01 6.814084797277112671e+01 2.229619698729030930e-02 1.232851532062292643e-01 -8.871398082194104084e-01 -5.169487037739699531e-01 6.094991082659872300e-02
2.893492240899476986e+00 9.796863960807685734e-01 6.819959732432830890e+01 2.211599919653724558e-02 1.291133686858484952e-01 -8.308323057468114392e-01 -5.848877394752762804e-01 7.156006946860703211e-02
3.155133690214904085e+00 9.433940403430436383e-01 6.651859448168323752e+01 2.233219420676524000e-02 1.105905148078129840e-01 -9.012912886060622242e-01 -1.237562714178523926e-01 4.316530984191756237e-02
3.059781198154968074e+00 9.886637583000402740e-01 6.869144785648060747e+01 2.255629399153284004e-02 1.281439463848505489e-01 -9.190405286432812293e-01 -3.502425597545684166e-01 2.282370673833836183e-02
2.867958554323285725e+00 9.645020883049626459e-01 6.760867778572773545e+01 2.213974918057863908e-02 1.173101159887582207e-01 -9.531389045189826437e-01 -3.308311376572148355e-02 4.050059856608684283e-02
3.086948437567435644e+00 9.487259218251511417e-01 6.917196074144312945e+01 2.248481931583487178e-02 1.254461174509333143e-01 -8.636565585587687721e-01 -5.640242580636907199e-01 3.649521421035695906e-02
3.016853486668591433e+00 9.111048697820606224e-01 6.739861191912345362e+01 2.214479039633995838e-02 1.254748495679081088e-01 -7.659281780415123642e-01 -8.269700770183248117e-01 3.194139581746463508e-02
2.864860236558082640e+00 9.703120795489076356e-01 6.819634343787876674e+01 2.217824156390762330e-02 1.213557146466043429e-01 -9.108817327362834781e-01 -3.464676615524886483e-01 2.051263992297635078e-02
