# logA n_s H0 omega_b omega_cdm m_ncdm tau_reio weight loglikelihood
1.73659600e+00 1.05478930e+00 4.10756456e+01 5.12341811e-02 2.44825661e-01 5.29107772e-01 4.64369547e-01 0.00000000e+00 -1.00000000e+300
3.35294689e+00 9.95210105e-01 8.83762863e+01 6.92554994e-02 7.20807401e-01 1.67897741e+00 7.12357374e-01 0.00000000e+00 -1.00000000e+300
2.75907051e+00 1.12786566e+00 2.05995318e+01 5.91878039e-02 1.54225988e-01 1.60867612e+00 4.10163272e-01 0.00000000e+00 -1.00000000e+300
1.66814525e+00 1.19955319e+00 4.67738260e+01 6.79249978e-02 2.58181096e-01 8.89829403e-01 6.10627272e-01 0.00000000e+00 -1.00000000e+300
2.05435503e+00 1.02883390e+00 6.16834136e+01 8.75845089e-03 7.27615932e-01 1.71078818e+00 7.90513401e-01 0.00000000e+00 -1.00000000e+300
1.90968108e+00 1.16533599e+00 6.73188810e+01 4.78490666e-02 6.69706656e-01 1.03055266e-01 4.32593939e-01 0.00000000e+00 -1.00000000e+300
2.82141202e+00 1.03641169e+00 2.03521724e+01 1.97532159e-02 2.11760111e-01 1.73813473e+00 6.94727371e-01 0.00000000e+00 -1.00000000e+300
2.35657643e+00 1.02313688e+00 7.21922381e+01 8.26759576e-02 1.94400662e-02 1.62839607e+00 5.45644962e-01 0.00000000e+00 -1.00000000e+300
2.86901668e+00 1.00078234e+00 5.65022069e+01 1.06669764e-02 5.31138902e-01 8.68195506e-01 4.09034083e-01 0.00000000e+00 -1.00000000e+300
3.16751997e+00 1.09191452e+00 6.51226504e+01 5.84455588e-02 5.50302889e-01 1.32660694e+00 3.09586383e-01 0.00000000e+00 -1.00000000e+300
3.61398774e+00 8.61889719e-01 8.28650864e+01 8.82229892e-02 7.96662578e-01 1.86191218e+00 7.11217560e-01 0.00000000e+00 -1.00000000e+300
2.18907323e+00 8.51634504e-01 2.02640035e+01 7.59731032e-03 8.16373172e-01 1.91927019e+00 1.95919794e-01 0.00000000e+00 -1.00000000e+300
2.31638649e+00 1.16132758e+00 5.98208775e+01 5.60145858e-02 3.49608970e-01 4.16960677e-01 2.53323832e-01 0.00000000e+00 -1.00000000e+300
3.52407103e+00 1.08517643e+00 2.46065921e+01 5.12969002e-02 2.08044697e-01 4.12918871e-01 3.77743195e-01 0.00000000e+00 -1.00000000e+300
1.66474423e+00 1.01817831e+00 2.68317433e+01 1.90286203e-02 9.04040652e-01 3.73331678e-01 5.37826472e-02 0.00000000e+00 -1.00000000e+300
2.74274829e+00 1.14648738e+00 3.16275338e+01 4.37883861e-02 8.72244334e-01 4.70897707e-01 1.50956961e-01 0.00000000e+00 -1.00000000e+300
1.89061448e+00 1.02740169e+00 6.87587381e+01 6.43995956e-02 8.04931493e-01 1.38443759e+00 6.60786856e-01 0.00000000e+00 -1.00000000e+300
2.54035006e+00 1.15516204e+00 2.68995819e+01 2.97501499e-02 3.86148938e-01 8.49603033e-01 6.05106728e-01 0.00000000e+00 -1.00000000e+300
3.22836481e+00 1.01145431e+00 3.12970357e+01 3.60141732e-02 1.48432590e-01 2.09840413e-01 4.68867617e-01 0.00000000e+00 -1.00000000e+300
3.90032196e+00 1.03798728e+00 3.14875173e+01 7.53355622e-02 7.13668868e-02 1.85456935e+00 1.99937572e-01 0.00000000e+00 -1.00000000e+300
3.60277498e+00 1.04243293e+00 3.05380258e+01 4.65250606e-02 6.19427834e-01 6.65320645e-01 5.93227070e-01 0.00000000e+00 -1.00000000e+300
1.77180801e+00 9.44998423e-01 6.24869680e+01 1.94248671e-02 8.26435876e-01 6.52082078e-01 2.95936260e-01 0.00000000e+00 -1.00000000e+300
3.01342849e+00 1.09078342e+00 9.30147599e+01 4.98794853e-02 3.40350460e-01 4.85634500e-01 1.63328179e-01 0.00000000e+00 -1.00000000e+300
1.70620413e+00 8.86408114e-01 2.46311058e+01 7.24162133e-02 6.79676492e-01 1.83896595e+00 3.00835318e-01 0.00000000e+00 -1.00000000e+300
2.77421671e+00 9.96072158e-01 5.44057834e+01 3.93668269e-02 9.81207595e-01 9.60295896e-01 3.49795825e-01 0.00000000e+00 -1.00000000e+300
2.98172364e+00 1.18260349e+00 6.36526312e+01 9.11949776e-02 3.76556852e-01 1.72382115e+00 8.22288156e-02 0.00000000e+00 -1.00000000e+300
2.68443086e+00 1.00322484e+00 7.85517154e+01 6.67272225e-02 9.63212796e-01 1.44464961e-02 2.30778090e-01 0.00000000e+00 -1.00000000e+300
