11:17:13 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=False, log_dir=ede_output/ede_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:17:13 [ultranest] [INFO] Sampling 400 live points from prior ...
11:17:36 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
11:17:36 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:17:36 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
11:17:39 [ultranest] [DEBUG] iteration=59, ncalls=464, regioncalls=2560, ndraw=40, logz=-3378.81, remainder_fraction=100.0000%, Lmin=-3366.85, Lmax=-712.16
11:17:39 [ultranest] [DEBUG] iteration=62, ncalls=467, regioncalls=2680, ndraw=40, logz=-3355.19, remainder_fraction=100.0000%, Lmin=-3336.58, Lmax=-712.16
11:17:40 [ultranest] [DEBUG] iteration=65, ncalls=470, regioncalls=2800, ndraw=40, logz=-3257.06, remainder_fraction=100.0000%, Lmin=-3237.87, Lmax=-712.16
11:17:40 [ultranest] [DEBUG] iteration=67, ncalls=472, regioncalls=2880, ndraw=40, logz=-3239.00, remainder_fraction=100.0000%, Lmin=-3219.25, Lmax=-712.16
11:17:40 [ultranest] [DEBUG] iteration=69, ncalls=474, regioncalls=2960, ndraw=40, logz=-3177.15, remainder_fraction=100.0000%, Lmin=-3161.20, Lmax=-712.16
11:17:40 [ultranest] [DEBUG] iteration=71, ncalls=477, regioncalls=3080, ndraw=40, logz=-3162.34, remainder_fraction=100.0000%, Lmin=-3116.96, Lmax=-712.16
11:17:40 [ultranest] [DEBUG] iteration=73, ncalls=479, regioncalls=3160, ndraw=40, logz=-3121.33, remainder_fraction=100.0000%, Lmin=-3080.28, Lmax=-712.16
11:17:40 [ultranest] [DEBUG] iteration=75, ncalls=482, regioncalls=3280, ndraw=40, logz=-3084.13, remainder_fraction=100.0000%, Lmin=-3067.73, Lmax=-712.16
11:17:41 [ultranest] [DEBUG] iteration=77, ncalls=485, regioncalls=3400, ndraw=40, logz=-3061.50, remainder_fraction=100.0000%, Lmin=-3049.58, Lmax=-712.16
11:17:41 [ultranest] [DEBUG] iteration=79, ncalls=487, regioncalls=3480, ndraw=40, logz=-3050.95, remainder_fraction=100.0000%, Lmin=-3035.57, Lmax=-712.16
11:17:41 [ultranest] [DEBUG] iteration=80, ncalls=488, regioncalls=3520, ndraw=40, logz=-3041.76, remainder_fraction=100.0000%, Lmin=-3026.72, Lmax=-712.16
11:17:41 [ultranest] [DEBUG] iteration=83, ncalls=491, regioncalls=3640, ndraw=40, logz=-3018.42, remainder_fraction=100.0000%, Lmin=-2997.03, Lmax=-712.16
11:17:41 [ultranest] [DEBUG] iteration=85, ncalls=493, regioncalls=3720, ndraw=40, logz=-2993.94, remainder_fraction=100.0000%, Lmin=-2976.51, Lmax=-712.16
11:17:41 [ultranest] [DEBUG] iteration=87, ncalls=495, regioncalls=3800, ndraw=40, logz=-2979.76, remainder_fraction=100.0000%, Lmin=-2962.60, Lmax=-712.16
