14:49:30 [ultranest] [DEBUG] ReactiveNestedSampler: dims=7+0, resume=False, log_dir=lcdm_output/lcdm_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:49:31 [ultranest] [INFO] Sampling 400 live points from prior ...
14:49:53 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
14:49:53 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
14:49:53 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
14:49:57 [ultranest] [DEBUG] iteration=61, ncalls=473, regioncalls=2920, ndraw=40, logz=-1066.99, remainder_fraction=100.0000%, Lmin=-1061.26, Lmax=-708.36
14:49:57 [ultranest] [DEBUG] iteration=63, ncalls=476, regioncalls=3040, ndraw=40, logz=-1066.04, remainder_fraction=100.0000%, Lmin=-1059.62, Lmax=-708.36
14:49:58 [ultranest] [DEBUG] iteration=65, ncalls=478, regioncalls=3120, ndraw=40, logz=-1063.00, remainder_fraction=100.0000%, Lmin=-1056.88, Lmax=-708.36
14:49:58 [ultranest] [DEBUG] iteration=67, ncalls=480, regioncalls=3200, ndraw=40, logz=-1061.88, remainder_fraction=100.0000%, Lmin=-1050.58, Lmax=-708.36
14:49:58 [ultranest] [DEBUG] iteration=68, ncalls=482, regioncalls=3280, ndraw=40, logz=-1056.73, remainder_fraction=100.0000%, Lmin=-1050.45, Lmax=-708.36
14:49:58 [ultranest] [DEBUG] iteration=70, ncalls=484, regioncalls=3360, ndraw=40, logz=-1055.24, remainder_fraction=100.0000%, Lmin=-1048.88, Lmax=-708.36
14:49:58 [ultranest] [DEBUG] iteration=71, ncalls=486, regioncalls=3440, ndraw=40, logz=-1054.44, remainder_fraction=100.0000%, Lmin=-1048.84, Lmax=-708.36
14:49:58 [ultranest] [DEBUG] iteration=74, ncalls=489, regioncalls=3560, ndraw=40, logz=-1052.82, remainder_fraction=100.0000%, Lmin=-1046.51, Lmax=-708.36
14:49:58 [ultranest] [DEBUG] iteration=75, ncalls=490, regioncalls=3600, ndraw=40, logz=-1052.06, remainder_fraction=100.0000%, Lmin=-1040.69, Lmax=-708.36
14:49:58 [ultranest] [DEBUG] iteration=78, ncalls=493, regioncalls=3720, ndraw=40, logz=-1044.65, remainder_fraction=100.0000%, Lmin=-1037.31, Lmax=-708.36
14:49:59 [ultranest] [DEBUG] iteration=80, ncalls=495, regioncalls=3800, ndraw=40, logz=-1040.45, remainder_fraction=100.0000%, Lmin=-1033.67, Lmax=-708.36
14:49:59 [ultranest] [DEBUG] iteration=82, ncalls=497, regioncalls=3880, ndraw=40, logz=-1038.57, remainder_fraction=100.0000%, Lmin=-1030.76, Lmax=-708.36
14:49:59 [ultranest] [DEBUG] iteration=84, ncalls=500, regioncalls=4000, ndraw=40, logz=-1034.18, remainder_fraction=100.0000%, Lmin=-1027.30, Lmax=-708.36
14:49:59 [ultranest] [DEBUG] iteration=87, ncalls=504, regioncalls=4160, ndraw=40, logz=-1031.45, remainder_fraction=100.0000%, Lmin=-1024.27, Lmax=-708.36
14:49:59 [ultranest] [DEBUG] iteration=89, ncalls=506, regioncalls=4240, ndraw=40, logz=-1027.77, remainder_fraction=100.0000%, Lmin=-1018.92, Lmax=-708.36
14:49:59 [ultranest] [DEBUG] iteration=90, ncalls=507, regioncalls=4280, ndraw=40, logz=-1025.07, remainder_fraction=100.0000%, Lmin=-1017.46, Lmax=-708.36
14:49:59 [ultranest] [DEBUG] iteration=92, ncalls=509, regioncalls=4360, ndraw=40, logz=-1022.39, remainder_fraction=100.0000%, Lmin=-1014.07, Lmax=-708.36
14:49:59 [ultranest] [DEBUG] iteration=94, ncalls=511, regioncalls=4440, ndraw=40, logz=-1018.97, remainder_fraction=100.0000%, Lmin=-1012.64, Lmax=-708.36
14:50:00 [ultranest] [DEBUG] iteration=95, ncalls=513, regioncalls=4520, ndraw=40, logz=-1018.22, remainder_fraction=100.0000%, Lmin=-1011.71, Lmax=-708.36
14:50:00 [ultranest] [DEBUG] iteration=97, ncalls=515, regioncalls=4600, ndraw=40, logz=-1015.34, remainder_fraction=100.0000%, Lmin=-1008.42, Lmax=-708.36
14:50:00 [ultranest] [DEBUG] iteration=99, ncalls=517, regioncalls=4680, ndraw=40, logz=-1013.23, remainder_fraction=100.0000%, Lmin=-1007.13, Lmax=-708.36
