# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345347051603e-02       2.702773599408e+09 
       1.358213575713e-02       2.889270305960e+09 
       1.371083727760e-02       3.085402260380e+09 
       1.383957518639e-02       3.291487845130e+09 
       1.396834961557e-02       3.507834011103e+09 
       1.409716071990e-02       3.734752983181e+09 
       1.422600867652e-02       3.972544136869e+09 
       1.435489368463e-02       4.221508953116e+09 
       1.448381596521e-02       4.481951759005e+09 
       1.461277576080e-02       4.754193583669e+09 
       1.474177333527e-02       5.038521825817e+09 
       1.487080897367e-02       5.335247348766e+09 
       1.499988298201e-02       5.644645302345e+09 
       1.512899568719e-02       5.967047010624e+09 
       1.525814743687e-02       6.302719989836e+09 
       1.538733859939e-02       6.651978204747e+09 
       1.551656956372e-02       7.015075343761e+09 
       1.564584073940e-02       7.392333061355e+09 
       1.577515255657e-02       7.783996792667e+09 
       1.590450546593e-02       8.190382644911e+09 
       1.603389993880e-02       8.611716308937e+09 
       1.616333646718e-02       9.048282553415e+09 
       1.629281556376e-02       9.500347339146e+09 
       1.642233776207e-02       9.968138546732e+09 
       1.655190361655e-02       1.045191633967e+10 
       1.668151370268e-02       1.095198764454e+10 
       1.681116861713e-02       1.146848891508e+10 
       1.694086897792e-02       1.200175387845e+10 
       1.707061542457e-02       1.255186317839e+10 
       1.720040861833e-02       1.311912877178e+10 
       1.733024924236e-02       1.370374019007e+10 
       1.746013800200e-02       1.430592736929e+10 
       1.759007562495e-02       1.492584027895e+10 
       1.772006286159e-02       1.556308934841e+10 
       1.785010048523e-02       1.621962837761e+10 
       1.798018929242e-02       1.689327164988e+10 
       1.811033010322e-02       1.758649940960e+10 
       1.824052376159e-02       1.829708896065e+10 
       1.837077113569e-02       1.902700193367e+10 
       1.850107311825e-02       1.977597964411e+10 
       1.863143062694e-02       2.054417332072e+10 
       1.876184460481e-02       2.133095272429e+10 
       1.889231602063e-02       2.213650110028e+10 
       1.902284586938e-02       2.296234919470e+10 
       1.915343517266e-02       2.380651428164e+10 
       1.928408497917e-02       2.467049924502e+10 
       1.941479636520e-02       2.555399795340e+10 
       1.954557043510e-02       2.645859872872e+10 
       1.967640832185e-02       2.738150586688e+10 
       1.980731118754e-02       2.832405515151e+10 
       1.993828022397e-02       2.928581555780e+10 
       2.006931665321e-02       3.026796625399e+10 
       2.020042172819e-02       3.126957545036e+10 
       2.033159673334e-02       3.229239336926e+10 
       2.046284298520e-02       3.333382742179e+10 
       2.059416183310e-02       3.439496615598e+10 
       2.072555465984e-02       3.547432353253e+10 
       2.085702288238e-02       3.657515404705e+10 
       2.098856795258e-02       3.769639555024e+10 
       2.112019135793e-02       3.883502170154e+10 
       2.125189462236e-02       3.999393264727e+10 
       2.138367930699e-02       4.117269663540e+10 
       2.151554701099e-02       4.237073459569e+10 
       2.164749937244e-02       4.358822160843e+10 
       2.177953806914e-02       4.482503460077e+10 
       2.191166481961e-02       4.608068760523e+10 
       2.204388138394e-02       4.735523799621e+10 
       2.217618956478e-02       4.864859492442e+10 
       2.230859120836e-02       4.996105375480e+10 
       2.244108820548e-02       5.129185411347e+10 
       2.257368249257e-02       5.264099964519e+10 
       2.270637605277e-02       5.400886655059e+10 
       2.283917091708e-02       5.539564490633e+10 
       2.297206916549e-02       5.679847336531e+10 
       2.310507292820e-02       5.822178391721e+10 
       2.323818438680e-02       5.965932623887e+10 
       2.337140577562e-02       6.111602644738e+10 
       2.350473938296e-02       6.258970168894e+10 
       2.363818755247e-02       6.408139274551e+10 
       2.377175268458e-02       6.558891840264e+10 
       2.390543723787e-02       6.711346920994e+10 
       2.403924373063e-02       6.865474428682e+10 
       2.417317474233e-02       7.021171577720e+10 
       2.430723291522e-02       7.178724161868e+10 
       2.444142095598e-02       7.337443759438e+10 
       2.457574163740e-02       7.497851653241e+10 
       2.471019780008e-02       7.660031210106e+10 
       2.484479235430e-02       7.823389945640e+10 
       2.497952828182e-02       7.988375707040e+10 
       2.511440863780e-02       8.154697440538e+10 
       2.524943655283e-02       8.322565794132e+10 
       2.538461523491e-02       8.491887582570e+10 
       2.551994797163e-02       8.662523142053e+10 
       2.565543813231e-02       8.834509618773e+10 
       2.579108917030e-02       9.007864975973e+10 
       2.592690462528e-02       9.182497327570e+10 
       2.606288812571e-02       9.358342758943e+10 
       2.619904339133e-02       9.535694622081e+10 
