# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 508, i.e. number of multipoles equal to 507
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
   88       7.002881325966e-04       1.426338057364e-04       1.510019517842e-05 
   89       7.166908828898e-04       1.404229831727e-04       1.485665016726e-05 
   90       7.333242330437e-04       1.382548599305e-04       1.461345368363e-05 
   91       7.501890167907e-04       1.361308348851e-04       1.437160645684e-05 
   92       7.672859777417e-04       1.340516841903e-04       1.413213533539e-05 
   93       7.846157657466e-04       1.320175343488e-04       1.389609308651e-05 
   94       8.021789332567e-04       1.300278352841e-04       1.366455819560e-05 
   95       8.199759316852e-04       1.280813334120e-04       1.343863466574e-05 
   96       8.380071077690e-04       1.261760447115e-04       1.321945181716e-05 
   97       8.562726999301e-04       1.243092277963e-04       1.300816408675e-05 
   98       8.747728346367e-04       1.224773569864e-04       1.280595082753e-05 
   99       8.935079049083e-04       1.206771451509e-04       1.261371458555e-05 
  100       9.124797748682e-04       1.189088357548e-04       1.243112760069e-05 
  101       9.316907398397e-04       1.171733292464e-04       1.225744925013e-05 
  102       9.511431604042e-04       1.154711608600e-04       1.209181171561e-05 
  103       9.708394633953e-04       1.138024864118e-04       1.193321612812e-05 
  104       9.907821428915e-04       1.121670680958e-04       1.178052871253e-05 
  105       1.010973761210e-03       1.105642602798e-04       1.163247693230e-05 
  106       1.031416949900e-03       1.089929953008e-04       1.148764563409e-05 
  107       1.052114410735e-03       1.074517692614e-04       1.134447319251e-05 
  108       1.073068916711e-03       1.059386278254e-04       1.120124765471e-05 
  109       1.094283313031e-03       1.044511520137e-04       1.105610288509e-05 
  110       1.115760420260e-03       1.029871444148e-04       1.090745342461e-05 
  111       1.137502727541e-03       1.015468181039e-04       1.075537059243e-05 
  112       1.159512661790e-03       1.001308625790e-04       1.060037609974e-05 
  113       1.181792682067e-03       9.873976115155e-05       1.044301952910e-05 
  114       1.204345279604e-03       9.737378362568e-05       1.028387879087e-05 
  115       1.227172977842e-03       9.603297897779e-05       1.012356057948e-05 
  116       1.250278332458e-03       9.471716803618e-05       9.962700829884e-06 
  117       1.273663931399e-03       9.342593616049e-05       9.801965173840e-06 
  118       1.297332394915e-03       9.215862592132e-05       9.642049396317e-06 
  119       1.321286375587e-03       9.091432977972e-05       9.483679891838e-06 
  120       1.345528558363e-03       8.969188276676e-05       9.327614120845e-06 
  121       1.370061660586e-03       8.848985516308e-05       9.174641066051e-06 
  122       1.394888432028e-03       8.730654517838e-05       9.025581688809e-06 
  123       1.420011840541e-03       8.614043183302e-05       8.881126010779e-06 
  124       1.445435653085e-03       8.499160810714e-05       8.741322194240e-06 
  125       1.471163921821e-03       8.386049940507e-05       8.606029353094e-06 
  126       1.497200805946e-03       8.274741443851e-05       8.475074849776e-06 
  127       1.523550573184e-03       8.165254152686e-05       8.348253466214e-06 
  128       1.550217601283e-03       8.057594489759e-05       8.225326574785e-06 
  129       1.577206379501e-03       7.951756098651e-05       8.106021309272e-06 
  130       1.604521510104e-03       7.847719473814e-05       7.990029735820e-06 
  131       1.632167709853e-03       7.745451590603e-05       7.877008023897e-06 
  132       1.660149811500e-03       7.644905535307e-05       7.766575617244e-06 
  133       1.688472765279e-03       7.546020135185e-05       7.658314404838e-06 
  134       1.717141640396e-03       7.448719588495e-05       7.551767891846e-06 
  135       1.746161626525e-03       7.352913094531e-05       7.446440370583e-06 
  136       1.775538035298e-03       7.258494483652e-05       7.341796091467e-06 
  137       1.805275906561e-03       7.165370118253e-05       7.237379828440e-06 
  138       1.835378778002e-03       7.073546637323e-05       7.133194410756e-06 
  139       1.865849790439e-03       6.983051632415e-05       7.029360867841e-06 
  140       1.896692070633e-03       6.893906002646e-05       6.926000482135e-06 
  141       1.927908730262e-03       6.806123764166e-05       6.823234730569e-06 
  142       1.959502864912e-03       6.719711859634e-05       6.721185226031e-06 
  143       1.991477553056e-03       6.634669967693e-05       6.619973658838e-06 
  144       2.023835855042e-03       6.550990312440e-05       6.519721738209e-06 
  145       2.056580812070e-03       6.468657472905e-05       6.420551133732e-06 
  146       2.089715445183e-03       6.387648192522e-05       6.322583416840e-06 
  147       2.123242754245e-03       6.307931188603e-05       6.225940002276e-06 
  148       2.157165716925e-03       6.229466961810e-05       6.130742089568e-06 
  149       2.191487287685e-03       6.152207605634e-05       6.037110604497e-06 
  150       2.226210396760e-03       6.076096615865e-05       5.945166140569e-06 
  151       2.261337949140e-03       6.001068700066e-05       5.855028900489e-06 
  152       2.296872823557e-03       5.927049587049e-05       5.766818637624e-06 
  153       2.332817783315e-03       5.853974640723e-05       5.680637253343e-06 
  154       2.369175201599e-03       5.781847049181e-05       5.596514892295e-06 
  155       2.405947308581e-03       5.710684705454e-05       5.514458702465e-06 
  156       2.443136275822e-03       5.640501795205e-05       5.434469583421e-06 
  157       2.480744214809e-03       5.571308701976e-05       5.356542039456e-06 
  158       2.518773175490e-03       5.503111912430e-05       5.280664032723e-06 
  159       2.557225144806e-03       5.435913921592e-05       5.206816836374e-06 
  160       2.596102045227e-03       5.369713138098e-05       5.134974887700e-06 
  161       2.635405733288e-03       5.304503789433e-05       5.065105641265e-06 
  162       2.675137998121e-03       5.240275827177e-05       4.997169422047e-06 
  163       2.715300559990e-03       5.177014832250e-05       4.931119278578e-06 
  164       2.755895068829e-03       5.114701920154e-05       4.866900836076e-06 
  165       2.796923102772e-03       5.053313646215e-05       4.804452149587e-06 
  166       2.838386166688e-03       4.992821910831e-05       4.743703557123e-06 
  167       2.880285690721e-03       4.933193864710e-05       4.684577532800e-06 
  168       2.922623028818e-03       4.874391814119e-05       4.626988539973e-06 
  169       2.965399457267e-03       4.816373126122e-05       4.570842884380e-06 
  170       3.008616173230e-03       4.759090133830e-05       4.516038567274e-06 
  171       3.052273471129e-03       4.702501700029e-05       4.462479556440e-06 
  172       3.096368197796e-03       4.646609188441e-05       4.410120242005e-06 
  173       3.140896081333e-03       4.591423324176e-05       4.358924423237e-06 
  174       3.185852529381e-03       4.536952758486e-05       4.308851136951e-06 
  175       3.231232624299e-03       4.483204021571e-05       4.259854569473e-06 
  176       3.277031118342e-03       4.430181475392e-05       4.211883968599e-06 
  177       3.323242428847e-03       4.377887266479e-05       4.164883555561e-06 
  178       3.369860633406e-03       4.326321278739e-05       4.118792436987e-06 
  179       3.416879465053e-03       4.275481086268e-05       4.073544516864e-06 
  180       3.464292307439e-03       4.225361906159e-05       4.029068408503e-06 
  181       3.512092190015e-03       4.175956551311e-05       3.985287346496e-06 
  182       3.560271783213e-03       4.127255383239e-05       3.942119098685e-06 
  183       3.608823393623e-03       4.079246264884e-05       3.899475878119e-06 
  184       3.657738959175e-03       4.031914513421e-05       3.857264255021e-06 
  185       3.707010044322e-03       3.985242853070e-05       3.815385068747e-06 
  186       3.756627835215e-03       3.939211367904e-05       3.773733339749e-06 
  187       3.806583134886e-03       3.893797454661e-05       3.732198181540e-06 
  188       3.856866358429e-03       3.848975775548e-05       3.690662712653e-06 
  189       3.907467528178e-03       3.804718211056e-05       3.649003968606e-06 
  190       3.958376268891e-03       3.760993812769e-05       3.607092813865e-06 
  191       4.009582629272e-03       3.717776018941e-05       3.564827456181e-06 
  192       4.061079625420e-03       3.675065004021e-05       3.522236980542e-06 
  193       4.112860879322e-03       3.632866918546e-05       3.479385429491e-06 
  194       4.164919807562e-03       3.591186753851e-05       3.436338920880e-06 
  195       4.217249619206e-03       3.550028318645e-05       3.393165669792e-06 
  196       4.269843313681e-03       3.509394215591e-05       3.349936010454e-06 
  197       4.322693678668e-03       3.469285817872e-05       3.306722418158e-06 
  198       4.375793287979e-03       3.429703245775e-05       3.263599531179e-06 
  199       4.429134499443e-03       3.390645343262e-05       3.220644172691e-06 
  200       4.482709452792e-03       3.352109654542e-05       3.177935372687e-06 
  201       4.536510067545e-03       3.314092400653e-05       3.135554389895e-06 
  202       4.590528040890e-03       3.276588456031e-05       3.093584733698e-06 
  203       4.644754845570e-03       3.239591325088e-05       3.052112186050e-06 
  204       4.699181727767e-03       3.203093118787e-05       3.011224823394e-06 
  205       4.753799704987e-03       3.167084531216e-05       2.971013038583e-06 
  206       4.808599563943e-03       3.131554816163e-05       2.931569562792e-06 
  207       4.863571858439e-03       3.096491763691e-05       2.892989487443e-06 
  208       4.918706907255e-03       3.061881676716e-05       2.855370286115e-06 
  209       4.973994792033e-03       3.027709347576e-05       2.818811836471e-06 
  210       5.029425355157e-03       2.993958034613e-05       2.783416442168e-06 
  211       5.084988197641e-03       2.960609438741e-05       2.749288854778e-06 
  212       5.140672677012e-03       2.927643680029e-05       2.716536295708e-06 
  213       5.196467115325e-03       2.895043798366e-05       2.685242727572e-06 
  214       5.252356368107e-03       2.862809642180e-05       2.655389690184e-06 
  215       5.308324087080e-03       2.830944872786e-05       2.626930158533e-06 
  216       5.364353491106e-03       2.799452513141e-05       2.599813767270e-06 
  217       5.420427361993e-03       2.768334936326e-05       2.573986764828e-06 
  218       5.476528040297e-03       2.737593854035e-05       2.549391967554e-06 
  219       5.532637421132e-03       2.707230305056e-05       2.525968713828e-06 
  220       5.588736949966e-03       2.677244643759e-05       2.503652818200e-06 
  221       5.644807618436e-03       2.647636528582e-05       2.482376525505e-06 
  222       5.700829960146e-03       2.618404910514e-05       2.462068465000e-06 
  223       5.756784046474e-03       2.589548021581e-05       2.442653604484e-06 
  224       5.812649482376e-03       2.561063363331e-05       2.424053204427e-06 
  225       5.868405402193e-03       2.532947695320e-05       2.406184772095e-06 
  226       5.924030465454e-03       2.505197023598e-05       2.388962015679e-06 
  227       5.979502852679e-03       2.477806589191e-05       2.372294798419e-06 
  228       6.034800261190e-03       2.450770856592e-05       2.356089092732e-06 
  229       6.089899900908e-03       2.424083502239e-05       2.340246934340e-06 
  230       6.144778490163e-03       2.397737403005e-05       2.324666376393e-06 
  231       6.199412251499e-03       2.371724624685e-05       2.309241443598e-06 
  232       6.253776907475e-03       2.346036410474e-05       2.293862086346e-06 
  233       6.307847676473e-03       2.320663169460e-05       2.278414134834e-06 
  234       6.361599268502e-03       2.295594465105e-05       2.262779253201e-06 
  235       6.415005881003e-03       2.270819003732e-05       2.246834893643e-06 
  236       6.468041194653e-03       2.246324623008e-05       2.230454250550e-06 
  237       6.520678369171e-03       2.222098280433e-05       2.213506214623e-06 
  238       6.572892425898e-03       2.198128893673e-05       2.195884531365e-06 
  239       6.624667564391e-03       2.174416076330e-05       2.177597331578e-06 
  240       6.675990280955e-03       2.150961909086e-05       2.158682935965e-06 
  241       6.726847022573e-03       2.127768129980e-05       2.139181154260e-06 
  242       6.777224187745e-03       2.104836128914e-05       2.119133300962e-06 
  243       6.827108127329e-03       2.082166942147e-05       2.098582211076e-06 
  244       6.876485145378e-03       2.059761246805e-05       2.077572255849e-06 
  245       6.925341499982e-03       2.037619355377e-05       2.056149358505e-06 
  246       6.973663404110e-03       2.015741210219e-05       2.034361009983e-06 
  247       7.021437026446e-03       1.994126378055e-05       2.012256284676e-06 
  248       7.068648492231e-03       1.972774044477e-05       1.989885856164e-06 
  249       7.115283884105e-03       1.951683008452e-05       1.967302012954e-06 
  250       7.161329242943e-03       1.930851676817e-05       1.944558674217e-06 
  251       7.206770568698e-03       1.910278058784e-05       1.921711405522e-06 
  252       7.251593821241e-03       1.889959760440e-05       1.898817434577e-06 
  253       7.295784921199e-03       1.869893979253e-05       1.875935666962e-06 
  254       7.339329750797e-03       1.850077498567e-05       1.853126701871e-06 
  255       7.382214154697e-03       1.830506682109e-05       1.830452847842e-06 
  256       7.424423940839e-03       1.811177468487e-05       1.807978138501e-06 
  257       7.465944881280e-03       1.792085365694e-05       1.785768348293e-06 
  258       7.506762713035e-03       1.773225445610e-05       1.763891008224e-06 
  259       7.546863138915e-03       1.754592338501e-05       1.742415421596e-06 
  260       7.586231828371e-03       1.736180227521e-05       1.721412679740e-06 
  261       7.624854418328e-03       1.717982843217e-05       1.700955677762e-06 
  262       7.662716514033e-03       1.699993458027e-05       1.681119130270e-06 
  263       7.699803689887e-03       1.682204880782e-05       1.661979587118e-06 
  264       7.736101490292e-03       1.664609451211e-05       1.643615449139e-06 
