# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 508, i.e. number of multipoles equal to 507
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  389       6.738659638529e-03       4.774593019054e-06       5.930236674058e-07 
  390       6.728513012435e-03       4.729229643701e-06       5.864425789684e-07 
  391       6.719149677032e-03       4.684343776372e-06       5.795313766462e-07 
  392       6.710582777527e-03       4.639930934593e-06       5.722870108171e-07 
  393       6.702825492352e-03       4.595986334761e-06       5.647064335282e-07 
  394       6.695891032795e-03       4.552504889666e-06       5.567865986256e-07 
  395       6.689792642640e-03       4.509481206014e-06       5.485244618840e-07 
  396       6.684543597802e-03       4.466909581943e-06       5.399169811367e-07 
  397       6.680157205965e-03       4.424784004549e-06       5.309611164052e-07 
  398       6.676646806218e-03       4.383098147403e-06       5.216538300288e-07 
  399       6.674025768691e-03       4.341845368073e-06       5.119920867945e-07 
  400       6.672307494194e-03       4.301018705646e-06       5.019728540666e-07 
  401       6.671505413848e-03       4.260610878248e-06       4.915931019166e-07 
  402       6.671632988731e-03       4.220614280563e-06       4.808498032528e-07 
  403       6.672703709504e-03       4.181020981359e-06       4.697399339502e-07 
  404       6.674731096058e-03       4.141822721002e-06       4.582604729797e-07 
  405       6.677728697141e-03       4.103010908982e-06       4.464084025387e-07 
  406       6.681710090003e-03       4.064576621432e-06       4.341807081802e-07 
  407       6.686688880026e-03       4.026510598650e-06       4.215743789425e-07 
  408       6.692678700365e-03       3.988803242616e-06       4.085864074793e-07 
  409       6.699693211584e-03       3.951444614518e-06       3.952137901894e-07 
  410       6.707743192413e-03       3.914426236989e-06       3.814585002843e-07 
  411       6.716827699243e-03       3.877746576206e-06       3.673426007998e-07 
  412       6.726942592801e-03       3.841405749089e-06       3.528936671189e-07 
  413       6.738083416319e-03       3.805403734931e-06       3.381398660438e-07 
  414       6.750245393095e-03       3.769740374200e-06       3.231099594677e-07 
  415       6.763423424063e-03       3.734415367354e-06       3.078333080449e-07 
  416       6.777612085355e-03       3.699428273635e-06       2.923398748627e-07 
  417       6.792805625868e-03       3.664778509888e-06       2.766602291121e-07 
  418       6.808997964827e-03       3.630465349354e-06       2.608255497589e-07 
  419       6.826182689352e-03       3.596487920487e-06       2.448676292146e-07 
  420       6.844353052023e-03       3.562845205755e-06       2.288188770082e-07 
  421       6.863501968445e-03       3.529536040444e-06       2.127123234562e-07 
  422       6.883622014813e-03       3.496559111469e-06       1.965816233347e-07 
  423       6.904705425476e-03       3.463912956177e-06       1.804610595498e-07 
  424       6.926744090504e-03       3.431595961153e-06       1.643855468089e-07 
  425       6.949729553253e-03       3.399606361028e-06       1.483906352920e-07 
  426       6.973653007931e-03       3.367942237282e-06       1.325125143222e-07 
  427       6.998505297159e-03       3.336601517052e-06       1.167880160377e-07 
  428       7.024276909541e-03       3.305581971939e-06       1.012546190617e-07 
  429       7.050957977227e-03       3.274881216812e-06       8.595045217465e-08 
  430       7.078538273478e-03       3.244496708614e-06       7.091429798445e-08 
  431       7.107007210233e-03       3.214425745170e-06       5.618559659800e-08 
  432       7.136353835670e-03       3.184665463991e-06       4.180444929214e-08 
  433       7.166566831778e-03       3.155212841081e-06       2.781162218473e-08 
  434       7.197634511914e-03       3.126064689743e-06       1.424854990574e-08 
  435       7.229544818375e-03       3.097217659385e-06       1.157339268332e-09 
  436       7.262285319960e-03       3.068668234326e-06      -1.141922706007e-08 
  437       7.295843209536e-03       3.040412732601e-06      -2.343768688670e-08 
  438       7.330205301601e-03       3.012447304770e-06      -3.485389482234e-08 
  439       7.365358029854e-03       2.984767932720e-06      -4.562301861028e-08 
  440       7.401287444756e-03       2.957370428473e-06      -5.569953545524e-08 
  441       7.437979211095e-03       2.930250432994e-06      -6.503722835225e-08 
  442       7.475418605554e-03       2.903403414993e-06      -7.358918241558e-08 
  443       7.513590514276e-03       2.876824669734e-06      -8.130778120772e-08 
  444       7.552479430425e-03       2.850509317840e-06      -8.814470306822e-08 
  445       7.592069451757e-03       2.824452304100e-06      -9.405091744265e-08 
  446       7.632344278180e-03       2.798648396273e-06      -9.897668121152e-08 
  447       7.673287209323e-03       2.773092183894e-06      -1.028715350192e-07 
  448       7.714881142099e-03       2.747778077085e-06      -1.056842996028e-07 
  449       7.757107723756e-03       2.722701122561e-06      -1.073792794622e-07 
  450       7.799944785795e-03       2.697859483182e-06      -1.079854587565e-07 
  451       7.843368822198e-03       2.673252036319e-06      -1.075488906440e-07 
  452       7.887355823508e-03       2.648877563191e-06      -1.061166398012e-07 
  453       7.931881273893e-03       2.624734748158e-06      -1.037367883766e-07 
  454       7.976920148206e-03       2.600822178014e-06      -1.004584419463e-07 
  455       8.022446909055e-03       2.577138341276e-06      -9.633173546788e-08 
  456       8.068435503862e-03       2.553681627475e-06      -9.140783923567e-08 
  457       8.114859361928e-03       2.530450326451e-06      -8.573896483499e-08 
  458       8.161691391496e-03       2.507442627640e-06      -7.937837109698e-08 
  459       8.208903976816e-03       2.484656619368e-06      -7.238037005326e-08 
  460       8.256468975207e-03       2.462090288142e-06      -6.480033289054e-08 
  461       8.304357714122e-03       2.439741517940e-06      -5.669469590536e-08 
  462       8.352540988210e-03       2.417608089505e-06      -4.812096645867e-08 
  463       8.400989056382e-03       2.395687679633e-06      -3.913772893053e-08 
  464       8.449671638871e-03       2.373977860468e-06      -2.980465067479e-08 
  465       8.498557914300e-03       2.352476098791e-06      -2.018248797369e-08 
  466       8.547616516743e-03       2.331179755310e-06      -1.033309199260e-08 
  467       8.596815532787e-03       2.310086083957e-06      -3.194147346002e-10 
  468       8.646122498600e-03       2.289192231173e-06       9.794485004789e-09 
  469       8.695504396991e-03       2.268495235202e-06       1.994343568299e-08 
  470       8.744927654475e-03       2.247992025383e-06       3.006114705568e-08 
  471       8.794358138337e-03       2.227679421443e-06       4.008020422216e-08 
  472       8.843761153694e-03       2.207554132782e-06       4.993206167065e-08 
  473       8.893101440561e-03       2.187612757772e-06       5.954703732369e-08 
  474       8.942343170912e-03       2.167851783043e-06       6.885430658340e-08 
  475       8.991449945746e-03       2.148267582778e-06       7.778189637689e-08 
  476       9.040384792148e-03       2.128856418000e-06       8.625667920157e-08 
  477       9.089110160356e-03       2.109614435870e-06       9.420436717047e-08 
  478       9.137587920821e-03       2.090537668970e-06       1.015495060576e-07 
  479       9.185779361273e-03       2.071622034602e-06       1.082154693434e-07 
  480       9.233645183784e-03       2.052863334075e-06       1.141244522597e-07 
  481       9.281145501833e-03       2.034257251997e-06       1.191974658355e-07 
  482       9.328239837365e-03       2.015799355569e-06       1.233543309423e-07 
  483       9.374887117859e-03       1.997485093873e-06       1.265136723389e-07 
  484       9.421045673393e-03       1.979309797163e-06       1.285929127174e-07 
  485       9.466673233702e-03       1.961268676161e-06       1.295082667482e-07 
  486       9.511726925244e-03       1.943356821344e-06       1.291747351252e-07 
  487       9.556163268267e-03       1.925569202236e-06       1.275060986116e-07 
  488       9.599948285218e-03       1.907903106829e-06       1.244354167411e-07 
  489       9.643088163371e-03       1.890365541250e-06       1.199772081166e-07 
  490       9.685599500297e-03       1.872966049240e-06       1.141671116227e-07 
  491       9.727499277284e-03       1.855714292485e-06       1.070415536814e-07 
  492       9.768804861488e-03       1.838620051129e-06       9.863775260862e-08 
  493       9.809534008082e-03       1.821693224300e-06       8.899372297042e-08 
  494       9.849704862401e-03       1.804943830622e-06       7.814827993960e-08 
  495       9.889335962092e-03       1.788382008739e-06       6.614104365210e-08 
  496       9.928446239263e-03       1.772018017830e-06       5.301244356341e-08 
  497       9.967055022633e-03       1.755862238127e-06       3.880372280505e-08 
  498       1.000518203967e-02       1.739925171435e-06       2.355694254099e-08 
  499       1.004284741876e-02       1.724217441651e-06       7.314986324089e-09 
  500       1.008007169134e-02       1.708749795280e-06      -9.878435547453e-09 
  501       1.011687579403e-02       1.693533101957e-06      -2.797878167366e-08 
  502       1.015328107082e-02       1.678578354960e-06      -4.694067519635e-08 
  503       1.018930927520e-02       1.663896671736e-06      -6.671789944268e-08 
  504       1.022498257229e-02       1.649499294413e-06      -8.726339356871e-08 
  505       1.026032354101e-02       1.635397590318e-06      -1.085292482030e-07 
  506       1.029535517624e-02       1.621603052504e-06      -1.304667010900e-07 
  507       1.033010089094e-02       1.608127300256e-06      -1.530261327339e-07 
  508       1.036458451829e-02       1.594982079622e-06      -1.761570620420e-07 
