# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.249752302790e+05       4.782205625148e-08       3.673112257118e+00       3.425337837820e+04       1.559314124547e+04       1.247688557309e-01       1.948772011066e+09       2.117806911186e+00       6.712568871895e+08       4.861331871344e+06       2.608620984584e+07       7.039764632884e+06       3.244880511110e-01       4.640497367806e+08       1.173293930320e+09       1.173293930320e+09       3.807198608294e+08      -4.173562688699e+08       1.899397826995e-04       8.262634225781e-02 
       1.248745493953e+05       4.789885688210e-08       3.676053909108e+00       3.419857737249e+04       1.559313830382e+04       1.248694270362e-01       1.947201712486e+09       2.119500679199e+00       6.690964407347e+08       4.849592463031e+06       2.602321544907e+07       7.017257213466e+06       3.244811089933e-01       4.625561884419e+08       1.169542694302e+09       1.169542694302e+09       3.794945104616e+08      -4.156822843192e+08       1.899524332827e-04       8.265185330516e-02 
       1.247739496202e+05       4.797578058043e-08       3.678997901299e+00       3.414386432800e+04       1.559313535982e+04       1.249700793893e-01       1.945632678943e+09       2.121195790979e+00       6.669429476967e+08       4.837881403680e+06       2.596037317460e+07       6.994821871849e+06       3.244741615759e-01       4.610674471023e+08       1.165803471249e+09       1.165803471249e+09       3.782731038953e+08      -4.140150174505e+08       1.899650886157e-04       8.267738502068e-02 
       1.246734308883e+05       4.805282754304e-08       3.681944235530e+00       3.408923910332e+04       1.559313241349e+04       1.250708128555e-01       1.944064909417e+09       2.122892247574e+00       6.647963856958e+08       4.826198624830e+06       2.589768265507e+07       6.972458376924e+06       3.244672088550e-01       4.595834972904e+08       1.162076222643e+09       1.162076222643e+09       3.770556284371e+08      -4.123544412946e+08       1.899777487026e-04       8.270293741851e-02 
       1.245729931343e+05       4.812999796679e-08       3.684892913636e+00       3.403470155723e+04       1.559312946481e+04       1.251716275002e-01       1.942498402892e+09       2.124590050036e+00       6.626567324244e+08       4.814544058190e+06       2.583514352400e+07       6.950166498324e+06       3.244602508268e-01       4.581043235846e+08       1.158360910089e+09       1.158360910089e+09       3.758420714350e+08      -4.107005289905e+08       1.899904135473e-04       8.272851051277e-02 
       1.244726362930e+05       4.820729204888e-08       3.687843937458e+00       3.398025154877e+04       1.559312651379e+04       1.252725233887e-01       1.940933158348e+09       2.126289199413e+00       6.605239656467e+08       4.802917635630e+06       2.577275541583e+07       6.927946006418e+06       3.244532874875e-01       4.566299106129e+08       1.154657495317e+09       1.154657495317e+09       3.746324202772e+08      -4.090532537854e+08       1.900030831539e-04       8.275410431761e-02 
       1.243723602992e+05       4.828470998679e-08       3.690797308840e+00       3.392588893719e+04       1.559312356042e+04       1.253735005865e-01       1.939369174769e+09       2.127989696757e+00       6.583980631985e+08       4.791319289188e+06       2.571051796585e+07       6.905796672315e+06       3.244463188332e-01       4.551602430529e+08       1.150965940179e+09       1.150965940179e+09       3.734266623927e+08      -4.074125890335e+08       1.900157575263e-04       8.277971884718e-02 
       1.242721650877e+05       4.836225197836e-08       3.693753029620e+00       3.387161358199e+04       1.559312060470e+04       1.254745591592e-01       1.937806451140e+09       2.129691543120e+00       6.562790029868e+08       4.779748951062e+06       2.564843081025e+07       6.883718267855e+06       3.244393448601e-01       4.536953056314e+08       1.147286206647e+09       1.147286206647e+09       3.722247852511e+08      -4.057785081962e+08       1.900284366686e-04       8.280535411563e-02 
       1.241720505936e+05       4.843991822169e-08       3.696711101646e+00       3.381742534286e+04       1.559311764662e+04       1.255756991721e-01       1.936244986446e+09       2.131394739556e+00       6.541667629898e+08       4.768206553617e+06       2.558649358608e+07       6.861710565618e+06       3.244323655644e-01       4.522350831245e+08       1.143618256820e+09       1.143618256820e+09       3.710267763621e+08      -4.041509848417e+08       1.900411205848e-04       8.283101013713e-02 
       1.240720167517e+05       4.851770891524e-08       3.699671526761e+00       3.376332407974e+04       1.559311468620e+04       1.256769206910e-01       1.934684779672e+09       2.133099287117e+00       6.520613212567e+08       4.756692029381e+06       2.552470593129e+07       6.839773338953e+06       3.244253809424e-01       4.507795603571e+08       1.139962052913e+09       1.139962052913e+09       3.698326232757e+08      -4.025299926440e+08       1.900538092789e-04       8.285668692585e-02 
       1.239720634971e+05       4.859562425777e-08       3.702634306812e+00       3.370930965279e+04       1.559311172342e+04       1.257782237815e-01       1.933125829804e+09       2.134805186859e+00       6.499626559071e+08       4.745205311044e+06       2.546306748469e+07       6.817906361864e+06       3.244183909900e-01       4.493287222031e+08       1.136317557268e+09       1.136317557268e+09       3.686423135819e+08      -4.009155053830e+08       1.900665027550e-04       8.288238449598e-02 
       1.238721907648e+05       4.867366444834e-08       3.705599443649e+00       3.365538192240e+04       1.559310875828e+04       1.258796085093e-01       1.931568135832e+09       2.136512439835e+00       6.478707451313e+08       4.733746331458e+06       2.540157788595e+07       6.796109409108e+06       3.244113957036e-01       4.478825535851e+08       1.132684732343e+09       1.132684732343e+09       3.674558349109e+08      -3.993074969439e+08       1.900792010170e-04       8.290810286169e-02 
       1.237723984901e+05       4.875182968635e-08       3.708566939120e+00       3.360154074918e+04       1.559310579079e+04       1.259810749402e-01       1.930011696741e+09       2.138221047103e+00       6.457855671894e+08       4.722315023639e+06       2.534023677563e+07       6.774382256166e+06       3.244043950792e-01       4.464410394740e+08       1.129063540719e+09       1.129063540719e+09       3.662731749323e+08      -3.977059413167e+08       1.900919040691e-04       8.293384203720e-02 
       1.236726866080e+05       4.883012017150e-08       3.711536795077e+00       3.354778599396e+04       1.559310282093e+04       1.260826231399e-01       1.928456511523e+09       2.139931009720e+00       6.437071004120e+08       4.710911320762e+06       2.527904379517e+07       6.752724679240e+06       3.243973891132e-01       4.450041648893e+08       1.125453945096e+09       1.125453945096e+09       3.650943213558e+08      -3.961108125960e+08       1.901046119152e-04       8.295960203669e-02 
       1.235730550539e+05       4.890853610382e-08       3.714509013371e+00       3.349411751779e+04       1.559309984871e+04       1.261842531744e-01       1.926902579166e+09       2.141642328742e+00       6.416353231989e+08       4.699535156167e+06       2.521799858683e+07       6.731136455246e+06       3.243903778015e-01       4.435719148987e+08       1.121855908296e+09       1.121855908296e+09       3.639192619303e+08      -3.945220849802e+08       1.901173245594e-04       8.298538287439e-02 
       1.234735037630e+05       4.898707768365e-08       3.717483595858e+00       3.344053518197e+04       1.559309687413e+04       1.262859651095e-01       1.925349898661e+09       2.143355005228e+00       6.395702140198e+08       4.688186463353e+06       2.515710079379e+07       6.709617361818e+06       3.243833611403e-01       4.421442746178e+08       1.118269393256e+09       1.118269393256e+09       3.627479844443e+08      -3.929397327715e+08       1.901300420057e-04       8.301118456450e-02 
       1.233740326706e+05       4.906574511164e-08       3.720460544391e+00       3.338703884799e+04       1.559309389718e+04       1.263877590113e-01       1.923798469000e+09       2.145069040238e+00       6.375117514136e+08       4.676865175978e+06       2.509635006004e+07       6.688167177317e+06       3.243763391259e-01       4.407212292102e+08       1.114694363037e+09       1.114694363037e+09       3.615804767257e+08      -3.913637303754e+08       1.901427642581e-04       8.303700712127e-02 
       1.232746417122e+05       4.914453858879e-08       3.723439860829e+00       3.333362837758e+04       1.559309091786e+04       1.264896349457e-01       1.922248289176e+09       2.146784434831e+00       6.354599139881e+08       4.665571227863e+06       2.503574603046e+07       6.666785680835e+06       3.243693117544e-01       4.393027638874e+08       1.111130780815e+09       1.111130780815e+09       3.604167266414e+08      -3.897940522998e+08       1.901554913208e-04       8.306285055892e-02 
       1.231753308231e+05       4.922345831638e-08       3.726421547028e+00       3.328030363269e+04       1.559308793618e+04       1.265915929788e-01       1.920699358180e+09       2.148501190069e+00       6.334146804203e+08       4.654304552988e+06       2.497528835079e+07       6.645472652118e+06       3.243622790219e-01       4.378888639082e+08       1.107578609884e+09       1.107578609884e+09       3.592567220974e+08      -3.882306731554e+08       1.901682231978e-04       8.308871489170e-02 
       1.230760999389e+05       4.930250449604e-08       3.729405604849e+00       3.322706447550e+04       1.559308495212e+04       1.266936331768e-01       1.919151675008e+09       2.150219307012e+00       6.313760294554e+08       4.643065085491e+06       2.491497666760e+07       6.624227871642e+06       3.243552409246e-01       4.364795145791e+08       1.104037813659e+09       1.104037813659e+09       3.581004510388e+08      -3.866735676547e+08       1.901809598931e-04       8.311460013386e-02 
