# Matter power spectrum P(k) at redshift z=0
# for k=9.4507e-06 to 4.87427 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.348025924176e-02       4.358346385957e+09 
       1.360918924881e-02       4.658349438450e+09 
       1.373815555635e-02       4.973826317761e+09 
       1.386715827491e-02       5.305259926080e+09 
       1.399619753809e-02       5.653142870331e+09 
       1.412527350223e-02       6.017958191721e+09 
       1.425438634600e-02       6.400198551394e+09 
       1.438353627017e-02       6.800345340973e+09 
       1.451272349728e-02       7.218885396436e+09 
       1.464194827144e-02       7.656303346905e+09 
       1.477121085811e-02       8.113086812048e+09 
       1.490051154388e-02       8.589686892395e+09 
       1.502985063637e-02       9.086608019329e+09 
       1.515922846409e-02       9.604303404932e+09 
       1.528864537628e-02       1.014324878440e+10 
       1.541810174291e-02       1.070389166003e+10 
       1.554759795457e-02       1.128669383667e+10 
       1.567713442246e-02       1.189229275903e+10 
       1.580671157836e-02       1.252076330944e+10 
       1.593632987466e-02       1.317270776929e+10 
       1.606598978436e-02       1.384835264640e+10 
       1.619569180115e-02       1.454873761976e+10 
       1.632543643946e-02       1.527344680394e+10 
       1.645522423457e-02       1.602350161700e+10 
       1.658505574267e-02       1.679907828053e+10 
       1.671493154104e-02       1.760079053143e+10 
       1.684485222815e-02       1.842834031388e+10 
       1.697481842384e-02       1.928275291636e+10 
       1.710483076949e-02       2.016414181711e+10 
       1.723488992825e-02       2.107287847768e+10 
       1.736499658517e-02       2.200924546362e+10 
       1.749515144752e-02       2.297359882080e+10 
       1.762535524498e-02       2.396642791604e+10 
       1.775560872991e-02       2.498759404642e+10 
       1.788591267765e-02       2.603735064640e+10 
       1.801626788679e-02       2.711667009519e+10 
       1.814667517950e-02       2.822484706709e+10 
       1.827713540186e-02       2.936283081555e+10 
       1.840764942416e-02       3.053062737358e+10 
       1.853821814135e-02       3.172840418454e+10 
       1.866884247332e-02       3.295638788875e+10 
       1.879952336539e-02       3.421473659058e+10 
       1.893026178864e-02       3.550386515302e+10 
       1.906105874039e-02       3.682321244777e+10 
       1.919191524464e-02       3.817357406994e+10 
       1.932283235253e-02       3.955488035393e+10 
       1.945381114281e-02       4.096723596421e+10 
       1.958485272238e-02       4.241066304668e+10 
       1.971595822677e-02       4.388566890589e+10 
       1.984712882069e-02       4.539127893057e+10 
       1.997836569863e-02       4.692849547503e+10 
       2.010967008535e-02       4.849714316056e+10 
       2.024104323658e-02       5.009726278787e+10 
       2.037248643957e-02       5.172823082665e+10 
       2.050400101375e-02       5.339081732436e+10 
       2.063558831138e-02       5.508465356671e+10 
       2.076724971826e-02       5.680989230808e+10 
       2.089898665442e-02       5.856613087981e+10 
       2.103080057482e-02       6.035349522605e+10 
       2.116269297016e-02       6.217200294056e+10 
       2.129466536760e-02       6.402159191221e+10 
       2.142671933159e-02       6.590152799091e+10 
       2.155885646469e-02       6.781226662005e+10 
       2.169107840841e-02       6.975392051083e+10 
       2.182338684410e-02       7.172532598821e+10 
       2.195578349388e-02       7.372733543654e+10 
       2.208827012151e-02       7.575924615740e+10 
       2.222084853341e-02       7.782100165134e+10 
       2.235352057965e-02       7.991248899079e+10 
       2.248628815493e-02       8.203319352669e+10 
       2.261915319970e-02       8.418309146999e+10 
       2.275211770118e-02       8.636194974510e+10 
       2.288518369457e-02       8.856933817896e+10 
       2.301835326413e-02       9.080509087388e+10 
       2.315162854441e-02       9.306916668250e+10 
       2.328501172148e-02       9.536099867218e+10 
       2.341850503422e-02       9.768011965341e+10 
       2.355211077559e-02       1.000269308642e+11 
       2.368583129404e-02       1.024000533016e+11 
       2.381966899484e-02       1.048000024884e+11 
       2.395362634158e-02       1.072259437966e+11 
       2.408770585764e-02       1.096780512459e+11 
       2.422191012770e-02       1.121558721912e+11 
       2.435624179936e-02       1.146583532442e+11 
       2.449070358474e-02       1.171854636967e+11 
       2.462529826223e-02       1.197375520344e+11 
       2.476002867814e-02       1.223132143787e+11 
       2.489489774859e-02       1.249132955944e+11 
       2.502990846132e-02       1.275354213117e+11 
       2.516506387763e-02       1.301813559843e+11 
       2.530036713436e-02       1.328491262578e+11 
       2.543582144594e-02       1.355392965811e+11 
       2.557143010652e-02       1.382507326487e+11 
       2.570719649215e-02       1.409839969169e+11 
       2.584312406306e-02       1.437373634018e+11 
       2.597921636598e-02       1.465108379880e+11 
       2.611547703662e-02       1.493041241548e+11 
       2.625190980209e-02       1.521177019091e+11 
       2.638851848360e-02       1.549497384426e+11 
       2.652530699905e-02       1.577998819649e+11 
       2.666227936588e-02       1.606683906178e+11 
       2.679943970391e-02       1.635543370703e+11 
       2.693679223837e-02       1.664578066281e+11 
       2.707434130291e-02       1.693782250545e+11 
       2.721209134288e-02       1.723146566269e+11 
       2.735004691862e-02       1.752673170875e+11 
       2.748821270887e-02       1.782352254580e+11 
       2.762659351440e-02       1.812169465608e+11 
       2.776519426165e-02       1.842143838392e+11 
       2.790402000658e-02       1.872255832650e+11 
       2.804307593868e-02       1.902502670621e+11 
       2.818236738508e-02       1.932881039657e+11 
       2.832189981486e-02       1.963383750578e+11 
       2.846167884347e-02       1.994008095284e+11 
       2.860171023739e-02       2.024757344386e+11 
       2.874199991896e-02       2.055607801638e+11 
       2.888255397134e-02       2.086574574308e+11 
       2.902337864371e-02       2.117651575017e+11 
       2.916448035673e-02       2.148814232601e+11 
       2.930586570811e-02       2.180086108538e+11 
       2.944754147851e-02       2.211439274377e+11 
       2.958951463758e-02       2.242887405281e+11 
       2.973179235038e-02       2.274412245712e+11 
       2.987438198395e-02       2.306026259657e+11 
       3.001729111419e-02       2.337701354917e+11 
       3.016052753310e-02       2.369459642934e+11 
       3.030409925622e-02       2.401280285790e+11 
       3.044801453044e-02       2.433168475192e+11 
       3.059228184222e-02       2.465107038175e+11 
       3.073690992605e-02       2.497101004215e+11 
       3.088190777333e-02       2.529151033111e+11 
       3.102728464171e-02       2.561255155319e+11 
       3.117305006478e-02       2.593392864244e+11 
       3.131921386218e-02       2.625574814506e+11 
       3.146578615027e-02       2.657807069816e+11 
       3.161277735322e-02       2.690051688772e+11 
       3.176019821463e-02       2.722343419950e+11 
       3.190805980972e-02       2.754642656586e+11 
       3.205637355806e-02       2.786981670010e+11 
       3.220515123700e-02       2.819323763070e+11 
       3.235440499563e-02       2.851699717537e+11 
       3.250414736955e-02       2.884091535040e+11 
       3.265439129625e-02       2.916492148117e+11 
       3.280515013139e-02       2.948902403758e+11 
       3.295643766576e-02       2.981311771082e+11 
       3.310826814327e-02       3.013722953852e+11 
       3.326065627969e-02       3.046152374960e+11 
       3.341361728253e-02       3.078575557235e+11 
       3.356716687185e-02       3.110984744004e+11 
       3.372132130224e-02       3.143395134673e+11 
       3.387609738596e-02       3.175793863481e+11 
       3.403151251736e-02       3.208182475084e+11 
       3.418758469859e-02       3.240559284817e+11 
       3.434433256680e-02       3.272907796614e+11 
       3.450177542285e-02       3.305270051581e+11 
       3.465993326161e-02       3.337591189623e+11 
       3.481882680406e-02       3.369908797910e+11 
       3.497847753122e-02       3.402204382087e+11 
       3.513890772007e-02       3.434480430090e+11 
       3.530014048166e-02       3.466718145090e+11 
       3.546219980140e-02       3.498935531669e+11 
       3.562511058194e-02       3.531131528158e+11 
       3.578889868859e-02       3.563320646323e+11 
       3.595359099759e-02       3.595449363312e+11 
       3.611921544748e-02       3.627572354553e+11 
       3.628580109369e-02       3.659655299179e+11 
       3.645337816667e-02       3.691716545785e+11 
       3.662197813387e-02       3.723749018612e+11 
       3.679163376580e-02       3.755763706650e+11 
       3.696237920652e-02       3.787727978225e+11 
       3.713425004895e-02       3.819682677825e+11 
       3.730728341537e-02       3.851609154813e+11 
       3.748151804359e-02       3.883491961583e+11 
       3.765699437913e-02       3.915362646243e+11 
       3.783375467411e-02       3.947206873990e+11 
       3.801184309335e-02       3.979019894654e+11 
       3.819130582825e-02       4.010800514299e+11 
       3.837219121925e-02       4.042577697699e+11 
       3.855454988761e-02       4.074326065739e+11 
       3.873843487732e-02       4.106051843172e+11 
       3.892390180818e-02       4.137757959665e+11 
       3.911100904102e-02       4.169447887719e+11 
       3.929981785624e-02       4.201124659714e+11 
       3.949039264709e-02       4.232799691121e+11 
       3.968280112886e-02       4.264447913946e+11 
       3.987711456603e-02       4.296107189240e+11 
       4.007340801871e-02       4.327741333447e+11 
       4.027176061078e-02       4.359395862886e+11 
       4.047225582184e-02       4.391057951022e+11 
       4.067498180550e-02       4.422711742099e+11 
       4.088003173701e-02       4.454381767014e+11 
       4.108750419339e-02       4.486075771420e+11 
       4.129750356977e-02       4.517788852575e+11 
       4.151014053612e-02       4.549507258801e+11 
       4.172553253910e-02       4.581284145584e+11 
       4.194380435436e-02       4.613078764274e+11 
       4.216508869555e-02       4.644907564165e+11 
       4.238952688691e-02       4.676817737476e+11 
       4.261726960760e-02       4.708740903576e+11 
       4.284847771691e-02       4.740743775675e+11 
       4.308332317103e-02       4.772815913811e+11 
       4.332199004369e-02       4.804949580139e+11 
       4.356467566473e-02       4.837186056258e+11 
       4.381159189321e-02       4.869509327528e+11 
       4.406296654419e-02       4.901924648561e+11 
       4.431904499159e-02       4.934470027515e+11 
       4.458009197329e-02       4.967140595277e+11 
       4.484639362943e-02       4.999918753218e+11 
       4.511825980997e-02       5.032854406913e+11 
       4.539602669477e-02       5.065947168445e+11 
       4.568005977684e-02       5.099205999458e+11 
       4.597075726962e-02       5.132642678689e+11 
       4.626855401092e-02       5.166271020138e+11 
       4.657392595038e-02       5.200108189947e+11 
       4.688739532559e-02       5.234175530058e+11 
       4.720953665371e-02       5.268472044846e+11 
       4.754098369281e-02       5.303022443711e+11 
       4.788243756103e-02       5.337853488308e+11 
       4.823467624410e-02       5.372952013812e+11 
       4.859856577474e-02       5.408366322742e+11 
       4.897507343468e-02       5.444076468434e+11 
       4.936528341416e-02       5.480130387289e+11 
       4.977041547150e-02       5.516496670388e+11 
       5.019184727130e-02       5.553233714023e+11 
       5.063114125382e-02       5.590309948107e+11 
       5.109007710939e-02       5.627725379819e+11 
       5.157069121386e-02       5.665482520461e+11 
       5.207532473884e-02       5.703547983927e+11 
       5.260668260047e-02       5.741893420812e+11 
       5.316790596857e-02       5.780415519583e+11 
       5.376266173138e-02       5.819026805109e+11 
       5.439525308571e-02       5.857603887952e+11 
       5.507075623133e-02       5.895893078836e+11 
       5.579518881283e-02       5.933604731189e+11 
       5.657571586202e-02       5.970256876289e+11 
       5.742089768650e-02       6.005202904417e+11 
       5.834097970785e-02       6.037511027341e+11 
       5.934821343234e-02       6.065832049716e+11 
       6.045717481105e-02       6.088290517218e+11 
       6.168500213639e-02       6.102139413545e+11 
       6.305139885400e-02       6.103629898281e+11 
       6.457813124124e-02       6.087537549732e+11 
       6.628762169395e-02       6.047041108106e+11 
       6.820020412779e-02       5.973679683050e+11 
       7.032991172427e-02       5.858159431452e+11 
       7.267957708676e-02       5.692032908279e+11 
       7.523733078155e-02       5.470441295921e+11 
       7.797703625261e-02       5.194745274125e+11 
       8.086339674103e-02       4.873698480305e+11 
       8.385936518619e-02       4.522044530459e+11 
       8.693224098888e-02       4.157451112794e+11 
       9.005653912299e-02       3.797030044481e+11 
       9.321406240280e-02       3.454710425419e+11 
       9.639256516818e-02       3.140056931319e+11 
       9.958412030092e-02       2.858032812253e+11 
       1.027837215327e-01       2.609703500404e+11 
       1.059882556848e-01       2.393127437503e+11 
       1.091958051312e-01       2.204401046505e+11 
       1.124051954598e-01       2.038597392306e+11 
       1.156157098727e-01       1.890536107539e+11 
       1.188269117079e-01       1.755390042068e+11 
       1.220385351975e-01       1.629058262767e+11 
       1.252504186121e-01       1.508501674878e+11 
       1.284624634868e-01       1.391789115160e+11 
       1.316746098044e-01       1.278102836130e+11 
       1.348868209107e-01       1.167533814973e+11 
       1.380990743498e-01       1.060843765842e+11 
       1.413113562998e-01       9.591533683053e+10 
       1.445236581937e-01       8.636640873724e+10 
       1.477359746676e-01       7.754227594584e+10 
       1.509483023142e-01       6.951636850015e+10 
       1.541606389256e-01       6.232357587093e+10 
       1.573729830324e-01       5.595966924781e+10 
       1.605853336234e-01       5.038605150143e+10 
       1.637976899743e-01       4.553731519144e+10 
       1.670100515432e-01       4.133067697002e+10 
       1.702224179064e-01       3.767444825610e+10 
       1.734347887187e-01       3.447628146920e+10 
       1.766471636885e-01       3.164906361355e+10 
       1.798595425631e-01       2.911546811898e+10 
       1.830719251176e-01       2.681313085444e+10 
       1.862843111499e-01       2.469409517670e+10 
       1.894967004750e-01       2.271539782965e+10 
       1.927090929231e-01       2.085191066076e+10 
       1.959214883371e-01       1.909092451967e+10 
       1.991338865707e-01       1.742805694736e+10 
       2.023462874878e-01       1.586565786842e+10 
       2.055586909611e-01       1.440878504271e+10 
       2.087710968713e-01       1.306271311037e+10 
       2.119835051066e-01       1.183088818398e+10 
       2.151959155620e-01       1.071390435491e+10 
       2.184083281389e-01       9.708945588561e+09 
       2.216207427441e-01       8.810659853287e+09 
       2.248331592901e-01       8.011577124433e+09 
       2.280455776944e-01       7.302790227771e+09 
       2.312579978789e-01       6.674499584780e+09 
       2.344704197699e-01       6.116634894831e+09 
       2.376828432979e-01       5.619162828102e+09 
       2.408952683968e-01       5.172628563218e+09 
       2.441076950043e-01       4.768444404519e+09 
       2.473201230612e-01       4.399359529179e+09 
       2.505325525113e-01       4.059471626084e+09 
       2.537449833015e-01       3.744352109615e+09 
       2.569574153811e-01       3.450777523306e+09 
       2.601698487021e-01       3.176693372594e+09 
       2.633822832188e-01       2.920678550859e+09 
       2.665947188878e-01       2.681957814681e+09 
       2.698071556675e-01       2.460013013927e+09 
       2.730195935187e-01       2.254560000173e+09 
       2.762320324036e-01       2.065313441182e+09 
       2.794444722864e-01       1.891925355818e+09 
       2.826569131330e-01       1.733871692315e+09 
       2.858693549106e-01       1.590442072814e+09 
       2.890817975881e-01       1.460689403770e+09 
       2.922942411355e-01       1.343494785986e+09 
       2.955066855244e-01       1.237637531713e+09 
       2.987191307275e-01       1.141850139868e+09 
       3.019315767187e-01       1.054951435985e+09 
       3.051440234729e-01       9.758007356575e+08 
       3.083564709661e-01       9.034356984657e+08 
       3.115689191755e-01       8.369704678565e+08 
       3.147813680789e-01       7.756604568860e+08 
       3.179938176552e-01       7.188848871256e+08 
       3.212062678841e-01       6.661401413656e+08 
       3.244187187462e-01       6.170354959430e+08 
       3.276311702227e-01       5.712869726980e+08 
       3.308436222956e-01       5.286745168537e+08 
       3.340560749477e-01       4.890529968620e+08 
       3.372685281623e-01       4.522805644658e+08 
       3.404809819235e-01       4.182465714445e+08 
       3.436934362158e-01       3.868188774975e+08 
       3.469058910243e-01       3.578637340913e+08 
       3.501183463350e-01       3.312310788439e+08 
       3.533308021339e-01       3.067716911590e+08 
       3.565432584078e-01       2.843394891658e+08 
       3.597557151439e-01       2.637688671238e+08 
       3.629681723300e-01       2.448995461597e+08 
       3.661806299541e-01       2.275714151717e+08 
       3.693930880047e-01       2.116275112308e+08 
       3.726055464708e-01       1.969221057772e+08 
       3.758180053416e-01       1.833231617070e+08 
       3.790304646069e-01       1.707177766973e+08 
       3.822429242566e-01       1.590098309291e+08 
       3.854553842811e-01       1.481194506169e+08 
       3.886678446711e-01       1.379775565763e+08 
       3.918803054174e-01       1.285312561691e+08 
       3.950927665115e-01       1.197274816476e+08 
       3.983052279449e-01       1.115240869989e+08 
       4.015176897093e-01       1.038799324158e+08 
       4.047301517969e-01       9.676784259063e+07 
       4.079426142000e-01       9.015306184623e+07 
       4.111550769112e-01       8.401113742886e+07 
       4.143675399232e-01       7.831342536637e+07 
       4.175800032292e-01       7.302956298225e+07 
       4.207924668224e-01       6.813187613588e+07 
       4.240049306961e-01       6.359185707556e+07 
       4.272173948441e-01       5.938126086701e+07 
       4.304298592602e-01       5.547461484064e+07 
       4.336423239383e-01       5.184818815158e+07 
       4.368547888728e-01       4.847894842259e+07 
       4.400672540580e-01       4.534672786035e+07 
       4.432797194884e-01       4.243195294263e+07 
       4.464921851586e-01       3.971529441623e+07 
       4.497046510636e-01       3.718140261045e+07 
       4.529171171983e-01       3.481478933579e+07 
       4.561295835579e-01       3.260305309534e+07 
       4.593420501375e-01       3.053524088724e+07 
       4.625545169327e-01       2.860178462917e+07 
       4.657669839389e-01       2.679407478240e+07 
       4.689794511518e-01       2.510407217909e+07 
       4.721919185672e-01       2.352430248574e+07 
       4.754043861809e-01       2.204773937898e+07 
       4.786168539889e-01       2.066793854472e+07 
       4.818293219873e-01       1.937896822398e+07 
       4.850417901724e-01       1.817527971404e+07 
       4.882542585404e-01       1.705159337857e+07 
       4.914667270878e-01       1.600271427894e+07 
       4.946791958110e-01       1.502348465252e+07 
       4.978916647066e-01       1.410886170280e+07 
       5.011041337713e-01       1.325400432679e+07 
       5.043166030018e-01       1.245443024506e+07 
       5.075290723951e-01       1.170606415078e+07 
       5.107415419479e-01       1.100524786108e+07 
       5.323232474979e-01       7.304188639526e+06 
       5.558856393871e-01       4.710973583260e+06 
       5.819182050586e-01       2.941191087140e+06 
       6.111246866935e-01       1.758301976939e+06 
       6.445627369324e-01       9.928882528539e+05 
       6.839110356034e-01       5.186243905467e+05 
       7.320195272809e-01       2.419305238174e+05 
       7.941364823484e-01       9.474100763397e+04 
       8.808082254058e-01       2.764675979049e+04 
       1.014103398711e+00       4.801499657834e+03 
       1.230066632953e+00       4.440780156187e+02 
       1.541552113384e+00       5.505203738472e+01 
       1.940483214862e+00       2.337130689157e+01 
       2.442922246819e+00       1.302069804265e+01 
       3.075456894154e+00       7.359908007690e+00 
       3.871770836928e+00       4.133339680920e+00 
       4.874270695252e+00       2.306983210459e+00 
