# Matter power spectrum P(k) at redshift z=0
# for k=9.45519e-06 to 4.88563 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349864210011e-02       4.346158944062e+09 
       1.362770647836e-02       4.644779349504e+09 
       1.375680717156e-02       4.958764733374e+09 
       1.388594429192e-02       5.288592675873e+09 
       1.401511797469e-02       5.634747448386e+09 
       1.414432837784e-02       5.997710566847e+09 
       1.427357568169e-02       6.377962443619e+09 
       1.440286008862e-02       6.775985696755e+09 
       1.453218182278e-02       7.192254884634e+09 
       1.466154112989e-02       7.627254035787e+09 
       1.479093827699e-02       8.081516632016e+09 
       1.492037355229e-02       8.555316859431e+09 
       1.504984726501e-02       9.049499783225e+09 
       1.517935974523e-02       9.563936512562e+09 
       1.530891134381e-02       1.009959826873e+10 
       1.543850243231e-02       1.065679303774e+10 
       1.556813340294e-02       1.123592229541e+10 
       1.569780466849e-02       1.183747046533e+10 
       1.582751666237e-02       1.246186015571e+10 
       1.595726983859e-02       1.310949687716e+10 
       1.608706467180e-02       1.378102846462e+10 
       1.621690165733e-02       1.447625312669e+10 
       1.634678131127e-02       1.519638801865e+10 
       1.647670417056e-02       1.594120569049e+10 
       1.660667079310e-02       1.671130055031e+10 
       1.673668175786e-02       1.750684099632e+10 
       1.686673766504e-02       1.832859205039e+10 
       1.699683913621e-02       1.917671270871e+10 
       1.712698681451e-02       2.005153929247e+10 
       1.725718136487e-02       2.095341485138e+10 
       1.738742347415e-02       2.188265212267e+10 
       1.751771385142e-02       2.283952387489e+10 
       1.764805322823e-02       2.382437401746e+10 
       1.777844235881e-02       2.483745332546e+10 
       1.790888202039e-02       2.587906138643e+10 
       1.803937301349e-02       2.694939903644e+10 
       1.816991616224e-02       2.804900248582e+10 
       1.830051231469e-02       2.917736984661e+10 
       1.843116234318e-02       3.033563626416e+10 
       1.856186714467e-02       3.152309471833e+10 
       1.869262764116e-02       3.274087067283e+10 
       1.882344478007e-02       3.398813700137e+10 
       1.895431953464e-02       3.526583232790e+10 
       1.908525290439e-02       3.657382435706e+10 
       1.921624591553e-02       3.791226847384e+10 
       1.934729962148e-02       3.928122751458e+10 
       1.947841510330e-02       4.068083288478e+10 
       1.960959347024e-02       4.211118574994e+10 
       1.974083586023e-02       4.357234423175e+10 
       1.987214344042e-02       4.506432516483e+10 
       2.000351740779e-02       4.658745633568e+10 
       2.013495898964e-02       4.814100529760e+10 
       2.026646944428e-02       4.972599836551e+10 
       2.039805006160e-02       5.134131958462e+10 
       2.052970216372e-02       5.298783912773e+10 
       2.066142710566e-02       5.466521403628e+10 
       2.079322627600e-02       5.637340663027e+10 
       2.092510109763e-02       5.811240394999e+10 
       2.105705302845e-02       5.988195801032e+10 
       2.118908356212e-02       6.168214010644e+10 
       2.132119422885e-02       6.351275365784e+10 
       2.145338659619e-02       6.537386269123e+10 
       2.158566226987e-02       6.726524274430e+10 
       2.171802289465e-02       6.918630377490e+10 
       2.185047015521e-02       7.113743811107e+10 
       2.198300577702e-02       7.311869811661e+10 
       2.211563152732e-02       7.512890403695e+10 
       2.224834921606e-02       7.716870583948e+10 
       2.238116069693e-02       7.923801520258e+10 
       2.251406786832e-02       8.133557263536e+10 
       2.264707267446e-02       8.346211163742e+10 
       2.278017710646e-02       8.561744982156e+10 
       2.291338320344e-02       8.780024953953e+10 
       2.304669305371e-02       9.001133081065e+10 
       2.318010879598e-02       9.224998735397e+10 
       2.331363262055e-02       9.451604549685e+10 
       2.344726677063e-02       9.680941267465e+10 
       2.358101354361e-02       9.912898060962e+10 
       2.371487529249e-02       1.014752296119e+11 
       2.384885442720e-02       1.038474478632e+11 
       2.398295341608e-02       1.062457232868e+11 
       2.411717478737e-02       1.086691662674e+11 
       2.425152113078e-02       1.111175040958e+11 
       2.438599509900e-02       1.135907108816e+11 
       2.452059940941e-02       1.160880385382e+11 
       2.465533684574e-02       1.186099685806e+11 
       2.479021025983e-02       1.211550058622e+11 
       2.492522257344e-02       1.237225412986e+11 
       2.506037678007e-02       1.263142561699e+11 
       2.519567594697e-02       1.289269519322e+11 
       2.533112321703e-02       1.315621636445e+11 
       2.546672181093e-02       1.342192109270e+11 
       2.560247502920e-02       1.368971289084e+11 
       2.573838625445e-02       1.395958041816e+11 
       2.587445895361e-02       1.423145547973e+11 
       2.601069668034e-02       1.450534997842e+11 
       2.614710307740e-02       1.478115650941e+11 
       2.628368187918e-02       1.505891836220e+11 
       2.642043691432e-02       1.533845795669e+11 
       2.655737210840e-02       1.561980039243e+11 
       2.669449148669e-02       1.590303913620e+11 
       2.683179917711e-02       1.618787554137e+11 
       2.696929941314e-02       1.647438915248e+11 
       2.710699653695e-02       1.676261192895e+11 
