# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40      -3.023631566142e-07       2.443246573811e-09      -4.104824299335e-11       2.452832554483e-09       3.647735133989e-04       3.244655573817e-05       5.027276922642e-12 
   41      -4.891574274934e-07       2.561096337682e-09      -2.398534296977e-11       2.575384667898e-09       3.553078667412e-04       3.196131028739e-05       5.953648897283e-12 
   42      -6.330752389595e-07       2.681628595824e-09      -5.097054071477e-12       2.700488271309e-09       3.462661545141e-04       3.148234302448e-05       6.287675182662e-12 
   43      -7.239533246941e-07       2.805008488513e-09       1.521755550138e-11       2.828116859158e-09       3.375810751306e-04       3.100781143080e-05       5.722911499733e-12 
   44      -7.574384624426e-07       2.931396085572e-09       3.649423914404e-11       2.958277097719e-09       3.292591996808e-04       3.053946199213e-05       4.483252078565e-12 
   45      -7.312802513781e-07       3.060968219076e-09       5.818656806578e-11       3.090992799160e-09       3.213093572281e-04       3.007908684697e-05       3.000750712826e-12 
   46      -6.439529527174e-07       3.193927599386e-09       7.965655520355e-11       3.226299263663e-09       3.137139297788e-04       2.962709278316e-05       1.795693786318e-12 
   47      -4.947158694050e-07       3.330504076797e-09       1.001699903590e-10       3.364244025331e-09       3.064266502826e-04       2.918237492045e-05       1.481593635183e-12 
   48      -2.846711850172e-07       3.470923697932e-09       1.189611080227e-10       3.504886792923e-09       2.993911729342e-04       2.874318151326e-05       2.551699073437e-12 
   49      -2.014920751455e-08       3.615302616556e-09       1.354590314701e-10       3.648297511865e-09       2.926081121753e-04       2.831029136789e-05       4.655712632905e-12 
   50       2.896188766746e-07       3.763725445165e-09       1.491171457247e-10       3.794559037494e-09       2.860831178848e-04       2.788451507266e-05       7.127767926501e-12 
   51       6.333066143504e-07       3.916274477136e-09       1.593482382453e-10       3.943768580018e-09       2.798066389258e-04       2.746570819238e-05       9.181109214731e-12 
   52       9.973810150815e-07       4.073029305242e-09       1.655233714442e-10       4.096038409344e-09       2.737527809575e-04       2.705269551820e-05       9.901937684399e-12 
   53       1.367457430065e-06       4.234039203433e-09       1.669364947726e-10       4.251482061015e-09       2.678904628821e-04       2.664399998442e-05       8.484544856550e-12 
   54       1.733029340743e-06       4.399232812706e-09       1.626901931639e-10       4.410167167360e-09       2.622228833551e-04       2.624042383765e-05       5.021861650381e-12 
   55       2.083760873028e-06       4.568484566726e-09       1.517785945801e-10       4.572151725630e-09       2.567562121362e-04       2.584299917515e-05      -9.253169277532e-14 
   56       2.408078430379e-06       4.741638406591e-09       1.331165526007e-10       4.737497629927e-09       2.514875673488e-04       2.545220030907e-05      -6.384025092884e-12 
   57       2.693120897104e-06       4.918506257341e-09       1.055370824452e-10       4.906270768117e-09       2.464043889586e-04       2.506790175487e-05      -1.329301549173e-11 
   58       2.924689841671e-06       5.098866504479e-09       6.778879699611e-11       5.078541118734e-09       2.414838122517e-04       2.468933621992e-05      -2.017094371348e-11 
   59       3.089935479751e-06       5.282467452517e-09       1.929301022823e-11       5.254365464664e-09       2.367007742482e-04       2.431556465653e-05      -2.641837950216e-11 
   60       3.186256057714e-06       5.469042098660e-09      -3.737381304932e-11       5.433730626270e-09       2.320559542399e-04       2.394710930913e-05      -3.194572445286e-11 
   61       3.214380835283e-06       5.658294103566e-09      -9.838951511754e-11       5.616597193156e-09       2.275532261212e-04       2.358462633394e-05      -3.681268387193e-11 
   62       3.175858105067e-06       5.849891784036e-09      -1.593725099906e-10       5.802915265970e-09       2.231911722254e-04       2.322840292937e-05      -4.109646027822e-11 
   63       3.073098133488e-06       6.043466758411e-09      -2.153585959557e-10       5.992623964056e-09       2.189627528350e-04       2.287833268261e-05      -4.489260545601e-11 
   64       2.909416101706e-06       6.238612591971e-09      -2.607777681124e-10       6.185650933099e-09       2.148549756918e-04       2.253389091627e-05      -4.831587250805e-11 
   65       2.689892451097e-06       6.434958754546e-09      -2.906634492659e-10       6.381914044863e-09       2.108537332624e-04       2.219444396498e-05      -5.145654711377e-11 
   66       2.424069245140e-06       6.632413740958e-09      -3.046299220435e-10       6.581328020713e-09       2.069602475792e-04       2.186030851008e-05      -5.423677823342e-11 
   67       2.123903298399e-06       6.830971169940e-09      -3.036982872395e-10       6.783798334858e-09       2.031775276415e-04       2.153187318639e-05      -5.652525395493e-11 
   68       1.803063735946e-06       7.030639753222e-09      -2.891494487095e-10       6.989218723052e-09       1.995053265105e-04       2.120926942207e-05      -5.817865153038e-11 
   69       1.476997798752e-06       7.231444047565e-09      -2.625353991510e-10       7.197470751560e-09       1.959399553720e-04       2.089235612597e-05      -5.904124409198e-11 
   70       1.162996649068e-06       7.433425206795e-09      -2.256905058831e-10       7.408423386118e-09       1.924740975990e-04       2.058070437493e-05      -5.894450736814e-11 
   71       8.802611758204e-07       7.636641733838e-09      -1.807427966280e-10       7.621932560898e-09       1.890966228146e-04       2.027358210114e-05      -5.770672639959e-11 
   72       6.467632985743e-07       7.841212524966e-09      -1.298770863498e-10       7.837868435886e-09       1.857962643485e-04       1.997025608231e-05      -5.520275482918e-11 
   73       4.689861572521e-07       8.047453896738e-09      -7.454663978456e-11       8.056204184064e-09       1.825738820154e-04       1.967099904950e-05      -5.158966880042e-11 
   74       3.503243038115e-07       8.255770342880e-09      -1.612987820753e-11       8.276943547321e-09       1.794322281181e-04       1.937624912124e-05      -4.712391825406e-11 
   75       2.941064771671e-07       8.466616260967e-09       4.382934489649e-11       8.500094855795e-09       1.763721965434e-04       1.908630169808e-05      -4.209620000965e-11 
   76       3.035882464443e-07       8.680497670033e-09       1.036161237821e-10       8.725671228993e-09       1.733927250305e-04       1.880130139422e-05      -3.683266613849e-11 
   77       3.819446542338e-07       8.897973928182e-09       1.613388803924e-10       8.953690776909e-09       1.704906974387e-04       1.852123396927e-05      -3.169613233665e-11 
   78       5.322628598463e-07       9.119659450196e-09       2.149237443074e-10       9.184176801143e-09       1.676608460159e-04       1.824591825984e-05      -2.708728629796e-11 
   79       7.575347825667e-07       9.346225425146e-09       2.621089326935e-10       9.417157996021e-09       1.648956536659e-04       1.797499811133e-05      -2.344589608702e-11 
   80       1.058359987046e-06       9.578270323538e-09       3.007741065355e-10       9.652677008268e-09       1.621877471422e-04       1.770810656246e-05      -2.115267544590e-11 
   81       1.425611101398e-06       9.815901741449e-09       3.300066746945e-10       9.890817385510e-09       1.595377702771e-04       1.744540898636e-05      -2.021259435515e-11 
   82       1.846475237469e-06       1.005908473243e-08       3.492112781728e-10       1.013168169687e-08       1.569477060548e-04       1.718713998745e-05      -2.051851867348e-11 
   83       2.306581621292e-06       1.030776586675e-08       3.577918356954e-10       1.037538394051e-08       1.544184563228e-04       1.693343472320e-05      -2.194504672159e-11 
   84       2.789951833408e-06       1.056187251913e-08       3.551521269225e-10       1.062204989953e-08       1.519497901876e-04       1.668432402566e-05      -2.434787796878e-11 
   85       3.278950049205e-06       1.082131215659e-08       3.406963756635e-10       1.087181749790e-08       1.495402924115e-04       1.643972952306e-05      -2.756318171950e-11 
   86       3.754233279245e-06       1.108597162618e-08       3.138298330901e-10       1.112483715633e-08       1.471873118083e-04       1.619945876133e-05      -3.140696579995e-11 
   87       4.194701609596e-06       1.135571644282e-08       2.739593609501e-10       1.138127214821e-08       1.448869096401e-04       1.596320032566e-05      -3.567444524468e-11 
   88       4.577448442163e-06       1.163039007704e-08       2.204940147801e-10       1.164129895549e-08       1.426338080131e-04       1.573051896206e-05      -4.013941098312e-11 
   89       4.882439433720e-06       1.190976753103e-08       1.534026650000e-10       1.190506723557e-08       1.404229853359e-04       1.550100190480e-05      -4.460401312225e-11 
   90       5.107498935479e-06       1.219340927335e-08       7.498583540861e-11       1.217257174918e-08       1.382548620025e-04       1.527473479873e-05      -4.905843671929e-11 
   91       5.255593696678e-06       1.248078297254e-08      -1.161582406006e-11       1.244376090440e-08       1.361308368834e-04       1.505189179291e-05      -5.354522732577e-11 
   92       5.330334231825e-06       1.277130579164e-08      -1.029450287133e-10       1.271857511157e-08       1.340516861263e-04       1.483258840404e-05      -5.811122841374e-11 
   93       5.335995902962e-06       1.306434299114e-08      -1.952189307498e-10       1.299694653409e-08       1.320175362280e-04       1.461687890326e-05      -6.280770533716e-11 
   94       5.277540001920e-06       1.335920653199e-08      -2.843201909092e-10       1.327879883925e-08       1.300278371051e-04       1.440475370297e-05      -6.769046929336e-11 
   95       5.160634832578e-06       1.365515367850e-08      -3.657880501222e-10       1.356404694909e-08       1.280813351659e-04       1.419613674363e-05      -7.282000128447e-11 
   96       4.991676793128e-06       1.395138560136e-08      -4.348094011601e-10       1.385259679117e-08       1.261760463813e-04       1.399088288059e-05      -7.826157607884e-11 
   97       4.777811458325e-06       1.424704598059e-08      -4.862098602848e-10       1.414434504946e-08       1.243092293564e-04       1.378877527088e-05      -8.408538617246e-11 
   98       4.526954661753e-06       1.454121960849e-08      -5.144448388985e-10       1.443917891513e-08       1.224773584018e-04       1.358952276001e-05      -9.036666575041e-11 
   99       4.247715436965e-06       1.483319090810e-08      -5.150570671869e-10       1.473698900847e-08       1.206771463789e-04       1.339285791141e-05      -9.717285991040e-11 
  100       3.949106815193e-06       1.512326428920e-08      -4.893040240920e-10       1.503771077157e-08       1.189088367553e-04       1.319885258641e-05      -1.045227907156e-10 
  101       3.640833038565e-06       1.541205793396e-08      -4.401724059093e-10       1.534128850296e-08       1.171733299845e-04       1.300764241686e-05      -1.124219107411e-10 
  102       3.333403688075e-06       1.570025597899e-08      -3.709788829471e-10       1.564766262119e-08       1.154711613067e-04       1.281932877463e-05      -1.208747091739e-10 
  103       3.038153576253e-06       1.598861026888e-08      -2.853789463519e-10       1.595676957526e-08       1.138024865447e-04       1.263397737833e-05      -1.298846787469e-10 
  104       2.767262639834e-06       1.627794210958e-08      -1.873757549337e-10       1.626854175516e-08       1.121670678993e-04       1.245161690000e-05      -1.394542826738e-10 
  105       2.533775832430e-06       1.656914402189e-08      -8.132898199191e-11       1.658290740230e-08       1.105642597460e-04       1.227223757189e-05      -1.495849215825e-10 
  106       2.351623017196e-06       1.686318149491e-08       2.803633785953e-11       1.689979052001e-08       1.089929944302e-04       1.209578979313e-05      -1.602769004502e-10 
  107       2.235638859503e-06       1.716109473949e-08       1.356209618665e-10       1.721911078401e-08       1.074517680632e-04       1.192218273649e-05      -1.715293955373e-10 
  108       2.201582719607e-06       1.746400044172e-08       2.359425923092e-10       1.754078345291e-08       1.059386263183e-04       1.175128295505e-05      -1.833404213219e-10 
  109       2.266158545320e-06       1.777309351632e-08       3.231270296767e-10       1.786471927863e-08       1.044511502264e-04       1.158291298897e-05      -1.957067974339e-10 
  110       2.442098808123e-06       1.808938663460e-08       3.921332769159e-10       1.819085515556e-08       1.029871423849e-04       1.141691143246e-05      -2.086237080229e-10 
  111       2.722658568864e-06       1.841288715909e-08       4.426260296218e-10       1.851925071793e-08       1.015468158700e-04       1.125332486103e-05      -2.220833867102e-10 
  112       3.095164984996e-06       1.874331766584e-08       4.755845299036e-10       1.885000399474e-08       1.001308601790e-04       1.109223797364e-05      -2.360762006763e-10 
  113       3.545747585374e-06       1.908036793967e-08       4.921161603518e-10       1.918322198643e-08       9.873975862186e-05       1.093371354784e-05      -2.505910065357e-10 
  114       4.059309652298e-06       1.942369415045e-08       4.934597244961e-10       1.951902087739e-08       9.737378100141e-05       1.077779165057e-05      -2.656151132657e-10 
  115       4.619499603547e-06       1.977291802943e-08       4.809887272632e-10       1.985752624860e-08       9.603297629244e-05       1.062448884886e-05      -2.811342451352e-10 
  116       5.208682374427e-06       2.012762604550e-08       4.562146554346e-10       2.019887329018e-08       9.471716532140e-05       1.047379742067e-05      -2.971325046334e-10 
  117       5.807910799806e-06       2.048736858156e-08       4.207902581044e-10       2.054320701395e-08       9.342593344588e-05       1.032568456554e-05      -3.135923353986e-10 
  118       6.396896996154e-06       2.085165911075e-08       3.765128271370e-10       2.089068246604e-08       9.215862323421e-05       1.018009161542e-05      -3.304944851466e-10 
  119       6.953983743589e-06       2.121997337279e-08       3.253274776249e-10       2.124146493945e-08       9.091432714493e-05       1.003693324537e-05      -3.478179686001e-10 
  120       7.456115867910e-06       2.159174855028e-08       2.693304283466e-10       2.159573018660e-08       8.969188020637e-05       9.896096684363e-06      -3.655400304166e-10 
  121       7.878811622643e-06       2.196638244498e-08       2.107722822244e-10       2.195366463198e-08       8.848985269618e-05       9.757440925992e-06      -3.836361081180e-10 
  122       8.196134071077e-06       2.234323265414e-08       1.520613067820e-10       2.231546558465e-08       8.730654282082e-05       9.620795939248e-06      -4.020797950185e-10 
  123       8.387154414425e-06       2.272173608001e-08       9.538272630516e-11       2.268129049098e-08       8.614042959772e-05       9.486010855134e-06      -4.208525836517e-10 
  124       8.456243693011e-06       2.310178475907e-08       4.150008771000e-11       2.305109763875e-08       8.499160600612e-05       9.353106475865e-06      -4.399744424515e-10 
  125       8.415069156207e-06       2.348339185747e-08      -9.178265595053e-12       2.342478746823e-08       8.386049744994e-05       9.222138880395e-06      -4.594766982711e-10 
  126       8.276333342157e-06       2.386657532687e-08      -5.622728247202e-11       2.380225170650e-08       8.274741264041e-05       9.093151618083e-06      -4.793926099826e-10 
  127       8.053796537278e-06       2.425135802740e-08      -9.920494474658e-11       2.418337317908e-08       8.165253989645e-05       8.966175304775e-06      -4.997574083568e-10 
  128       7.762299235771e-06       2.463776785081e-08      -1.376520079014e-10       2.456802562159e-08       8.057594344495e-05       8.841227218892e-06      -5.206083359434e-10 
  129       7.417784599130e-06       2.502583784349e-08      -1.710917417691e-10       2.495607349134e-08       7.951755972114e-05       8.718310897514e-06      -5.419846869507e-10 
  130       7.037320915646e-06       2.541560632952e-08      -1.990296712261e-10       2.534737177901e-08       7.847719366886e-05       8.597415732470e-06      -5.639278471258e-10 
  131       6.639124059919e-06       2.580711703377e-08      -2.209533168851e-10       2.574176582024e-08       7.745451504097e-05       8.478516566422e-06      -5.864813336340e-10 
  132       6.242579952363e-06       2.620041920492e-08      -2.363319357890e-10       2.613909110729e-08       7.644905469960e-05       8.361573288947e-06      -6.096908349395e-10 
  133       5.868267018714e-06       2.659556773856e-08      -2.446162621037e-10       2.653917310068e-08       7.546020091652e-05       8.246530432630e-06      -6.336042506847e-10 
  134       5.537978649538e-06       2.699262330022e-08      -2.452382478116e-10       2.694182704080e-08       7.448719567344e-05       8.133316769145e-06      -6.582717315703e-10 
  135       5.274745659740e-06       2.739165244845e-08      -2.376108034047e-10       2.734685775955e-08       7.352913096237e-05       8.021844905343e-06      -6.837457192357e-10 
  136       5.102858748072e-06       2.779272775788e-08      -2.211275385782e-10       2.775405949199e-08       7.258494508593e-05       7.912010879337e-06      -7.100809861380e-10 
  137       5.042193448249e-06       2.819592437567e-08      -1.953750870038e-10       2.816326445975e-08       7.165370166708e-05       7.803722897985e-06      -7.373136298166e-10 
  138       5.090474660850e-06       2.860130902835e-08      -1.607954266039e-10       2.857449469395e-08       7.073546709482e-05       7.696991760545e-06      -7.653955180407e-10 
  139       5.239210910296e-06       2.900895010543e-08      -1.180919230341e-10       2.898782563880e-08       6.983051728384e-05       7.591849069706e-06      -7.942531041342e-10 
  140       5.479213607121e-06       2.941892122349e-08      -6.802397497578e-11       2.940333890949e-08       6.893906122438e-05       7.488318712841e-06      -8.238077710994e-10 
  141       5.800583344301e-06       2.983130132650e-08      -1.140810414200e-11       2.982112241341e-08       6.806123907699e-05       7.386416643059e-06      -8.539757379166e-10 
  142       6.192696193588e-06       3.024617478636e-08       5.088095471797e-11       3.024127047134e-08       6.719712026727e-05       7.286150660255e-06      -8.846679658435e-10 
