# logA n_s H0 omega_b omega_cdm tau_reio
2.12330174e+00 8.36593394e-01 6.77486784e+01 2.11540625e-02 1.14963040e-01 1.72976240e-01
2.29440730e+00 9.76303563e-01 7.70223156e+01 3.22629292e-02 1.41536048e-01 5.78547179e-01
3.29448597e+00 9.66268655e-01 7.00278933e+01 2.42866729e-02 1.19604566e-01 4.67168130e-01
2.47558658e+00 8.83111182e-01 6.87487270e+01 2.30378026e-02 1.19422874e-01 5.06770910e-01
2.50024526e+00 9.13261802e-01 7.51752511e+01 3.13595867e-02 1.34111439e-01 7.31673453e-01
1.69475625e+00 1.15347922e+00 6.99018850e+01 2.35380866e-02 1.25187975e-01 4.83169345e-01
2.74088577e+00 8.39941760e-01 7.20780858e+01 2.72757867e-02 1.25270083e-01 7.65978934e-01
2.16500898e+00 9.38684612e-01 6.81822294e+01 2.20691006e-02 1.15799393e-01 4.69009706e-01
3.67836029e+00 1.17699145e+00 6.76773886e+01 2.12240628e-02 1.15133273e-01 3.88499745e-01
2.63974335e+00 1.17960074e+00 7.64295260e+01 3.28378700e-02 1.44749826e-01 5.61636968e-01
3.26825904e+00 8.92517267e-01 7.67940446e+01 3.16232158e-02 1.45208759e-01 9.50985030e-02
3.14432873e+00 1.09332534e+00 7.71186573e+01 3.26332122e-02 1.49756329e-01 7.38952546e-01
3.35701258e+00 1.02518946e+00 7.29599201e+01 2.82618884e-02 1.25758701e-01 6.70780860e-01
3.00023592e+00 8.43048048e-01 7.41943547e+01 2.91726824e-02 1.34708801e-01 7.29388865e-01
2.75109987e+00 8.30484433e-01 7.45272355e+01 2.95665427e-02 1.35227455e-01 6.44015145e-01
3.51109463e+00 8.95792951e-01 6.59854585e+01 1.92443668e-02 1.08788109e-01 5.33206716e-01
2.11954883e+00 9.62081581e-01 6.62844690e+01 1.95509592e-02 1.09060380e-01 2.23280198e-01
2.52603720e+00 8.27030117e-01 7.16791292e+01 2.64242923e-02 1.29865593e-01 6.89829750e-01
2.07371582e+00 9.80338270e-01 7.35642605e+01 2.94409024e-02 1.29737653e-01 1.80786520e-01
2.27156200e+00 8.13813963e-01 6.45958927e+01 1.73336839e-02 1.06507281e-01 4.63977693e-02
3.45707665e+00 9.45013099e-01 7.36219309e+01 2.73849634e-02 1.34735206e-01 3.30731110e-01
2.72867826e+00 1.10879219e+00 7.16447911e+01 2.59963073e-02 1.24573775e-01 1.12991972e-01
2.68109400e+00 8.11608354e-01 7.71465065e+01 3.22799612e-02 1.55289395e-01 3.79005935e-01
2.60865320e+00 1.08024588e+00 7.55158708e+01 3.10648037e-02 1.37991743e-01 6.76683834e-01
2.63090886e+00 8.54672387e-01 6.94265269e+01 2.21566725e-02 1.33460414e-01 5.71394761e-01
1.90028321e+00 1.09356739e+00 7.29104062e+01 2.71245196e-02 1.31265990e-01 3.57372883e-01
2.75986968e+00 8.07417979e-01 7.31949389e+01 2.80437287e-02 1.32623855e-01 7.02492530e-01
3.39969932e+00 1.04438309e+00 7.22846117e+01 2.70643471e-02 1.27278089e-01 5.68215119e-01
3.44278568e+00 9.79628113e-01 7.30854211e+01 2.87408243e-02 1.17128947e-01 3.78934220e-01
2.70817473e+00 8.75854817e-01 7.59650118e+01 3.06981622e-02 1.36270769e-01 7.59193231e-01
3.31104768e+00 1.07264250e+00 7.14805957e+01 2.46908064e-02 1.26913014e-01 7.47102518e-02
2.67821705e+00 1.03038964e+00 6.82116390e+01 2.14102602e-02 1.18966627e-01 4.54418015e-01
3.20484389e+00 9.04649827e-01 6.85811696e+01 2.20001251e-02 1.09366742e-01 1.63610781e-01
2.95886248e+00 1.19073042e+00 7.30723219e+01 2.85631714e-02 1.28731636e-01 1.99654873e-01
3.60674573e+00 8.66426327e-01 7.57481945e+01 3.12373986e-02 1.37408204e-01 7.12511113e-01
3.10987582e+00 9.96771394e-01 6.87951262e+01 2.23216786e-02 1.15735261e-01 5.04926474e-01
3.10637435e+00 1.19893765e+00 6.43581336e+01 1.73456667e-02 1.05476317e-01 3.40936752e-01
3.01109297e+00 1.02344040e+00 6.51028691e+01 1.88470955e-02 1.04446610e-01 4.64857282e-01
2.17694842e+00 1.06005529e+00 6.80151868e+01 2.11437568e-02 1.19517087e-01 1.27499624e-01
1.98360249e+00 1.02611538e+00 7.59706147e+01 3.12842033e-02 1.42764213e-01 6.49869590e-01
1.74782510e+00 1.06792561e+00 6.29115032e+01 1.54348134e-02 1.00443644e-01 2.91365478e-01
2.53716699e+00 1.13206320e+00 7.73850865e+01 3.19778887e-02 1.48429263e-01 3.56475997e-01
2.05615795e+00 9.32980065e-01 6.56475335e+01 1.81763660e-02 1.07830097e-01 5.50028218e-01
3.67463901e+00 8.21595203e-01 7.26973327e+01 2.78344423e-02 1.28623927e-01 5.91609605e-01
2.68953208e+00 1.11606928e+00 5.82163977e+01 1.02932345e-02 8.96715842e-02 1.77889888e-01
3.23215055e+00 1.04538011e+00 7.69241535e+01 3.15257701e-02 1.45721591e-01 7.55069410e-01
2.52437742e+00 1.06341139e+00 6.90454995e+01 2.26901564e-02 1.18659181e-01 4.13436910e-01
3.03700093e+00 1.15574939e+00 6.37981595e+01 1.61469190e-02 1.04959266e-01 1.24654444e-01
3.28182963e+00 1.19043914e+00 7.51262240e+01 3.08555662e-02 1.28566610e-01 4.19634089e-02
3.02685384e+00 9.30022954e-01 7.59831803e+01 3.14443143e-02 1.39877499e-01 3.60607509e-01
2.97243597e+00 1.13535453e+00 5.74626771e+01 9.53736734e-03 8.73715656e-02 2.94071292e-01
1.62390496e+00 1.03520331e+00 7.67580525e+01 3.25410038e-02 1.42549812e-01 7.71823940e-01
3.76612060e+00 8.38270097e-01 7.70858546e+01 3.23259237e-02 1.46854354e-01 2.92019165e-01
3.77367931e+00 8.18778117e-01 6.85114346e+01 2.22150638e-02 1.17666528e-01 6.72413142e-01
1.78458269e+00 9.56238430e-01 6.99402850e+01 2.35988211e-02 1.16278719e-01 1.13569891e-01
2.69869142e+00 9.40080693e-01 7.65008346e+01 3.24999991e-02 1.41390089e-01 4.94140515e-01
3.01109297e+00 1.02344040e+00 6.51028691e+01 1.88470955e-02 1.04446610e-01 4.64857282e-01
3.70414813e+00 1.09919091e+00 5.73909650e+01 9.35267691e-03 8.69378139e-02 1.55393160e-01
1.73217643e+00 1.12204878e+00 6.62004515e+01 1.90952252e-02 1.10657105e-01 5.42402338e-02
2.88810991e+00 8.71366404e-01 6.73804966e+01 2.03187791e-02 1.15239316e-01 6.02497896e-01
1.63706115e+00 9.12335192e-01 7.34288097e+01 2.84043557e-02 1.28172146e-01 4.13295944e-01
2.84821265e+00 1.10428356e+00 5.93269419e+01 1.16667170e-02 8.98420323e-02 4.21309483e-01
2.28485943e+00 1.06934380e+00 6.84001596e+01 2.19013087e-02 1.17540240e-01 2.36105980e-01
1.98480475e+00 1.13593757e+00 7.33940342e+01 2.83742117e-02 1.31130866e-01 1.11850857e-02
1.97648058e+00 1.19219311e+00 6.66477930e+01 1.93594070e-02 1.20251297e-01 3.56097897e-01
2.37301216e+00 1.04296697e+00 7.23416206e+01 2.70657166e-02 1.30345302e-01 6.06059336e-01
2.71894819e+00 9.37909185e-01 7.38164655e+01 2.87744638e-02 1.29625784e-01 6.09602932e-01
3.58792487e+00 1.16320392e+00 7.33968521e+01 2.86649336e-02 1.30058663e-01 2.82484797e-01
2.07546535e+00 1.18258846e+00 7.23065127e+01 2.68835404e-02 1.28985641e-01 3.72143250e-01
1.90587680e+00 1.18282482e+00 6.47458693e+01 1.74712961e-02 1.01054691e-01 3.80400190e-01
2.01346711e+00 1.19077155e+00 7.45066653e+01 3.05661511e-02 1.26290702e-01 4.26458962e-01
3.88267393e+00 8.81556225e-01 7.45244452e+01 2.90748818e-02 1.37824896e-01 7.02555732e-02
2.43359158e+00 8.78147321e-01 6.70616912e+01 2.00691636e-02 1.09687496e-01 5.87555627e-01
2.24565663e+00 1.16775237e+00 5.58288426e+01 7.41139438e-03 8.37782062e-02 7.28955063e-02
3.68253967e+00 1.14660032e+00 7.00602644e+01 2.56779411e-02 1.17728608e-01 5.67039968e-01
2.97546826e+00 8.41729464e-01 6.88320359e+01 2.24353401e-02 1.19312190e-01 8.25134218e-02
2.47713219e+00 1.16220032e+00 7.18807056e+01 2.66596402e-02 1.16796070e-01 7.31531084e-01
3.71996469e+00 9.54661651e-01 7.18750668e+01 2.55494699e-02 1.28047895e-01 5.50635969e-02
3.47590528e+00 1.13333844e+00 6.82671967e+01 2.23585674e-02 1.07307536e-01 3.31841748e-01
2.21869116e+00 1.15239590e+00 7.50309898e+01 3.06208295e-02 1.31362130e-01 2.53002543e-01
3.75702620e+00 9.65854984e-01 6.82717464e+01 2.13140483e-02 1.19366880e-01 6.80217053e-01
2.11155725e+00 1.16885504e+00 6.76603895e+01 2.11730615e-02 1.19899478e-01 4.80540337e-01
3.16267762e+00 8.59692117e-01 6.73045894e+01 2.08344216e-02 1.19903978e-01 5.44795057e-01
1.74252621e+00 9.17635724e-01 7.48086778e+01 2.98400942e-02 1.28196225e-01 6.92844911e-01
3.66815181e+00 1.07194770e+00 7.47291444e+01 2.89974081e-02 1.32868774e-01 7.21178169e-01
3.54092679e+00 1.13682171e+00 7.24748442e+01 2.79972951e-02 1.23511481e-01 2.90591210e-01
2.62481192e+00 8.29886653e-01 6.67284609e+01 1.94536257e-02 1.12336900e-01 1.04670784e-01
1.94055884e+00 9.22737616e-01 7.62458163e+01 3.15385453e-02 1.45486968e-01 5.88537633e-01
2.16304442e+00 9.31290928e-01 7.10756642e+01 2.51563372e-02 1.32357096e-01 1.80397892e-01
2.65029297e+00 9.91373108e-01 7.63223514e+01 3.13110393e-02 1.40760409e-01 4.99155309e-01
2.83216178e+00 1.08177491e+00 6.84743894e+01 2.22407981e-02 1.20284463e-01 2.15326095e-01
1.79122095e+00 1.00572564e+00 6.39946749e+01 1.66549699e-02 1.05731999e-01 1.95234286e-01
1.81810268e+00 1.06591348e+00 6.69183791e+01 2.03576381e-02 1.13117267e-01 5.51651717e-01
2.34919853e+00 8.45758964e-01 6.38714872e+01 1.66151668e-02 1.01474115e-01 2.83866141e-01
3.52804322e+00 9.21400053e-01 7.02264139e+01 2.38177987e-02 1.26866901e-01 3.09626068e-01
3.78247717e+00 9.38150263e-01 6.72454951e+01 2.06303963e-02 1.11409781e-01 5.52881602e-02
1.85052171e+00 1.05430044e+00 6.52857397e+01 1.86058176e-02 1.03059544e-01 4.23739278e-01
2.59165164e+00 1.17455499e+00 6.84855590e+01 2.30324667e-02 1.27905380e-01 4.95064139e-01
2.94783294e+00 1.11783658e+00 7.13690546e+01 2.48326442e-02 1.24428646e-01 5.23060180e-01
2.62694167e+00 1.19125095e+00 7.68876368e+01 3.20488443e-02 1.39563352e-01 7.43800072e-01
2.71233824e+00 1.17344519e+00 6.47480755e+01 1.76312887e-02 1.05712187e-01 1.52394312e-01
3.31766550e+00 8.84808991e-01 7.08920785e+01 2.45562816e-02 1.30532213e-01 3.18026632e-01
3.01894766e+00 1.15083688e+00 7.13245347e+01 2.52134616e-02 1.27970079e-01 1.52145154e-01
2.11786159e+00 1.16548488e+00 7.46566432e+01 3.05935194e-02 1.32355340e-01 2.28701040e-01
1.75159442e+00 9.34341569e-01 7.56867499e+01 2.99432567e-02 1.40331410e-01 1.61234405e-02
1.92358715e+00 1.05165876e+00 6.51715329e+01 1.80751278e-02 1.18245116e-01 2.45547857e-01
2.83398409e+00 1.13145844e+00 6.78806272e+01 2.12037282e-02 1.11656374e-01 4.59378429e-01
1.79743708e+00 1.19687339e+00 6.99408028e+01 2.40315262e-02 1.24950118e-01 5.93791963e-01
2.88247561e+00 9.38699307e-01 6.45200886e+01 1.77319754e-02 1.04041714e-01 4.44587110e-01
2.61126728e+00 1.12634177e+00 7.07636496e+01 2.54125921e-02 1.17074912e-01 5.66961065e-01
3.12890412e+00 1.19981972e+00 7.63269869e+01 3.25372926e-02 1.42213219e-01 1.02608717e-01
2.47713219e+00 1.16220032e+00 7.18807056e+01 2.66596402e-02 1.16796070e-01 7.31531084e-01
1.97000167e+00 1.09628386e+00 7.52915571e+01 3.05451606e-02 1.45088015e-01 6.96645411e-01
3.59091325e+00 9.68528058e-01 6.92128746e+01 2.33642839e-02 1.12223041e-01 7.15647723e-01
3.74503413e+00 1.18276321e+00 7.37155554e+01 2.93341452e-02 1.36523860e-01 5.67327952e-01
2.73779457e+00 1.00542066e+00 6.19081072e+01 1.46870695e-02 9.66955251e-02 3.08487818e-01
3.23444356e+00 1.18814100e+00 6.36562478e+01 1.68357231e-02 1.03638980e-01 7.27052815e-02
2.98301750e+00 8.83086377e-01 6.93589721e+01 2.28516470e-02 1.23382328e-01 5.89095561e-01
3.32972823e+00 1.13177741e+00 7.08806290e+01 2.51993051e-02 1.22112173e-01 4.95504781e-01
1.79563873e+00 1.13847568e+00 6.71119113e+01 2.06904558e-02 1.14758771e-01 1.75400626e-01
3.08829286e+00 1.12723306e+00 7.09323424e+01 2.62122214e-02 1.28540014e-01 3.30055429e-01
2.36877133e+00 8.76659051e-01 7.65686966e+01 3.18078452e-02 1.43992742e-01 4.33849576e-01
2.71975170e+00 9.38036094e-01 7.68458588e+01 3.26899964e-02 1.40455939e-01 4.21479959e-01
3.31496875e+00 9.26737606e-01 7.10182538e+01 2.53438194e-02 1.26171531e-01 6.55633818e-01
1.63652873e+00 1.03643762e+00 7.12127494e+01 2.48667391e-02 1.22163277e-01 5.01784107e-02
3.03123880e+00 1.05250109e+00 7.23038444e+01 2.66079912e-02 1.28131805e-01 4.18229268e-01
1.67983831e+00 1.19003657e+00 7.16573348e+01 2.56114327e-02 1.31938027e-01 7.76641774e-02
1.85794509e+00 1.05871040e+00 7.26280482e+01 2.75322583e-02 1.29999614e-01 2.08063484e-01
1.94401567e+00 8.26258577e-01 6.09343539e+01 1.30604737e-02 9.18039192e-02 4.04501792e-02
2.11454123e+00 9.89617196e-01 6.64075575e+01 1.85798322e-02 1.07337295e-01 3.60386876e-01
3.50713782e+00 1.05055997e+00 7.55583541e+01 3.12182721e-02 1.36986762e-01 7.77360211e-01
3.82755951e+00 9.26140959e-01 5.90597885e+01 1.20323625e-02 8.94446404e-02 2.48801497e-01
2.13945901e+00 9.97434742e-01 6.42335664e+01 1.68483553e-02 1.01632255e-01 5.47874496e-01
3.51772416e+00 9.31638669e-01 7.33793658e+01 2.85500034e-02 1.30138378e-01 3.53075066e-01
3.25483974e+00 1.06927208e+00 7.65293758e+01 3.19861137e-02 1.41034441e-01 7.09803376e-01
2.36876407e+00 1.09881851e+00 7.25437370e+01 2.66313356e-02 1.29386959e-01 3.16825499e-02
3.22262179e+00 9.52304456e-01 7.50262725e+01 3.00405894e-02 1.30276242e-01 4.02818131e-01
2.97215448e+00 9.74409942e-01 7.63921611e+01 3.17287134e-02 1.45326662e-01 1.49398516e-01
3.43328214e+00 1.03047128e+00 6.50991263e+01 1.80918958e-02 1.08744528e-01 5.00436146e-01
3.57751107e+00 1.13002545e+00 7.08989708e+01 2.48734173e-02 1.30981402e-01 5.19644438e-02
1.76699877e+00 9.24362097e-01 7.44817556e+01 2.98060083e-02 1.30808815e-01 7.59393672e-01
3.33691439e+00 1.10950634e+00 6.57294372e+01 1.82392056e-02 1.12121342e-01 3.61355632e-01
2.94576982e+00 1.03412689e+00 7.14605653e+01 2.53028952e-02 1.26496361e-01 5.13312748e-01
3.27447253e+00 1.01348434e+00 6.78115918e+01 2.21985233e-02 1.14449387e-01 6.13533379e-01
2.21738355e+00 1.06830005e+00 6.85002011e+01 2.12917098e-02 1.20282070e-01 3.83988732e-01
3.52572900e+00 1.11420545e+00 7.24176144e+01 2.76121682e-02 1.21694418e-01 6.74503039e-01
3.11947537e+00 1.01711404e+00 6.51252575e+01 1.80040052e-02 1.10600530e-01 1.96455539e-01
2.08579072e+00 8.61700048e-01 6.22134222e+01 1.51486941e-02 1.03549114e-01 4.70306438e-01
3.54465767e+00 9.62526833e-01 7.61408306e+01 3.20054771e-02 1.39220366e-01 7.88266343e-01
3.19276028e+00 1.09854286e+00 6.78521507e+01 2.22479024e-02 1.10465387e-01 5.96851625e-01
2.82934593e+00 9.99472530e-01 7.27090259e+01 2.77987164e-02 1.32219305e-01 7.65029455e-01
3.90581733e+00 9.21423159e-01 6.42982700e+01 1.73386430e-02 1.01718836e-01 1.33543785e-01
3.66350967e+00 9.54927289e-01 6.83343144e+01 2.16323471e-02 1.21101723e-01 2.67456006e-01
3.30684775e+00 9.02287194e-01 7.58208697e+01 3.18592368e-02 1.31038651e-01 8.08754667e-02
2.81788641e+00 8.23074555e-01 6.91056634e+01 2.36308689e-02 1.16242186e-01 1.68258162e-02
3.71581377e+00 8.60385403e-01 7.56782834e+01 3.12693619e-02 1.41104358e-01 4.46259865e-01
2.48975506e+00 1.04402204e+00 7.54432217e+01 3.11728345e-02 1.38566582e-01 7.86782669e-01
3.89154564e+00 1.18234328e+00 7.33496015e+01 2.91273228e-02 1.23078293e-01 5.63599846e-01
3.10417269e+00 8.64198513e-01 7.58624394e+01 3.18320434e-02 1.35677976e-01 5.26681093e-01
3.66667170e+00 1.02981949e+00 7.62263326e+01 3.19103793e-02 1.42342571e-01 4.35877522e-01
2.75993613e+00 1.01855360e+00 6.55212967e+01 1.85940386e-02 1.11050192e-01 3.57744563e-01
2.71077701e+00 1.02759253e+00 6.57187420e+01 1.86893045e-02 1.06930850e-01 2.03271945e-01
3.03733811e+00 8.27806357e-01 7.28510571e+01 2.77335920e-02 1.31818925e-01 4.93754480e-01
3.48956781e+00 1.11734263e+00 7.52615015e+01 3.04090958e-02 1.41434329e-01 1.82919769e-01
3.39928834e+00 1.16033147e+00 7.42733012e+01 2.92213326e-02 1.31400013e-01 6.82460137e-01
2.55567325e+00 1.12275736e+00 7.27307354e+01 2.69498927e-02 1.31655180e-01 6.50511313e-01
2.94783294e+00 1.11783658e+00 7.13690546e+01 2.48326442e-02 1.24428646e-01 5.23060180e-01
3.05268329e+00 8.79467752e-01 5.99776031e+01 1.17307419e-02 9.63747912e-02 2.61267775e-01
3.66848533e+00 8.43887751e-01 7.36106700e+01 2.85284952e-02 1.23651785e-01 2.76666037e-01
3.40506686e+00 9.70283907e-01 7.51809618e+01 3.09441949e-02 1.35968325e-01 6.64707060e-01
2.40946493e+00 9.97434154e-01 6.55315179e+01 1.90062290e-02 1.07032317e-01 5.95574141e-01
1.99982128e+00 9.64214862e-01 5.63619922e+01 8.23848264e-03 8.64260886e-02 3.03180425e-01
3.02791308e+00 9.94612371e-01 7.28940879e+01 2.73167206e-02 1.34774398e-01 1.93409644e-01
2.47969459e+00 9.44180565e-01 7.26359274e+01 2.81422606e-02 1.28933541e-01 3.47146610e-01
2.70979174e+00 1.07518733e+00 7.16212611e+01 2.54519877e-02 1.22996509e-01 6.16961379e-01
2.25272256e+00 1.11370066e+00 7.47835187e+01 2.98093524e-02 1.32950942e-01 5.45304670e-01
2.25560173e+00 1.09365148e+00 6.04148166e+01 1.23521232e-02 9.59443661e-02 4.56967006e-02
3.64914561e+00 1.00773031e+00 6.34427448e+01 1.67817802e-02 1.02052156e-01 5.83392747e-01
2.61171521e+00 1.18038232e+00 7.55701850e+01 3.15130135e-02 1.39088892e-01 2.58006002e-01
3.12890412e+00 1.19981972e+00 7.63269869e+01 3.25372926e-02 1.42213219e-01 1.02608717e-01
3.68108289e+00 1.15294456e+00 7.09628985e+01 2.49533792e-02 1.25682474e-01 4.82761670e-02
1.67669006e+00 1.04619908e+00 7.28800074e+01 2.80573225e-02 1.30808105e-01 1.02161027e-01
3.19789803e+00 9.93935916e-01 7.10851747e+01 2.50574522e-02 1.30391241e-01 6.40105515e-01
1.97136465e+00 1.02452490e+00 6.89010635e+01 2.32229576e-02 1.22470373e-01 6.39764729e-01
2.52822100e+00 1.18947533e+00 6.46741569e+01 1.72082381e-02 1.07313467e-01 3.68903705e-01
2.75909916e+00 8.67777783e-01 7.48049181e+01 3.00665539e-02 1.46895655e-01 6.12006530e-01
2.95351374e+00 8.14156754e-01 6.94639689e+01 2.33561626e-02 1.13365847e-01 4.59787604e-02
2.81620324e+00 8.85288656e-01 6.58168026e+01 1.91403619e-02 1.09522181e-01 1.42376426e-01
2.21052352e+00 8.26969855e-01 6.12913710e+01 1.38430991e-02 9.90576548e-02 4.04549570e-01
3.72491550e+00 1.04857125e+00 7.53879394e+01 2.93308158e-02 1.50104883e-01 5.04304754e-01
2.68964899e+00 1.08795833e+00 6.50395558e+01 1.87266851e-02 1.01941901e-01 3.96578001e-01
2.53502791e+00 9.71059090e-01 7.53853531e+01 3.14013389e-02 1.40424493e-01 5.55132780e-01
2.50106585e+00 1.03770130e+00 7.45359504e+01 2.99331865e-02 1.27377381e-01 4.75531942e-01
3.28847549e+00 1.12818696e+00 6.16095227e+01 1.37689489e-02 9.83350519e-02 3.52014239e-01
2.53360392e+00 8.18112961e-01 7.18169678e+01 2.65299164e-02 1.34842800e-01 2.24375411e-01
1.99314953e+00 8.14729324e-01 7.39173987e+01 2.88230757e-02 1.33597545e-01 1.92138038e-02
1.75235998e+00 1.06655966e+00 6.78316539e+01 2.18129718e-02 1.14730014e-01 6.64972431e-02
3.19840006e+00 1.00382474e+00 7.50034997e+01 3.09866426e-02 1.29004783e-01 2.00325646e-01
2.95670669e+00 8.08931444e-01 7.14145964e+01 2.58276993e-02 1.26726784e-01 1.79625464e-01
2.51431719e+00 1.14422822e+00 7.61872371e+01 3.24784765e-02 1.35410917e-01 7.53293236e-01
3.61501267e+00 1.02569543e+00 6.45287648e+01 1.72905661e-02 1.09793949e-01 4.66593884e-01
2.56219784e+00 1.02053174e+00 7.66278035e+01 3.26761561e-02 1.41642228e-01 1.87747255e-01
2.83963212e+00 8.05886994e-01 7.30478211e+01 2.74644563e-02 1.39548376e-01 1.92504708e-01
1.92645505e+00 1.13810814e+00 7.38964798e+01 2.97084220e-02 1.33479172e-01 3.72786887e-01
3.31496875e+00 9.26737606e-01 7.10182538e+01 2.53438194e-02 1.26171531e-01 6.55633818e-01
3.45284717e+00 9.83813637e-01 7.13595283e+01 2.60400307e-02 1.21746092e-01 5.08234440e-02
1.83675689e+00 1.12927088e+00 7.02999605e+01 2.48583721e-02 1.22417540e-01 3.20556738e-01
1.68077689e+00 9.93665875e-01 7.54794550e+01 3.08495567e-02 1.35370515e-01 2.85195862e-01
2.92086309e+00 1.04067109e+00 7.15307517e+01 2.53652347e-02 1.18998282e-01 4.09670876e-01
1.61296998e+00 1.09168652e+00 6.53202418e+01 1.86779181e-02 1.04880425e-01 3.27983250e-01
2.91867145e+00 1.14779853e+00 7.31005168e+01 2.82975797e-02 1.28146095e-01 2.37577854e-01
3.57060598e+00 1.06720721e+00 7.01961949e+01 2.41049842e-02 1.23297736e-01 1.87912046e-01
3.74503413e+00 1.18276321e+00 7.37155554e+01 2.93341452e-02 1.36523860e-01 5.67327952e-01
3.00740812e+00 9.17028101e-01 7.14548482e+01 2.60863098e-02 1.24359166e-01 4.72482733e-01
2.71323435e+00 9.13351339e-01 7.56422869e+01 3.14559222e-02 1.32082880e-01 2.51484602e-01
1.93682091e+00 8.57444091e-01 6.24560479e+01 1.52148802e-02 1.01033471e-01 1.35598144e-01
2.94714489e+00 9.52483103e-01 6.27749585e+01 1.46084170e-02 1.02150855e-01 2.61658799e-01
2.47824100e+00 1.12243953e+00 6.47248137e+01 1.81233370e-02 1.06607590e-01 9.97032827e-02
1.80173418e+00 8.87651181e-01 6.22520942e+01 1.47067417e-02 1.01895251e-01 3.07479221e-01
1.65221733e+00 9.67039245e-01 7.56368680e+01 3.02333560e-02 1.38716120e-01 3.94837919e-02
3.85850533e+00 1.19213185e+00 6.61076993e+01 1.97467630e-02 1.07778098e-01 9.07994506e-02
2.88212520e+00 1.03316517e+00 5.81888675e+01 1.04246190e-02 8.63833108e-02 1.63890317e-01
2.34774949e+00 8.04334880e-01 6.37234048e+01 1.60570049e-02 1.03535662e-01 3.75912406e-01
1.94104000e+00 1.02428750e+00 7.20271233e+01 2.64491288e-02 1.26448275e-01 5.45697989e-01
2.61171521e+00 1.18038232e+00 7.55701850e+01 3.15130135e-02 1.39088892e-01 2.58006002e-01
2.12527206e+00 1.10358709e+00 6.28510340e+01 1.50836892e-02 1.02267451e-01 2.91581377e-02
2.62996617e+00 1.19300405e+00 6.78964638e+01 2.08236359e-02 1.21965932e-01 1.77551697e-01
3.53720911e+00 1.12712362e+00 7.45424908e+01 3.08495622e-02 1.36974012e-01 7.71804084e-01
2.42202374e+00 8.76145547e-01 7.37595830e+01 2.88602168e-02 1.35698816e-01 3.22101979e-01
3.13785478e+00 9.50102769e-01 6.49023268e+01 1.78393167e-02 1.02852749e-01 2.84632627e-01
2.69145707e+00 9.03636173e-01 6.42549376e+01 1.66985517e-02 1.06137021e-01 5.25472758e-01
3.11947537e+00 1.01711404e+00 6.51252575e+01 1.80040052e-02 1.10600530e-01 1.96455539e-01
2.47713219e+00 1.16220032e+00 7.18807056e+01 2.66596402e-02 1.16796070e-01 7.31531084e-01
3.11893657e+00 1.09258788e+00 7.24143161e+01 2.75532456e-02 1.26189830e-01 2.48408024e-01
1.89775163e+00 9.30074014e-01 7.55967933e+01 3.14982656e-02 1.40295281e-01 3.95534456e-01
2.43359158e+00 8.78147321e-01 6.70616912e+01 2.00691636e-02 1.09687496e-01 5.87555627e-01
2.67763929e+00 1.06462685e+00 7.68292930e+01 3.26226656e-02 1.40956056e-01 5.66345789e-01
2.15500749e+00 1.07342878e+00 6.44845333e+01 1.73676848e-02 1.05367688e-01 6.90454332e-02
3.55567251e+00 8.02607727e-01 6.87623165e+01 2.26566396e-02 1.10376644e-01 6.09124081e-01
3.11723812e+00 1.18491738e+00 7.59046238e+01 3.21101280e-02 1.36993406e-01 7.52564595e-01
1.99923258e+00 9.35302282e-01 7.54672183e+01 3.13284672e-02 1.36482109e-01 4.10198451e-01
1.63259958e+00 8.07733869e-01 6.62664788e+01 1.91896431e-02 1.12836451e-01 5.90663568e-01
3.84617297e+00 1.15372328e+00 7.74508380e+01 3.25617037e-02 1.58241258e-01 6.15834998e-01
3.11705602e+00 1.16165934e+00 6.52035422e+01 1.86683285e-02 1.09302711e-01 6.15760719e-01
2.51431719e+00 1.14422822e+00 7.61872371e+01 3.24784765e-02 1.35410917e-01 7.53293236e-01
1.66944509e+00 1.13809091e+00 6.91471015e+01 2.35247422e-02 1.16360382e-01 4.64309269e-01
1.63259958e+00 8.07733869e-01 6.62664788e+01 1.91896431e-02 1.12836451e-01 5.90663568e-01
3.18737086e+00 1.08304827e+00 7.38148125e+01 2.94633536e-02 1.31864892e-01 6.71983326e-01
2.65256724e+00 1.02539839e+00 6.00643586e+01 1.22830824e-02 9.26308592e-02 4.27523727e-01
1.63744711e+00 1.09715620e+00 6.40164253e+01 1.72669458e-02 1.03379938e-01 1.57337604e-01
1.63706115e+00 9.12335192e-01 7.34288097e+01 2.84043557e-02 1.28172146e-01 4.13295944e-01
2.75993613e+00 1.01855360e+00 6.55212967e+01 1.85940386e-02 1.11050192e-01 3.57744563e-01
3.16030538e+00 1.11073504e+00 7.65859429e+01 3.22278007e-02 1.41831845e-01 7.20264802e-01
2.25203461e+00 1.00391938e+00 6.90104281e+01 2.27579813e-02 1.19141973e-01 1.67503659e-01
2.51923767e+00 8.73101853e-01 7.68202590e+01 3.25971256e-02 1.43788793e-01 5.09181906e-01
3.73253592e+00 1.18923588e+00 7.30929269e+01 2.84564445e-02 1.31751785e-01 1.03385796e-01
2.94999553e+00 1.08133109e+00 6.75140575e+01 2.12890149e-02 1.14254118e-01 6.86006987e-01
2.63598775e+00 1.01569188e+00 6.22404667e+01 1.52101894e-02 9.67652744e-02 5.01829275e-01
