# logA n_s H0 omega_b omega_cdm tau_reio
2.09118313e+00 8.31083309e-01 7.17214999e+01 2.55343946e-02 1.26299763e-01 3.31342443e-02
3.49011445e+00 9.25714917e-01 7.58225426e+01 3.16648992e-02 1.32887495e-01 2.84749420e-01
3.16688364e+00 9.74292179e-01 7.02975361e+01 2.48722735e-02 1.23075844e-01 4.71689528e-01
3.67969522e+00 1.07288097e+00 7.07733547e+01 2.45808191e-02 1.30046454e-01 3.89533630e-01
3.18575216e+00 1.12286209e+00 5.68733652e+01 9.33961089e-03 8.65357046e-02 1.12050231e-01
2.96671774e+00 8.71931699e-01 6.59719967e+01 1.90472227e-02 1.08704475e-01 5.73189212e-01
2.73326476e+00 9.89500270e-01 7.36882710e+01 2.82953306e-02 1.37836070e-01 7.67765225e-01
1.67669006e+00 1.04619908e+00 7.28800074e+01 2.80573225e-02 1.30808105e-01 1.02161027e-01
3.17454595e+00 8.50058531e-01 5.94318320e+01 1.12146529e-02 9.46299994e-02 2.88880413e-01
2.39127933e+00 8.92089831e-01 6.83552644e+01 2.35081028e-02 1.08301758e-01 5.31403689e-01
1.79700299e+00 8.31813244e-01 7.44888763e+01 2.90435481e-02 1.29357513e-01 3.69504938e-01
3.30522377e+00 8.76492297e-01 7.05494084e+01 2.47153540e-02 1.32193351e-01 8.27071178e-02
3.36782152e+00 1.10247986e+00 7.60698085e+01 3.20105520e-02 1.39908390e-01 2.09936143e-01
2.70827487e+00 8.14572039e-01 6.03374061e+01 1.27393638e-02 9.78700071e-02 3.56083672e-01
3.87892993e+00 1.14282079e+00 6.26810358e+01 1.47307324e-02 9.95657362e-02 2.77732654e-01
3.73087760e+00 1.08672172e+00 6.90557036e+01 2.30277894e-02 1.23818569e-01 1.36721003e-01
2.32868932e+00 1.17178554e+00 7.39502283e+01 2.95861249e-02 1.27484240e-01 4.36809616e-01
3.14870454e+00 1.13573417e+00 7.46896996e+01 2.91917411e-02 1.40607070e-01 2.39561767e-01
2.84513414e+00 1.12955139e+00 7.10190358e+01 2.53802507e-02 1.26233816e-01 3.22412125e-01
2.35020956e+00 8.28679264e-01 6.10999520e+01 1.33297193e-02 1.00969386e-01 2.24554053e-01
3.32202669e+00 1.12442153e+00 7.00912348e+01 2.42098488e-02 1.18522209e-01 1.78378515e-01
2.70856285e+00 8.42853121e-01 7.51524343e+01 3.12823314e-02 1.31554784e-01 6.97196792e-01
3.69993495e+00 1.19720484e+00 7.00830821e+01 2.35681386e-02 1.27822817e-01 2.88762202e-01
