# logA n_s H0 omega_b omega_cdm tau_reio weight loglikelihood
3.47682844e+00 8.01285663e-01 4.38137668e+01 6.09088353e-02 8.14598760e-02 6.82098867e-01 0.00000000e+00 -1.00000000e+300
1.71767665e+00 1.12589851e+00 5.39210618e+01 2.47521788e-02 4.04739501e-01 7.59753693e-01 0.00000000e+00 -1.00000000e+300
3.83624253e+00 1.11075778e+00 4.56389844e+01 3.79030675e-02 6.62671112e-01 6.14206625e-01 0.00000000e+00 -1.00000000e+300
1.63802414e+00 1.01321892e+00 8.09812644e+01 9.68764086e-02 6.99461862e-01 6.92437538e-01 0.00000000e+00 -1.00000000e+300
3.70955255e+00 9.36468886e-01 8.78764929e+01 8.10684426e-02 3.69428795e-02 5.01253490e-01 0.00000000e+00 -1.00000000e+300
2.26503043e+00 8.59389691e-01 8.21298887e+01 8.05207897e-02 7.35229002e-01 4.39040016e-02 0.00000000e+00 -1.00000000e+300
3.29098263e+00 1.02297668e+00 2.79741045e+01 3.92584260e-02 6.87296937e-02 9.48044055e-02 0.00000000e+00 -1.00000000e+300
2.59662104e+00 1.01898259e+00 9.79763350e+01 2.38226857e-02 9.24764507e-01 3.95854844e-01 0.00000000e+00 -1.00000000e+300
3.63184199e+00 8.34009048e-01 2.27028984e+01 4.63123418e-02 1.72484263e-01 1.04846601e-01 0.00000000e+00 -1.00000000e+300
2.33188921e+00 9.14512637e-01 6.21010227e+01 5.91641915e-02 4.03757269e-01 3.34286232e-01 0.00000000e+00 -1.00000000e+300
2.21729537e+00 8.59742697e-01 3.64132479e+01 2.06252833e-02 6.42435945e-01 1.50183401e-02 0.00000000e+00 -1.00000000e+300
1.84552983e+00 9.86739622e-01 9.84944233e+01 2.35796400e-02 4.05711650e-01 5.85996503e-01 0.00000000e+00 -1.00000000e+300
2.95254015e+00 8.70409693e-01 9.00821032e+01 6.14739440e-02 2.35428124e-01 4.12309198e-01 0.00000000e+00 -1.00000000e+300
1.77083732e+00 1.16545668e+00 6.91903756e+01 4.26447360e-02 3.74460529e-01 2.08255249e-01 0.00000000e+00 -1.00000000e+300
