weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -inf 9.201854490802500175e-01 5.957882061896483394e-01 5.325960233185516035e-01 7.153528085829282679e-01 5.867973587296878568e-01 5.782751787929962806e-02 8.293484017771156624e-01 8.147816376575846009e-01 2.507572068183271385e-01
0.000000000000000000e+00 -inf 6.631121498228846889e-01 6.815061815083376384e-01 2.583507587139668438e-01 5.588995522864192989e-02 2.732783524450304036e-01 5.567727858664764939e-01 8.184544643474148673e-01 9.912879279778035180e-01 2.249994269324302465e-01
0.000000000000000000e+00 -inf 1.587634701136619864e-01 5.494901926413178206e-01 3.837723369120450423e-01 1.286950939003916883e-01 2.256762170624924124e-01 3.697862155713987908e-01 6.349841197475245558e-01 9.929200442528973714e-01 3.523396969860450589e-01
0.000000000000000000e+00 -inf 5.195921058501187240e-01 8.480647408372761209e-01 9.623639249321134237e-01 5.044425236383042188e-01 7.608863746224049374e-01 3.555583337443146696e-01 7.840941434617175743e-01 7.878007122394939943e-01 2.315392937358170533e-01
0.000000000000000000e+00 -inf 1.725554341695167970e-02 9.959547556803866053e-01 1.294472254526667365e-01 2.966346937101137504e-01 4.352193921881389871e-01 4.258920344277506986e-01 8.440911896389279301e-01 9.197592288541406313e-01 6.272855270956188001e-01
0.000000000000000000e+00 -inf 4.558033466134319145e-01 6.436506105278511081e-01 1.599077811612630295e-01 2.866421219079613447e-01 1.180137481992545867e-01 8.551647900309947703e-01 2.818833499794912711e-01 9.774000705262064770e-01 2.378941805639384066e-01
0.000000000000000000e+00 -inf 5.487332074389295045e-02 3.495522646741190398e-01 9.412225107457998785e-01 3.333643153993883779e-01 3.063463500722052313e-01 9.977534540105315042e-01 8.989465997763464999e-01 8.549798129699259785e-01 7.731122726508211640e-01
0.000000000000000000e+00 -inf 7.059503653449463734e-01 9.178093892224868933e-01 6.564971315304432009e-01 5.498440634665272553e-01 6.322438556699662149e-01 9.070917829755844597e-01 5.103550466003734520e-01 9.177018826234173421e-01 6.672012552317596601e-02
0.000000000000000000e+00 -inf 2.302592589929525202e-01 6.983264095783476844e-01 1.878136280845565942e-01 5.567567242140930572e-01 2.420740231698320644e-01 8.888486755753201018e-01 8.681671024319436158e-01 8.265782543310847830e-01 4.078119389198053835e-01
0.000000000000000000e+00 -inf 3.488733752143495792e-01 2.682915411879382983e-01 9.886380558015366304e-01 1.336209309740997719e-01 8.761204619627949164e-02 1.961185544020047633e-01 7.900622843738213108e-01 8.376230410477698562e-01 7.380771366319538451e-03
0.000000000000000000e+00 -inf 9.850033695476398954e-01 9.823008948320977041e-02 2.278173809689210128e-02 3.480687586498932840e-01 9.730999733816265707e-01 8.458369063350381634e-01 9.396903597438931444e-01 9.173703550889132918e-01 2.460444537518946539e-02
0.000000000000000000e+00 -inf 9.504669333314487156e-01 4.158697648360507593e-01 7.141236508886512624e-01 2.587158915411287285e-01 9.852819174138434111e-01 7.343493564546870189e-01 9.872162763496999949e-01 7.680964354927478643e-01 2.477771095375355115e-01
0.000000000000000000e+00 -inf 5.132130306979976186e-02 2.705441723327883796e-02 5.278245391674364351e-01 7.786066621500931095e-02 3.188319768373432117e-01 1.013975776756435021e-01 8.881263076228493869e-01 9.544661851562973309e-01 5.693073108455213305e-01
0.000000000000000000e+00 -inf 1.215422706999157443e-01 6.981224252521882612e-01 2.266694246794902501e-01 5.006757446589314986e-01 7.892190649227212029e-01 3.576585347554157579e-01 6.509995481018575614e-01 8.617333832694145102e-01 3.702863405843418443e-01
0.000000000000000000e+00 -inf 7.829653646553522695e-01 1.726649016073062981e-01 8.029734295541119948e-01 3.560909278072657003e-01 2.867429735593790552e-01 6.701351118228987547e-01 7.231708673991990022e-01 8.175761313678662212e-01 9.625392187821559808e-01
0.000000000000000000e+00 -inf 6.413604981179954478e-02 5.182617804248065285e-01 4.888699028538024960e-01 5.931327903973128146e-01 1.061006448816426140e-01 1.655713083536958230e-01 9.902858810226407016e-01 9.927806514052437414e-01 5.007685794365176468e-01
0.000000000000000000e+00 -inf 7.737085941044427040e-01 8.257608709158510418e-01 7.337805567465112144e-01 3.237972549701195746e-02 5.999005992199240023e-01 7.251990829101029323e-01 5.761356960280000772e-01 9.854848438682652922e-01 1.489519926307766307e-01
0.000000000000000000e+00 -inf 9.857332745751329339e-01 1.459103587817941472e-01 2.976683857905586539e-01 7.310350813785924107e-01 5.901125623691189093e-01 9.845357789540363225e-01 4.907453613347131371e-01 9.438993480035534622e-01 1.664729706508160101e-01
0.000000000000000000e+00 -inf 1.573330130994279319e-01 2.380862177815082914e-01 1.728302415832775329e-01 8.971889268373809401e-01 7.874075616328937155e-01 2.646999495385142787e-01 9.736092123877516658e-01 7.343782560151433936e-01 4.805539140051146019e-01
0.000000000000000000e+00 -inf 3.947372819339227679e-01 3.628756770896678363e-01 6.385544433265546438e-01 3.440083286679630481e-01 6.052219554792160894e-01 1.388341337982716972e-01 6.973957200994557182e-01 9.124881395468876777e-01 3.257828919253663580e-01
0.000000000000000000e+00 -inf 3.275784636380186798e-01 4.553040684953413297e-02 9.779826193752427788e-02 8.454442046995775950e-01 6.359140234136355652e-01 6.212138520686465437e-01 8.893723480379527313e-01 9.218438230779010256e-01 9.345668665503508166e-01
0.000000000000000000e+00 -inf 3.482427719680621925e-01 4.555334338095496927e-01 9.391401219832731240e-01 4.036522077486700555e-01 2.522008230580922161e-01 2.107785559044982326e-01 3.815236698065043175e-01 9.959802913705460004e-01 8.437154571013500970e-01
0.000000000000000000e+00 -inf 1.283254889086882233e-02 2.101004377693382885e-01 9.375474135741895809e-01 8.691669623376522269e-01 7.865604102247334417e-01 7.526670563339099562e-01 9.063121950881335431e-01 7.621487644957318786e-01 5.717466061822773504e-02
0.000000000000000000e+00 -inf 2.726901042139633358e-01 4.141512004055992735e-01 2.510028562733535029e-02 3.870584156229440742e-01 5.558736294855504134e-02 6.614989700844365883e-01 4.878527444664086943e-01 9.586525161050434285e-01 9.920940201757710852e-01
0.000000000000000000e+00 -inf 7.261755127685469713e-01 5.915527100484373468e-01 8.181927773072719123e-01 2.966472278705734045e-02 9.497290376034630555e-01 8.890828364416799579e-01 7.684602856245084102e-01 8.243773719589644333e-01 9.252706216996243738e-01
0.000000000000000000e+00 -inf 1.852562416029763792e-01 1.976054528278969880e-02 5.468937378731346666e-01 1.239501373554867669e-01 5.457426930555909772e-01 9.486425174047330433e-01 8.095484282687285260e-01 8.046024317666602421e-01 6.258012633739404862e-01
0.000000000000000000e+00 -inf 8.690093459581316182e-02 9.105014795407008199e-01 5.668400699019415789e-03 1.066166623186692863e-01 6.715054812930176809e-02 8.525579309018314067e-01 5.052678667312191507e-01 9.057328010893798131e-01 5.637578809206460484e-01
